Date,Raw Material,Daily Consumption,Inventory Position,PO Number,PO Status,Expected Delivery Date,Vendor Name,Lead Time (Days),PO Creation Date
11-Mar-22,RM 4,6,831,,,,,,
12-Mar-22,RM 4,12,819,,,,,,
13-Mar-22,RM 4,0,819,,,,,,
14-Mar-22,RM 4,6,813,,,,,,
15-Mar-22,RM 4,13,800,,,,,,
16-Mar-22,RM 4,5,795,,,,,,
17-Mar-22,RM 4,23,772,,,,,,
18-Mar-22,RM 4,3,769,,,,,,
19-Mar-22,RM 4,15,754,,,,,,
20-Mar-22,RM 4,19,735,,,,,,
21-Mar-22,RM 4,10,725,,,,,,
22-Mar-22,RM 4,12,713,,,,,,
23-Mar-22,RM 4,18,695,,,,,,
24-Mar-22,RM 4,3,692,,,,,,
25-Mar-22,RM 4,12,680,,,,,,
26-Mar-22,RM 4,7,673,,,,,,
27-Mar-22,RM 4,3,670,,,,,,
28-Mar-22,RM 4,9,661,,,,,,
29-Mar-22,RM 4,7,654,,,,,,
30-Mar-22,RM 4,11,643,,,,,,
31-Mar-22,RM 4,3,640,,,,,,
1-Apr-22,RM 4,9,631,,,,,,
2-Apr-22,RM 4,0,631,,,,,,
3-Apr-22,RM 4,5,626,,,,,,
4-Apr-22,RM 4,22,604,,,,,,
5-Apr-22,RM 4,31,573,,,,,,
6-Apr-22,RM 4,14,559,,,,,,
7-Apr-22,RM 4,15,544,,,,,,
8-Apr-22,RM 4,12,532,,,,,,
9-Apr-22,RM 4,14,518,,,,,,
10-Apr-22,RM 4,1,517,,,,,,
11-Apr-22,RM 4,15,502,,,,,,
12-Apr-22,RM 4,13,489,,,,,,
13-Apr-22,RM 4,5,484,,,,,,
14-Apr-22,RM 4,11,473,,,,,,
15-Apr-22,RM 4,8,465,,,,,,
16-Apr-22,RM 4,7,458,,,,,,
17-Apr-22,RM 4,18,440,,,,,,
18-Apr-22,RM 4,5,435,,,,,,
19-Apr-22,RM 4,12,423,,,,,,
20-Apr-22,RM 4,15,408,,,,,,
21-Apr-22,RM 4,4,404,,,,,,
22-Apr-22,RM 4,11,393,,,,,,
23-Apr-22,RM 4,2,391,,,,,,
24-Apr-22,RM 4,9,382,,,,,,
25-Apr-22,RM 4,20,362,,,,,,
26-Apr-22,RM 4,10,352,,,,,,
27-Apr-22,RM 4,16,336,,,,,,
28-Apr-22,RM 4,0,336,,,,,,
29-Apr-22,RM 4,0,336,,,,,,
30-Apr-22,RM 4,3,333,,,,,,
1-May-22,RM 4,18,315,,,,,,
2-May-22,RM 4,9,306,,,,,,
10-May-22,RM 4,0,891,,,,,,
11-May-22,RM 4,21,870,,,,,,
12-May-22,RM 4,20,850,,,,,,
13-May-22,RM 4,21,829,,,,,,
14-May-22,RM 4,13,816,,,,,,
15-May-22,RM 4,4,812,,,,,,
16-May-22,RM 4,15,797,,,,,,
17-May-22,RM 4,7,790,,,,,,
18-May-22,RM 4,12,778,,,,,,
19-May-22,RM 4,14,764,,,,,,
20-May-22,RM 4,19,745,,,,,,
21-May-22,RM 4,11,734,,,,,,
22-May-22,RM 4,8,726,,,,,,
23-May-22,RM 4,6,720,,,,,,
24-May-22,RM 4,24,696,,,,,,
25-May-22,RM 4,22,674,,,,,,
26-May-22,RM 4,9,665,,,,,,
27-May-22,RM 4,0,665,,,,,,
28-May-22,RM 4,9,656,,,,,,
29-May-22,RM 4,15,641,,,,,,
30-May-22,RM 4,21,620,,,,,,
31-May-22,RM 4,11,609,,,,,,
1-Jun-22,RM 4,17,592,,,,,,
2-Jun-22,RM 4,3,589,,,,,,
3-Jun-22,RM 4,15,574,,,,,,
4-Jun-22,RM 4,11,563,,,,,,
5-Jun-22,RM 4,5,558,,,,,,
6-Jun-22,RM 4,18,540,,,,,,
7-Jun-22,RM 4,11,529,,,,,,
8-Jun-22,RM 4,9,520,,,,,,
9-Jun-22,RM 4,18,502,,,,,,
10-Jun-22,RM 4,18,484,,,,,,
11-Jun-22,RM 4,10,474,,,,,,
12-Jun-22,RM 4,7,467,,,,,,
13-Jun-22,RM 4,16,451,,,,,,
14-Jun-22,RM 4,3,448,,,,,,
15-Jun-22,RM 4,7,441,,,,,,
16-Jun-22,RM 4,21,420,,,,,,
17-Jun-22,RM 4,7,413,,,,,,
18-Jun-22,RM 4,15,398,,,,,,
19-Jun-22,RM 4,9,389,,,,,,
20-Jun-22,RM 4,13,376,,,,,,
21-Jun-22,RM 4,17,359,,,,,,
22-Jun-22,RM 4,26,333,,,,,,
23-Jun-22,RM 4,22,311,,,,,,
30-Jun-22,RM 4,5,1192,,,,,,
1-Jul-22,RM 4,20,1172,,,,,,
2-Jul-22,RM 4,14,1158,,,,,,
3-Jul-22,RM 4,18,1140,,,,,,
4-Jul-22,RM 4,18,1122,,,,,,
5-Jul-22,RM 4,15,1107,,,,,,
6-Jul-22,RM 4,10,1097,,,,,,
7-Jul-22,RM 4,1,1096,,,,,,
8-Jul-22,RM 4,21,1075,,,,,,
9-Jul-22,RM 4,11,1064,,,,,,
10-Jul-22,RM 4,14,1050,,,,,,
11-Jul-22,RM 4,17,1033,,,,,,
12-Jul-22,RM 4,9,1024,,,,,,
13-Jul-22,RM 4,13,1011,,,,,,
14-Jul-22,RM 4,17,994,,,,,,
15-Jul-22,RM 4,14,980,,,,,,
16-Jul-22,RM 4,17,963,,,,,,
17-Jul-22,RM 4,14,949,,,,,,
18-Jul-22,RM 4,16,933,,,,,,
19-Jul-22,RM 4,17,916,,,,,,
20-Jul-22,RM 4,15,901,,,,,,
21-Jul-22,RM 4,2,899,,,,,,
22-Jul-22,RM 4,10,889,,,,,,
23-Jul-22,RM 4,7,882,,,,,,
24-Jul-22,RM 4,5,877,,,,,,
25-Jul-22,RM 4,20,857,,,,,,
26-Jul-22,RM 4,14,843,,,,,,
27-Jul-22,RM 4,9,834,,,,,,
28-Jul-22,RM 4,5,829,,,,,,
29-Jul-22,RM 4,14,815,,,,,,
30-Jul-22,RM 4,23,792,,,,,,
31-Jul-22,RM 4,12,780,,,,,,
1-Aug-22,RM 4,14,766,,,,,,
2-Aug-22,RM 4,24,742,,,,,,
3-Aug-22,RM 4,11,731,,,,,,
4-Aug-22,RM 4,0,731,,,,,,
5-Aug-22,RM 4,13,718,,,,,,
6-Aug-22,RM 4,11,707,,,,,,
7-Aug-22,RM 4,9,698,,,,,,
8-Aug-22,RM 4,11,687,,,,,,
9-Aug-22,RM 4,7,680,,,,,,
10-Aug-22,RM 4,2,678,,,,,,
11-Aug-22,RM 4,10,668,,,,,,
12-Aug-22,RM 4,12,656,,,,,,
13-Aug-22,RM 4,14,642,,,,,,
14-Aug-22,RM 4,20,622,,,,,,
15-Aug-22,RM 4,10,612,,,,,,
16-Aug-22,RM 4,12,600,,,,,,
17-Aug-22,RM 4,15,585,,,,,,
18-Aug-22,RM 4,13,572,,,,,,
19-Aug-22,RM 4,19,553,,,,,,
20-Aug-22,RM 4,15,538,,,,,,
21-Aug-22,RM 4,20,518,,,,,,
22-Aug-22,RM 4,12,506,,,,,,
23-Aug-22,RM 4,4,502,,,,,,
24-Aug-22,RM 4,4,498,,,,,,
25-Aug-22,RM 4,14,484,,,,,,
26-Aug-22,RM 4,11,473,,,,,,
27-Aug-22,RM 4,13,460,,,,,,
28-Aug-22,RM 4,19,441,,,,,,
29-Aug-22,RM 4,15,426,,,,,,
30-Aug-22,RM 4,21,405,,,,,,
31-Aug-22,RM 4,20,385,,,,,,
1-Sep-22,RM 4,21,364,,,,,,
2-Sep-22,RM 4,14,350,,,,,,
3-Sep-22,RM 4,0,350,,,,,,
4-Sep-22,RM 4,5,345,,,,,,
5-Sep-22,RM 4,15,330,,,,,,
6-Sep-22,RM 4,5,325,,,,,,
7-Sep-22,RM 4,22,303,,,,,,
22-Sep-22,RM 4,12,998,,,,,,
23-Sep-22,RM 4,0,998,,,,,,
24-Sep-22,RM 4,7,991,,,,,,
25-Sep-22,RM 4,19,972,,,,,,
26-Sep-22,RM 4,6,966,,,,,,
27-Sep-22,RM 4,5,961,,,,,,
28-Sep-22,RM 4,19,942,,,,,,
29-Sep-22,RM 4,21,921,,,,,,
30-Sep-22,RM 4,21,900,,,,,,
1-Oct-22,RM 4,25,875,,,,,,
2-Oct-22,RM 4,4,871,,,,,,
3-Oct-22,RM 4,12,859,,,,,,
4-Oct-22,RM 4,7,852,,,,,,
5-Oct-22,RM 4,24,828,,,,,,
6-Oct-22,RM 4,0,828,,,,,,
7-Oct-22,RM 4,15,813,,,,,,
8-Oct-22,RM 4,6,807,,,,,,
9-Oct-22,RM 4,2,805,,,,,,
10-Oct-22,RM 4,11,794,,,,,,
11-Oct-22,RM 4,8,786,,,,,,
12-Oct-22,RM 4,16,770,,,,,,
13-Oct-22,RM 4,10,760,,,,,,
14-Oct-22,RM 4,8,752,,,,,,
15-Oct-22,RM 4,21,731,,,,,,
16-Oct-22,RM 4,14,717,,,,,,
17-Oct-22,RM 4,25,692,,,,,,
18-Oct-22,RM 4,20,672,,,,,,
19-Oct-22,RM 4,5,667,,,,,,
20-Oct-22,RM 4,14,653,,,,,,
21-Oct-22,RM 4,8,645,,,,,,
22-Oct-22,RM 4,2,643,,,,,,
23-Oct-22,RM 4,12,631,,,,,,
24-Oct-22,RM 4,24,607,,,,,,
25-Oct-22,RM 4,8,599,,,,,,
26-Oct-22,RM 4,22,577,,,,,,
27-Oct-22,RM 4,12,565,,,,,,
28-Oct-22,RM 4,23,542,,,,,,
29-Oct-22,RM 4,17,525,,,,,,
30-Oct-22,RM 4,17,508,,,,,,
31-Oct-22,RM 4,15,493,,,,,,
1-Nov-22,RM 4,17,476,,,,,,
2-Nov-22,RM 4,8,468,,,,,,
3-Nov-22,RM 4,0,468,,,,,,
4-Nov-22,RM 4,11,457,,,,,,
5-Nov-22,RM 4,15,442,,,,,,
6-Nov-22,RM 4,6,436,,,,,,
7-Nov-22,RM 4,8,428,,,,,,
8-Nov-22,RM 4,0,428,,,,,,
9-Nov-22,RM 4,23,405,,,,,,
10-Nov-22,RM 4,9,396,,,,,,
11-Nov-22,RM 4,15,381,,,,,,
12-Nov-22,RM 4,12,369,,,,,,
13-Nov-22,RM 4,13,356,,,,,,
14-Nov-22,RM 4,4,352,,,,,,
15-Nov-22,RM 4,20,332,,,,,,
16-Nov-22,RM 4,13,319,,,,,,
22-Nov-22,RM 4,3,1233,,,,,,
23-Nov-22,RM 4,14,1219,,,,,,
24-Nov-22,RM 4,6,1213,,,,,,
25-Nov-22,RM 4,12,1201,,,,,,
26-Nov-22,RM 4,12,1189,,,,,,
27-Nov-22,RM 4,9,1180,,,,,,
28-Nov-22,RM 4,10,1170,,,,,,
29-Nov-22,RM 4,10,1160,,,,,,
30-Nov-22,RM 4,4,1156,,,,,,
1-Dec-22,RM 4,24,1132,,,,,,
2-Dec-22,RM 4,8,1124,,,,,,
3-Dec-22,RM 4,17,1107,,,,,,
4-Dec-22,RM 4,17,1090,,,,,,
5-Dec-22,RM 4,16,1074,,,,,,
6-Dec-22,RM 4,13,1061,,,,,,
7-Dec-22,RM 4,15,1046,,,,,,
8-Dec-22,RM 4,7,1039,,,,,,
9-Dec-22,RM 4,19,1020,,,,,,
10-Dec-22,RM 4,10,1010,,,,,,
11-Dec-22,RM 4,14,996,,,,,,
12-Dec-22,RM 4,7,989,,,,,,
13-Dec-22,RM 4,18,971,,,,,,
14-Dec-22,RM 4,3,968,,,,,,
15-Dec-22,RM 4,13,955,,,,,,
16-Dec-22,RM 4,8,947,,,,,,
17-Dec-22,RM 4,5,942,,,,,,
18-Dec-22,RM 4,8,934,,,,,,
19-Dec-22,RM 4,0,934,,,,,,
20-Dec-22,RM 4,7,927,,,,,,
21-Dec-22,RM 4,12,915,,,,,,
22-Dec-22,RM 4,17,898,,,,,,
23-Dec-22,RM 4,18,880,,,,,,
24-Dec-22,RM 4,12,868,,,,,,
25-Dec-22,RM 4,0,868,,,,,,
26-Dec-22,RM 4,2,866,,,,,,
27-Dec-22,RM 4,12,854,,,,,,
28-Dec-22,RM 4,10,844,,,,,,
29-Dec-22,RM 4,23,821,,,,,,
30-Dec-22,RM 4,14,807,,,,,,
31-Dec-22,RM 4,11,796,,,,,,
1-Jan-23,RM 4,0,796,,,,,,
2-Jan-23,RM 4,14,782,,,,,,
3-Jan-23,RM 4,11,771,,,,,,
4-Jan-23,RM 4,4,767,,,,,,
5-Jan-23,RM 4,8,759,,,,,,
6-Jan-23,RM 4,2,757,,,,,,
7-Jan-23,RM 4,8,749,,,,,,
8-Jan-23,RM 4,15,734,,,,,,
9-Jan-23,RM 4,15,719,,,,,,
10-Jan-23,RM 4,21,698,,,,,,
11-Jan-23,RM 4,13,685,,,,,,
12-Jan-23,RM 4,8,677,,,,,,
13-Jan-23,RM 4,10,667,,,,,,
14-Jan-23,RM 4,7,660,,,,,,
15-Jan-23,RM 4,12,648,,,,,,
16-Jan-23,RM 4,12,636,,,,,,
17-Jan-23,RM 4,18,618,,,,,,
18-Jan-23,RM 4,19,599,,,,,,
19-Jan-23,RM 4,3,596,,,,,,
20-Jan-23,RM 4,2,594,,,,,,
21-Jan-23,RM 4,23,571,,,,,,
22-Jan-23,RM 4,21,550,,,,,,
23-Jan-23,RM 4,22,528,,,,,,
24-Jan-23,RM 4,19,509,,,,,,
25-Jan-23,RM 4,11,498,,,,,,
26-Jan-23,RM 4,6,492,,,,,,
27-Jan-23,RM 4,11,481,,,,,,
28-Jan-23,RM 4,15,466,,,,,,
29-Jan-23,RM 4,31,435,,,,,,
30-Jan-23,RM 4,2,433,,,,,,
31-Jan-23,RM 4,17,416,,,,,,
1-Feb-23,RM 4,15,401,,,,,,
2-Feb-23,RM 4,28,373,,,,,,
3-Feb-23,RM 4,26,347,,,,,,
4-Feb-23,RM 4,13,334,,,,,,
5-Feb-23,RM 4,21,313,,,,,,
6-Feb-23,RM 4,2,311,,,,,,
7-Feb-23,RM 4,6,305,,,,,,
22-Feb-23,RM 4,5,867,,,,,,
23-Feb-23,RM 4,19,848,,,,,,
24-Feb-23,RM 4,10,838,,,,,,
25-Feb-23,RM 4,6,832,,,,,,
26-Feb-23,RM 4,16,816,,,,,,
27-Feb-23,RM 4,0,816,,,,,,
28-Feb-23,RM 4,12,804,,,,,,
1-Mar-23,RM 4,8,796,,,,,,
2-Mar-23,RM 4,22,774,,,,,,
3-Mar-23,RM 4,9,765,,,,,,
4-Mar-23,RM 4,6,759,,,,,,
5-Mar-23,RM 4,15,744,,,,,,
6-Mar-23,RM 4,17,727,,,,,,
7-Mar-23,RM 4,24,703,,,,,,
8-Mar-23,RM 4,21,682,,,,,,
9-Mar-23,RM 4,19,663,,,,,,
10-Mar-23,RM 4,22,641,,,,,,
11-Mar-23,RM 4,0,641,,,,,,
12-Mar-23,RM 4,13,628,,,,,,
13-Mar-23,RM 4,13,615,,,,,,
14-Mar-23,RM 4,13,602,,,,,,
15-Mar-23,RM 4,0,602,,,,,,
16-Mar-23,RM 4,7,595,,,,,,
17-Mar-23,RM 4,7,588,,,,,,
18-Mar-23,RM 4,13,575,,,,,,
19-Mar-23,RM 4,14,561,,,,,,
20-Mar-23,RM 4,8,553,,,,,,
21-Mar-23,RM 4,3,550,,,,,,
22-Mar-23,RM 4,13,537,,,,,,
23-Mar-23,RM 4,14,523,,,,,,
24-Mar-23,RM 4,0,523,,,,,,
25-Mar-23,RM 4,20,503,,,,,,
26-Mar-23,RM 4,12,491,,,,,,
27-Mar-23,RM 4,22,469,,,,,,
28-Mar-23,RM 4,9,460,,,,,,
29-Mar-23,RM 4,18,442,,,,,,
30-Mar-23,RM 4,4,438,,,,,,
31-Mar-23,RM 4,8,430,,,,,,
1-Apr-23,RM 4,21,409,,,,,,
2-Apr-23,RM 4,18,391,,,,,,
3-Apr-23,RM 4,24,367,,,,,,
4-Apr-23,RM 4,8,359,,,,,,
5-Apr-23,RM 4,5,354,,,,,,
6-Apr-23,RM 4,12,342,,,,,,
7-Apr-23,RM 4,10,332,,,,,,
8-Apr-23,RM 4,7,325,,,,,,
9-Apr-23,RM 4,18,307,,,,,,
21-Apr-23,RM 4,5,1121,,,,,,
22-Apr-23,RM 4,20,1101,,,,,,
23-Apr-23,RM 4,13,1088,,,,,,
24-Apr-23,RM 4,13,1075,,,,,,
25-Apr-23,RM 4,11,1064,,,,,,
26-Apr-23,RM 4,10,1054,,,,,,
27-Apr-23,RM 4,15,1039,,,,,,
28-Apr-23,RM 4,0,1039,,,,,,
29-Apr-23,RM 4,17,1022,,,,,,
30-Apr-23,RM 4,16,1006,,,,,,
1-May-23,RM 4,5,1001,,,,,,
2-May-23,RM 4,21,980,,,,,,
3-May-23,RM 4,12,968,,,,,,
4-May-23,RM 4,25,943,,,,,,
5-May-23,RM 4,4,939,,,,,,
6-May-23,RM 4,9,930,,,,,,
7-May-23,RM 4,0,930,,,,,,
8-May-23,RM 4,8,922,,,,,,
9-May-23,RM 4,5,917,,,,,,
10-May-23,RM 4,0,917,,,,,,
11-May-23,RM 4,5,912,,,,,,
12-May-23,RM 4,9,903,,,,,,
13-May-23,RM 4,14,889,,,,,,
14-May-23,RM 4,2,887,,,,,,
15-May-23,RM 4,8,879,,,,,,
16-May-23,RM 4,9,870,,,,,,
17-May-23,RM 4,11,859,,,,,,
18-May-23,RM 4,14,845,,,,,,
19-May-23,RM 4,6,839,,,,,,
20-May-23,RM 4,19,820,,,,,,
21-May-23,RM 4,7,813,,,,,,
22-May-23,RM 4,21,792,,,,,,
23-May-23,RM 4,0,792,,,,,,
24-May-23,RM 4,24,768,,,,,,
25-May-23,RM 4,5,763,,,,,,
26-May-23,RM 4,0,763,,,,,,
27-May-23,RM 4,1,762,,,,,,
28-May-23,RM 4,10,752,,,,,,
29-May-23,RM 4,6,746,,,,,,
30-May-23,RM 4,7,739,,,,,,
31-May-23,RM 4,8,731,,,,,,
1-Jun-23,RM 4,13,718,,,,,,
2-Jun-23,RM 4,17,701,,,,,,
3-Jun-23,RM 4,17,684,,,,,,
4-Jun-23,RM 4,3,681,,,,,,
5-Jun-23,RM 4,17,664,,,,,,
6-Jun-23,RM 4,5,659,,,,,,
7-Jun-23,RM 4,14,645,,,,,,
8-Jun-23,RM 4,3,642,,,,,,
9-Jun-23,RM 4,8,634,,,,,,
10-Jun-23,RM 4,16,618,,,,,,
11-Jun-23,RM 4,10,608,,,,,,
12-Jun-23,RM 4,20,588,,,,,,
13-Jun-23,RM 4,5,583,,,,,,
14-Jun-23,RM 4,7,576,,,,,,
15-Jun-23,RM 4,8,568,,,,,,
16-Jun-23,RM 4,14,554,,,,,,
17-Jun-23,RM 4,21,533,,,,,,
18-Jun-23,RM 4,18,515,,,,,,
19-Jun-23,RM 4,0,515,,,,,,
20-Jun-23,RM 4,0,515,,,,,,
21-Jun-23,RM 4,24,491,,,,,,
22-Jun-23,RM 4,10,481,,,,,,
23-Jun-23,RM 4,7,474,,,,,,
24-Jun-23,RM 4,12,462,,,,,,
25-Jun-23,RM 4,4,458,,,,,,
26-Jun-23,RM 4,6,452,,,,,,
27-Jun-23,RM 4,18,434,,,,,,
28-Jun-23,RM 4,12,422,,,,,,
29-Jun-23,RM 4,2,420,,,,,,
30-Jun-23,RM 4,7,413,,,,,,
1-Jul-23,RM 4,4,409,,,,,,
2-Jul-23,RM 4,11,398,,,,,,
3-Jul-23,RM 4,19,379,,,,,,
4-Jul-23,RM 4,7,372,,,,,,
5-Jul-23,RM 4,7,365,,,,,,
6-Jul-23,RM 4,18,347,,,,,,
7-Jul-23,RM 4,12,335,,,,,,
8-Jul-23,RM 4,16,319,,,,,,
9-Jul-23,RM 4,14,305,,,,,,
17-Jul-23,RM 4,8,1143,,,,,,
18-Jul-23,RM 4,16,1127,,,,,,
19-Jul-23,RM 4,13,1114,,,,,,
20-Jul-23,RM 4,11,1103,,,,,,
21-Jul-23,RM 4,9,1094,,,,,,
22-Jul-23,RM 4,15,1079,,,,,,
23-Jul-23,RM 4,26,1053,,,,,,
24-Jul-23,RM 4,16,1037,,,,,,
25-Jul-23,RM 4,8,1029,,,,,,
26-Jul-23,RM 4,25,1004,,,,,,
27-Jul-23,RM 4,2,1002,,,,,,
28-Jul-23,RM 4,15,987,,,,,,
29-Jul-23,RM 4,18,969,,,,,,
30-Jul-23,RM 4,16,953,,,,,,
31-Jul-23,RM 4,21,932,,,,,,
1-Aug-23,RM 4,10,922,,,,,,
2-Aug-23,RM 4,19,903,,,,,,
3-Aug-23,RM 4,11,892,,,,,,
4-Aug-23,RM 4,16,876,,,,,,
5-Aug-23,RM 4,12,864,,,,,,
6-Aug-23,RM 4,1,863,,,,,,
7-Aug-23,RM 4,9,854,,,,,,
8-Aug-23,RM 4,9,845,,,,,,
9-Aug-23,RM 4,5,840,,,,,,
10-Aug-23,RM 4,8,832,,,,,,
11-Aug-23,RM 4,25,807,,,,,,
12-Aug-23,RM 4,15,792,,,,,,
13-Aug-23,RM 4,13,779,,,,,,
14-Aug-23,RM 4,7,772,,,,,,
15-Aug-23,RM 4,3,769,,,,,,
16-Aug-23,RM 4,7,762,,,,,,
17-Aug-23,RM 4,12,750,,,,,,
18-Aug-23,RM 4,7,743,,,,,,
19-Aug-23,RM 4,4,739,,,,,,
20-Aug-23,RM 4,6,733,,,,,,
21-Aug-23,RM 4,13,720,,,,,,
22-Aug-23,RM 4,10,710,,,,,,
23-Aug-23,RM 4,21,689,,,,,,
24-Aug-23,RM 4,18,671,,,,,,
25-Aug-23,RM 4,9,662,,,,,,
26-Aug-23,RM 4,14,648,,,,,,
27-Aug-23,RM 4,20,628,,,,,,
28-Aug-23,RM 4,13,615,,,,,,
29-Aug-23,RM 4,7,608,,,,,,
30-Aug-23,RM 4,11,597,,,,,,
31-Aug-23,RM 4,11,586,,,,,,
1-Sep-23,RM 4,26,560,,,,,,
2-Sep-23,RM 4,10,550,,,,,,
3-Sep-23,RM 4,9,541,,,,,,
4-Sep-23,RM 4,0,541,,,,,,
5-Sep-23,RM 4,20,521,,,,,,
6-Sep-23,RM 4,5,516,,,,,,
7-Sep-23,RM 4,10,506,,,,,,
8-Sep-23,RM 4,4,502,,,,,,
9-Sep-23,RM 4,17,485,,,,,,
10-Sep-23,RM 4,14,471,,,,,,
11-Sep-23,RM 4,20,451,,,,,,
12-Sep-23,RM 4,17,434,,,,,,
13-Sep-23,RM 4,18,416,,,,,,
14-Sep-23,RM 4,7,409,,,,,,
15-Sep-23,RM 4,7,402,,,,,,
16-Sep-23,RM 4,14,388,,,,,,
17-Sep-23,RM 4,21,367,,,,,,
18-Sep-23,RM 4,21,346,,,,,,
19-Sep-23,RM 4,5,341,,,,,,
20-Sep-23,RM 4,3,338,,,,,,
21-Sep-23,RM 4,8,330,,,,,,
22-Sep-23,RM 4,14,316,,,,,,
23-Sep-23,RM 4,7,309,,,,,,
24-Sep-23,RM 4,3,306,,,,,,
10-Oct-23,RM 4,10,890,,,,,,
11-Oct-23,RM 4,19,871,,,,,,
12-Oct-23,RM 4,5,866,,,,,,
13-Oct-23,RM 4,15,851,,,,,,
14-Oct-23,RM 4,22,829,,,,,,
15-Oct-23,RM 4,11,818,,,,,,
16-Oct-23,RM 4,0,818,,,,,,
17-Oct-23,RM 4,4,814,,,,,,
18-Oct-23,RM 4,22,792,,,,,,
19-Oct-23,RM 4,10,782,,,,,,
20-Oct-23,RM 4,9,773,,,,,,
21-Oct-23,RM 4,25,748,,,,,,
22-Oct-23,RM 4,6,742,,,,,,
23-Oct-23,RM 4,17,725,,,,,,
24-Oct-23,RM 4,7,718,,,,,,
25-Oct-23,RM 4,9,709,,,,,,
26-Oct-23,RM 4,7,702,,,,,,
27-Oct-23,RM 4,10,692,,,,,,
28-Oct-23,RM 4,4,688,,,,,,
29-Oct-23,RM 4,7,681,,,,,,
30-Oct-23,RM 4,14,667,,,,,,
31-Oct-23,RM 4,5,662,,,,,,
1-Nov-23,RM 4,6,656,,,,,,
2-Nov-23,RM 4,10,646,,,,,,
3-Nov-23,RM 4,15,631,,,,,,
4-Nov-23,RM 4,10,621,,,,,,
5-Nov-23,RM 4,14,607,,,,,,
6-Nov-23,RM 4,16,591,,,,,,
7-Nov-23,RM 4,11,580,,,,,,
8-Nov-23,RM 4,14,566,,,,,,
9-Nov-23,RM 4,0,566,,,,,,
10-Nov-23,RM 4,6,560,,,,,,
11-Nov-23,RM 4,6,554,,,,,,
12-Nov-23,RM 4,16,538,,,,,,
13-Nov-23,RM 4,0,538,,,,,,
14-Nov-23,RM 4,23,515,,,,,,
15-Nov-23,RM 4,8,507,,,,,,
16-Nov-23,RM 4,17,490,,,,,,
17-Nov-23,RM 4,22,468,,,,,,
18-Nov-23,RM 4,19,449,,,,,,
19-Nov-23,RM 4,19,430,,,,,,
20-Nov-23,RM 4,10,420,,,,,,
21-Nov-23,RM 4,12,408,,,,,,
22-Nov-23,RM 4,14,394,,,,,,
23-Nov-23,RM 4,24,370,,,,,,
24-Nov-23,RM 4,7,363,,,,,,
25-Nov-23,RM 4,17,346,,,,,,
