Customer,Product,Month,Year,Date,Sales,Financial Year
Customer 1,Product 10,July,2023,01-07-2023,6766330,2023-2024
Customer 1,Product 10,August,2023,01-08-2023,9832489,2023-2024
Customer 1,Product 10,September,2023,01-09-2023,,2023-2024
Customer 1,Product 10,October,2023,01-10-2023,,2023-2024
Customer 1,Product 10,November,2023,01-11-2023,,2023-2024
Customer 1,Product 10,December,2023,01-12-2023,,2023-2024
Customer 1,Product 10,January,2024,01-01-2024,,2023-2024
Customer 1,Product 10,February,2024,01-02-2024,,2023-2024
Customer 1,Product 10,March,2024,01-03-2024,,2023-2024
Customer 1,Product 10,April,2024,01-04-2024,,2024-2025
Customer 1,Product 10,May,2024,01-05-2024,,2024-2025
Customer 1,Product 10,June,2024,01-06-2024,,2024-2025
Customer 1,Product 10,July,2024,01-07-2024,,2024-2025
Customer 1,Product 10,August,2024,01-08-2024,,2024-2025
Customer 1,Product 10,September,2024,01-09-2024,,2024-2025
Customer 1,Product 10,October,2024,01-10-2024,,2024-2025
Customer 1,Product 10,November,2024,01-11-2024,,2024-2025
Customer 1,Product 10,December,2024,01-12-2024,,2024-2025
Customer 1,Product 10,January,2025,01-01-2025,,2024-2025
Customer 1,Product 10,February,2025,01-02-2025,,2024-2025
Customer 1,Product 10,March,2025,01-03-2025,,2024-2025
Customer 1,Product 2,April,2021,01-04-2021,4680205,2021-2022
Customer 1,Product 2,May,2021,01-05-2021,3993407,2021-2022
Customer 1,Product 2,June,2021,01-06-2021,5227076,2021-2022
Customer 1,Product 2,July,2021,01-07-2021,1936644,2021-2022
Customer 1,Product 2,August,2021,01-08-2021,7316511,2021-2022
Customer 1,Product 2,September,2021,01-09-2021,8223039,2021-2022
Customer 1,Product 2,October,2021,01-10-2021,126997,2021-2022
Customer 1,Product 2,November,2021,01-11-2021,9226214,2021-2022
Customer 1,Product 2,December,2021,01-12-2021,3432393,2021-2022
Customer 1,Product 2,January,2022,01-01-2022,9543937,2021-2022
Customer 1,Product 2,February,2022,01-02-2022,8062086,2021-2022
Customer 1,Product 2,March,2022,01-03-2022,1095204,2021-2022
Customer 1,Product 2,April,2022,01-04-2022,2053719,2022-2023
Customer 1,Product 2,May,2022,01-05-2022,3126797,2022-2023
Customer 1,Product 2,June,2022,01-06-2022,3437857,2022-2023
Customer 1,Product 2,July,2022,01-07-2022,8030973,2022-2023
Customer 1,Product 2,August,2022,01-08-2022,3081972,2022-2023
Customer 1,Product 2,September,2022,01-09-2022,6303828,2022-2023
Customer 1,Product 2,October,2022,01-10-2022,5951154,2022-2023
Customer 1,Product 2,November,2022,01-11-2022,3708003,2022-2023
Customer 1,Product 2,December,2022,01-12-2022,2882219,2022-2023
Customer 1,Product 2,January,2023,01-01-2023,8400021,2022-2023
Customer 1,Product 2,February,2023,01-02-2023,9311719,2022-2023
Customer 1,Product 2,March,2023,01-03-2023,4853052,2022-2023
Customer 1,Product 2,April,2023,01-04-2023,5990289,2023-2024
Customer 1,Product 2,May,2023,01-05-2023,7688239,2023-2024
Customer 1,Product 2,June,2023,01-06-2023,3737972,2023-2024
Customer 1,Product 2,July,2023,01-07-2023,8927838,2023-2024
Customer 1,Product 2,August,2023,01-08-2023,7049219,2023-2024
Customer 1,Product 2,September,2023,01-09-2023,,2023-2024
Customer 1,Product 2,October,2023,01-10-2023,,2023-2024
Customer 1,Product 2,November,2023,01-11-2023,,2023-2024
Customer 1,Product 2,December,2023,01-12-2023,,2023-2024
Customer 1,Product 2,January,2024,01-01-2024,,2023-2024
Customer 1,Product 2,February,2024,01-02-2024,,2023-2024
Customer 1,Product 2,March,2024,01-03-2024,,2023-2024
Customer 1,Product 2,April,2024,01-04-2024,,2024-2025
Customer 1,Product 2,May,2024,01-05-2024,,2024-2025
Customer 1,Product 2,June,2024,01-06-2024,,2024-2025
Customer 1,Product 2,July,2024,01-07-2024,,2024-2025
Customer 1,Product 2,August,2024,01-08-2024,,2024-2025
Customer 1,Product 2,September,2024,01-09-2024,,2024-2025
Customer 1,Product 2,October,2024,01-10-2024,,2024-2025
Customer 1,Product 2,November,2024,01-11-2024,,2024-2025
Customer 1,Product 2,December,2024,01-12-2024,,2024-2025
Customer 1,Product 2,January,2025,01-01-2025,,2024-2025
Customer 1,Product 2,February,2025,01-02-2025,,2024-2025
Customer 1,Product 2,March,2025,01-03-2025,,2024-2025
Customer 1,Product 3,April,2021,01-04-2021,8482687,2021-2022
Customer 1,Product 3,May,2021,01-05-2021,1338163,2021-2022
Customer 1,Product 3,June,2021,01-06-2021,4320555,2021-2022
Customer 1,Product 3,July,2021,01-07-2021,6732799,2021-2022
Customer 1,Product 3,August,2021,01-08-2021,3511556,2021-2022
Customer 1,Product 3,September,2021,01-09-2021,6268115,2021-2022
Customer 1,Product 3,October,2021,01-10-2021,1327148,2021-2022
Customer 1,Product 3,November,2021,01-11-2021,8408393,2021-2022
Customer 1,Product 3,December,2021,01-12-2021,1636241,2021-2022
Customer 1,Product 3,January,2022,01-01-2022,9478148,2021-2022
Customer 1,Product 3,February,2022,01-02-2022,1752801,2021-2022
Customer 1,Product 3,March,2022,01-03-2022,7323504,2021-2022
Customer 1,Product 3,April,2022,01-04-2022,4079037,2022-2023
Customer 1,Product 3,May,2022,01-05-2022,1231451,2022-2023
Customer 1,Product 3,June,2022,01-06-2022,3543074,2022-2023
Customer 1,Product 3,July,2022,01-07-2022,8689047,2022-2023
Customer 1,Product 3,August,2022,01-08-2022,4481870,2022-2023
Customer 1,Product 3,September,2022,01-09-2022,6084652,2022-2023
Customer 1,Product 3,October,2022,01-10-2022,7742037,2022-2023
Customer 1,Product 3,November,2022,01-11-2022,3731645,2022-2023
Customer 1,Product 3,December,2022,01-12-2022,7576553,2022-2023
Customer 1,Product 3,January,2023,01-01-2023,6839161,2022-2023
Customer 1,Product 3,February,2023,01-02-2023,4847508,2022-2023
Customer 1,Product 3,March,2023,01-03-2023,3592246,2022-2023
Customer 1,Product 3,April,2023,01-04-2023,1673617,2023-2024
Customer 1,Product 3,May,2023,01-05-2023,317642,2023-2024
Customer 1,Product 3,June,2023,01-06-2023,9442918,2023-2024
Customer 1,Product 3,July,2023,01-07-2023,624963,2023-2024
Customer 1,Product 3,August,2023,01-08-2023,380763,2023-2024
Customer 1,Product 3,September,2023,01-09-2023,1766037,2023-2024
Customer 1,Product 3,October,2023,01-10-2023,2920760,2023-2024
Customer 1,Product 3,November,2023,01-11-2023,,2023-2024
Customer 1,Product 3,December,2023,01-12-2023,,2023-2024
Customer 1,Product 3,January,2024,01-01-2024,,2023-2024
Customer 1,Product 3,February,2024,01-02-2024,,2023-2024
Customer 1,Product 3,March,2024,01-03-2024,,2023-2024
Customer 1,Product 3,April,2024,01-04-2024,,2024-2025
Customer 1,Product 3,May,2024,01-05-2024,,2024-2025
Customer 1,Product 3,June,2024,01-06-2024,,2024-2025
Customer 1,Product 3,July,2024,01-07-2024,,2024-2025
Customer 1,Product 3,August,2024,01-08-2024,,2024-2025
Customer 1,Product 3,September,2024,01-09-2024,,2024-2025
Customer 1,Product 3,October,2024,01-10-2024,,2024-2025
Customer 1,Product 3,November,2024,01-11-2024,,2024-2025
Customer 1,Product 3,December,2024,01-12-2024,,2024-2025
Customer 1,Product 3,January,2025,01-01-2025,,2024-2025
Customer 1,Product 3,February,2025,01-02-2025,,2024-2025
Customer 1,Product 3,March,2025,01-03-2025,,2024-2025
Customer 1,Product 4,April,2021,01-04-2021,,2021-2022
Customer 1,Product 4,May,2021,01-05-2021,,2021-2022
Customer 1,Product 4,June,2021,01-06-2021,,2021-2022
Customer 1,Product 4,July,2021,01-07-2021,,2021-2022
Customer 1,Product 4,August,2021,01-08-2021,,2021-2022
Customer 1,Product 4,September,2021,01-09-2021,,2021-2022
Customer 1,Product 4,October,2021,01-10-2021,,2021-2022
Customer 1,Product 4,November,2021,01-11-2021,,2021-2022
Customer 1,Product 4,December,2021,01-12-2021,,2021-2022
Customer 1,Product 4,January,2022,01-01-2022,1781690,2021-2022
Customer 1,Product 4,February,2022,01-02-2022,164841,2021-2022
Customer 1,Product 4,March,2022,01-03-2022,763704,2021-2022
Customer 1,Product 4,April,2022,01-04-2022,7334675,2022-2023
Customer 1,Product 4,May,2022,01-05-2022,7485269,2022-2023
Customer 1,Product 4,June,2022,01-06-2022,3963113,2022-2023
Customer 1,Product 4,July,2022,01-07-2022,3085398,2022-2023
Customer 1,Product 4,August,2022,01-08-2022,6990477,2022-2023
Customer 1,Product 4,September,2022,01-09-2022,5500364,2022-2023
Customer 1,Product 4,October,2022,01-10-2022,2455552,2022-2023
Customer 1,Product 4,November,2022,01-11-2022,7485191,2022-2023
Customer 1,Product 4,December,2022,01-12-2022,275236,2022-2023
Customer 1,Product 4,January,2023,01-01-2023,6081609,2022-2023
Customer 1,Product 4,February,2023,01-02-2023,4143233,2022-2023
Customer 1,Product 4,March,2023,01-03-2023,4860744,2022-2023
Customer 1,Product 4,April,2023,01-04-2023,5658867,2023-2024
Customer 1,Product 4,May,2023,01-05-2023,2184023,2023-2024
Customer 1,Product 4,June,2023,01-06-2023,5865386,2023-2024
Customer 1,Product 4,July,2023,01-07-2023,2020280,2023-2024
Customer 1,Product 4,August,2023,01-08-2023,7366460,2023-2024
Customer 1,Product 4,September,2023,01-09-2023,8114683,2023-2024
Customer 1,Product 4,October,2023,01-10-2023,,2023-2024
Customer 1,Product 4,November,2023,01-11-2023,,2023-2024
Customer 1,Product 4,December,2023,01-12-2023,,2023-2024
Customer 1,Product 4,January,2024,01-01-2024,,2023-2024
Customer 1,Product 4,February,2024,01-02-2024,,2023-2024
Customer 1,Product 4,March,2024,01-03-2024,,2023-2024
Customer 1,Product 4,April,2024,01-04-2024,,2024-2025
Customer 1,Product 4,May,2024,01-05-2024,,2024-2025
Customer 1,Product 4,June,2024,01-06-2024,,2024-2025
Customer 1,Product 4,July,2024,01-07-2024,,2024-2025
Customer 1,Product 4,August,2024,01-08-2024,,2024-2025
Customer 1,Product 4,September,2024,01-09-2024,,2024-2025
Customer 1,Product 4,October,2024,01-10-2024,,2024-2025
Customer 1,Product 4,November,2024,01-11-2024,,2024-2025
Customer 1,Product 4,December,2024,01-12-2024,,2024-2025
Customer 1,Product 4,January,2025,01-01-2025,,2024-2025
Customer 1,Product 4,February,2025,01-02-2025,,2024-2025
Customer 1,Product 4,March,2025,01-03-2025,,2024-2025
Customer 1,Product 5,April,2021,01-04-2021,2587383,2021-2022
Customer 1,Product 5,May,2021,01-05-2021,7437191,2021-2022
Customer 1,Product 5,June,2021,01-06-2021,6642784,2021-2022
Customer 1,Product 5,July,2021,01-07-2021,7927614,2021-2022
Customer 1,Product 5,August,2021,01-08-2021,6018572,2021-2022
Customer 1,Product 5,September,2021,01-09-2021,2825143,2021-2022
Customer 1,Product 5,October,2021,01-10-2021,6703118,2021-2022
Customer 1,Product 5,November,2021,01-11-2021,8113734,2021-2022
Customer 1,Product 5,December,2021,01-12-2021,3204538,2021-2022
Customer 1,Product 5,January,2022,01-01-2022,8354793,2021-2022
Customer 1,Product 5,February,2022,01-02-2022,2259568,2021-2022
Customer 1,Product 5,March,2022,01-03-2022,8606490,2021-2022
Customer 1,Product 5,April,2022,01-04-2022,8138720,2022-2023
Customer 1,Product 5,May,2022,01-05-2022,6847168,2022-2023
Customer 1,Product 5,June,2022,01-06-2022,1013675,2022-2023
Customer 1,Product 5,July,2022,01-07-2022,2314851,2022-2023
Customer 1,Product 5,August,2022,01-08-2022,2818485,2022-2023
Customer 1,Product 5,September,2022,01-09-2022,7220284,2022-2023
Customer 1,Product 5,October,2022,01-10-2022,195285,2022-2023
Customer 1,Product 5,November,2022,01-11-2022,891611,2022-2023
Customer 1,Product 5,December,2022,01-12-2022,7172038,2022-2023
Customer 1,Product 5,January,2023,01-01-2023,123234,2022-2023
Customer 1,Product 5,February,2023,01-02-2023,1743013,2022-2023
Customer 1,Product 5,March,2023,01-03-2023,1500495,2022-2023
Customer 1,Product 5,April,2023,01-04-2023,4393275,2023-2024
Customer 1,Product 5,May,2023,01-05-2023,6564989,2023-2024
Customer 1,Product 5,June,2023,01-06-2023,7636227,2023-2024
Customer 1,Product 5,July,2023,01-07-2023,1240056,2023-2024
Customer 1,Product 5,August,2023,01-08-2023,2693326,2023-2024
Customer 1,Product 5,September,2023,01-09-2023,6417382,2023-2024
Customer 1,Product 5,October,2023,01-10-2023,,2023-2024
Customer 1,Product 5,November,2023,01-11-2023,,2023-2024
Customer 1,Product 5,December,2023,01-12-2023,,2023-2024
Customer 1,Product 5,January,2024,01-01-2024,,2023-2024
Customer 1,Product 5,February,2024,01-02-2024,,2023-2024
Customer 1,Product 5,March,2024,01-03-2024,,2023-2024
Customer 1,Product 5,April,2024,01-04-2024,,2024-2025
Customer 1,Product 5,May,2024,01-05-2024,,2024-2025
Customer 1,Product 5,June,2024,01-06-2024,,2024-2025
Customer 1,Product 5,July,2024,01-07-2024,,2024-2025
Customer 1,Product 5,August,2024,01-08-2024,,2024-2025
Customer 1,Product 5,September,2024,01-09-2024,,2024-2025
Customer 1,Product 5,October,2024,01-10-2024,,2024-2025
Customer 1,Product 5,November,2024,01-11-2024,,2024-2025
Customer 1,Product 5,December,2024,01-12-2024,,2024-2025
Customer 1,Product 5,January,2025,01-01-2025,,2024-2025
Customer 1,Product 5,February,2025,01-02-2025,,2024-2025
Customer 1,Product 5,March,2025,01-03-2025,,2024-2025
Customer 1,Product 6,April,2021,01-04-2021,8353490,2021-2022
Customer 1,Product 6,May,2021,01-05-2021,3130592,2021-2022
Customer 1,Product 6,June,2021,01-06-2021,5930034,2021-2022
Customer 1,Product 6,July,2021,01-07-2021,5370345,2021-2022
Customer 1,Product 6,August,2021,01-08-2021,5187362,2021-2022
Customer 1,Product 6,September,2021,01-09-2021,1850302,2021-2022
Customer 1,Product 6,October,2021,01-10-2021,4481161,2021-2022
Customer 1,Product 6,November,2021,01-11-2021,6963855,2021-2022
Customer 1,Product 6,December,2021,01-12-2021,7596996,2021-2022
Customer 1,Product 6,January,2022,01-01-2022,5883302,2021-2022
Customer 1,Product 6,February,2022,01-02-2022,8122451,2021-2022
Customer 1,Product 6,March,2022,01-03-2022,2027950,2021-2022
Customer 1,Product 6,April,2022,01-04-2022,989370,2022-2023
Customer 1,Product 6,May,2022,01-05-2022,3376958,2022-2023
Customer 1,Product 6,June,2022,01-06-2022,5395307,2022-2023
Customer 1,Product 6,July,2022,01-07-2022,1400847,2022-2023
Customer 1,Product 6,August,2022,01-08-2022,1047492,2022-2023
Customer 1,Product 6,September,2022,01-09-2022,9087038,2022-2023
Customer 1,Product 6,October,2022,01-10-2022,5019311,2022-2023
Customer 1,Product 6,November,2022,01-11-2022,2903289,2022-2023
Customer 1,Product 6,December,2022,01-12-2022,1315896,2022-2023
Customer 1,Product 6,January,2023,01-01-2023,4105945,2022-2023
Customer 1,Product 6,February,2023,01-02-2023,3091623,2022-2023
Customer 1,Product 6,March,2023,01-03-2023,9444463,2022-2023
Customer 1,Product 6,April,2023,01-04-2023,3959288,2023-2024
Customer 1,Product 6,May,2023,01-05-2023,5664097,2023-2024
Customer 1,Product 6,June,2023,01-06-2023,4443411,2023-2024
Customer 1,Product 6,July,2023,01-07-2023,3180230,2023-2024
Customer 1,Product 6,August,2023,01-08-2023,6141526,2023-2024
Customer 1,Product 6,September,2023,01-09-2023,1240179,2023-2024
Customer 1,Product 6,October,2023,01-10-2023,,2023-2024
Customer 1,Product 6,November,2023,01-11-2023,,2023-2024
Customer 1,Product 6,December,2023,01-12-2023,,2023-2024
Customer 1,Product 6,January,2024,01-01-2024,,2023-2024
Customer 1,Product 6,February,2024,01-02-2024,,2023-2024
Customer 1,Product 6,March,2024,01-03-2024,,2023-2024
Customer 1,Product 6,April,2024,01-04-2024,,2024-2025
Customer 1,Product 6,May,2024,01-05-2024,,2024-2025
Customer 1,Product 6,June,2024,01-06-2024,,2024-2025
Customer 1,Product 6,July,2024,01-07-2024,,2024-2025
Customer 1,Product 6,August,2024,01-08-2024,,2024-2025
Customer 1,Product 6,September,2024,01-09-2024,,2024-2025
Customer 1,Product 6,October,2024,01-10-2024,,2024-2025
Customer 1,Product 6,November,2024,01-11-2024,,2024-2025
Customer 1,Product 6,December,2024,01-12-2024,,2024-2025
Customer 1,Product 6,January,2025,01-01-2025,,2024-2025
Customer 1,Product 6,February,2025,01-02-2025,,2024-2025
Customer 1,Product 6,March,2025,01-03-2025,,2024-2025
Customer 1,Product 9,April,2021,01-04-2021,5172134,2021-2022
Customer 1,Product 9,May,2021,01-05-2021,7842746,2021-2022
Customer 1,Product 9,June,2021,01-06-2021,3703758,2021-2022
Customer 1,Product 9,July,2021,01-07-2021,724151,2021-2022
Customer 1,Product 9,August,2021,01-08-2021,9367367,2021-2022
Customer 1,Product 9,September,2021,01-09-2021,6535083,2021-2022
Customer 1,Product 9,October,2021,01-10-2021,4139525,2021-2022
Customer 1,Product 9,November,2021,01-11-2021,1258567,2021-2022
Customer 1,Product 9,December,2021,01-12-2021,1304992,2021-2022
Customer 1,Product 9,January,2022,01-01-2022,2058445,2021-2022
Customer 1,Product 9,February,2022,01-02-2022,4088274,2021-2022
Customer 1,Product 9,March,2022,01-03-2022,3681276,2021-2022
Customer 1,Product 9,April,2022,01-04-2022,6347417,2022-2023
Customer 1,Product 9,May,2022,01-05-2022,1061686,2022-2023
Customer 1,Product 9,June,2022,01-06-2022,9645861,2022-2023
Customer 1,Product 9,July,2022,01-07-2022,6175967,2022-2023
Customer 1,Product 9,August,2022,01-08-2022,2888690,2022-2023
Customer 1,Product 9,September,2022,01-09-2022,1524020,2022-2023
Customer 1,Product 9,October,2022,01-10-2022,3129639,2022-2023
Customer 1,Product 9,November,2022,01-11-2022,4089032,2022-2023
Customer 1,Product 9,December,2022,01-12-2022,4650405,2022-2023
Customer 1,Product 9,January,2023,01-01-2023,2907209,2022-2023
Customer 1,Product 9,February,2023,01-02-2023,9676576,2022-2023
Customer 1,Product 9,March,2023,01-03-2023,8316282,2022-2023
Customer 1,Product 9,April,2023,01-04-2023,4673153,2023-2024
Customer 1,Product 9,May,2023,01-05-2023,4739007,2023-2024
Customer 1,Product 9,June,2023,01-06-2023,8829627,2023-2024
Customer 1,Product 9,July,2023,01-07-2023,6569487,2023-2024
Customer 1,Product 9,August,2023,01-08-2023,8059922,2023-2024
Customer 1,Product 9,September,2023,01-09-2023,,2023-2024
Customer 1,Product 9,October,2023,01-10-2023,,2023-2024
Customer 1,Product 9,November,2023,01-11-2023,,2023-2024
Customer 1,Product 9,December,2023,01-12-2023,,2023-2024
Customer 1,Product 9,January,2024,01-01-2024,,2023-2024
Customer 1,Product 9,February,2024,01-02-2024,,2023-2024
Customer 1,Product 9,March,2024,01-03-2024,,2023-2024
Customer 1,Product 9,April,2024,01-04-2024,,2024-2025
Customer 1,Product 9,May,2024,01-05-2024,,2024-2025
Customer 1,Product 9,June,2024,01-06-2024,,2024-2025
Customer 1,Product 9,July,2024,01-07-2024,,2024-2025
Customer 1,Product 9,August,2024,01-08-2024,,2024-2025
Customer 1,Product 9,September,2024,01-09-2024,,2024-2025
Customer 1,Product 9,October,2024,01-10-2024,,2024-2025
Customer 1,Product 9,November,2024,01-11-2024,,2024-2025
Customer 1,Product 9,December,2024,01-12-2024,,2024-2025
Customer 1,Product 9,January,2025,01-01-2025,,2024-2025
Customer 1,Product 9,February,2025,01-02-2025,,2024-2025
Customer 1,Product 9,March,2025,01-03-2025,,2024-2025
Customer 10,Product 1,April,2021,01-04-2021,1466890,2021-2022
Customer 10,Product 1,May,2021,01-05-2021,7157608,2021-2022
Customer 10,Product 1,June,2021,01-06-2021,4945627,2021-2022
Customer 10,Product 1,July,2021,01-07-2021,6047368,2021-2022
Customer 10,Product 1,August,2021,01-08-2021,9205320,2021-2022
Customer 10,Product 1,September,2021,01-09-2021,179887,2021-2022
Customer 10,Product 1,October,2021,01-10-2021,2214830,2021-2022
Customer 10,Product 1,November,2021,01-11-2021,7249768,2021-2022
Customer 10,Product 1,December,2021,01-12-2021,6060773,2021-2022
Customer 10,Product 1,January,2022,01-01-2022,5111997,2021-2022
Customer 10,Product 1,February,2022,01-02-2022,6802090,2021-2022
Customer 10,Product 1,March,2022,01-03-2022,8410505,2021-2022
Customer 10,Product 1,April,2022,01-04-2022,9261131,2022-2023
Customer 10,Product 1,May,2022,01-05-2022,6592895,2022-2023
Customer 10,Product 1,June,2022,01-06-2022,999561,2022-2023
Customer 10,Product 1,July,2022,01-07-2022,4057513,2022-2023
Customer 10,Product 1,August,2022,01-08-2022,6994882,2022-2023
Customer 10,Product 1,September,2022,01-09-2022,9345567,2022-2023
Customer 10,Product 1,October,2022,01-10-2022,7256783,2022-2023
Customer 10,Product 1,November,2022,01-11-2022,7343832,2022-2023
Customer 10,Product 1,December,2022,01-12-2022,5524670,2022-2023
Customer 10,Product 1,January,2023,01-01-2023,2302928,2022-2023
Customer 10,Product 1,February,2023,01-02-2023,6282383,2022-2023
Customer 10,Product 1,March,2023,01-03-2023,1419824,2022-2023
Customer 10,Product 1,April,2023,01-04-2023,8457961,2023-2024
Customer 10,Product 1,May,2023,01-05-2023,9210431,2023-2024
Customer 10,Product 1,June,2023,01-06-2023,9219471,2023-2024
Customer 10,Product 1,July,2023,01-07-2023,8455600,2023-2024
Customer 10,Product 1,August,2023,01-08-2023,6060516,2023-2024
Customer 10,Product 1,September,2023,01-09-2023,2856650,2023-2024
Customer 10,Product 1,October,2023,01-10-2023,,2023-2024
Customer 10,Product 1,November,2023,01-11-2023,,2023-2024
Customer 10,Product 1,December,2023,01-12-2023,,2023-2024
Customer 10,Product 1,January,2024,01-01-2024,,2023-2024
Customer 10,Product 1,February,2024,01-02-2024,,2023-2024
Customer 10,Product 1,March,2024,01-03-2024,,2023-2024
Customer 10,Product 1,April,2024,01-04-2024,,2024-2025
Customer 10,Product 1,May,2024,01-05-2024,,2024-2025
Customer 10,Product 1,June,2024,01-06-2024,,2024-2025
Customer 10,Product 1,July,2024,01-07-2024,,2024-2025
Customer 10,Product 1,August,2024,01-08-2024,,2024-2025
Customer 10,Product 1,September,2024,01-09-2024,,2024-2025
Customer 10,Product 1,October,2024,01-10-2024,,2024-2025
Customer 10,Product 1,November,2024,01-11-2024,,2024-2025
Customer 10,Product 1,December,2024,01-12-2024,,2024-2025
Customer 10,Product 1,January,2025,01-01-2025,,2024-2025
Customer 10,Product 1,February,2025,01-02-2025,,2024-2025
Customer 10,Product 1,March,2025,01-03-2025,,2024-2025
Customer 10,Product 10,April,2021,01-04-2021,2446339,2021-2022
Customer 10,Product 10,May,2021,01-05-2021,7246423,2021-2022
Customer 10,Product 10,June,2021,01-06-2021,3095268,2021-2022
Customer 10,Product 10,July,2021,01-07-2021,5585355,2021-2022
Customer 10,Product 10,August,2021,01-08-2021,4810489,2021-2022
Customer 10,Product 10,September,2021,01-09-2021,9838772,2021-2022
