Month,Depot,SKU,Forecast,Validty,Product Category,Active
01-06-2025,Depot A,SKU-045,506,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-046,1964,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-047,1335,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-048,149,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-049,85,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-050,1215,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-051,1040,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-052,639,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-053,529,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-054,299,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-055,153,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-056,663,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-057,20,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-058,31,Valid,Product A,Not Active
01-06-2025,Depot A,SKU-059,846,Valid,Product A,Active
01-06-2025,Depot A,SKU-060,912,Valid,Product A,Active
01-06-2025,Depot B,SKU-001,6167,Valid,Product A,Active
01-06-2025,Depot B,SKU-002,55,Valid,Product A,Active
01-06-2025,Depot B,SKU-004,632,Valid,Product A,Active
01-06-2025,Depot B,SKU-061,186,Valid,Product A,Active
01-06-2025,Depot B,SKU-062,141,Valid,Product A,Active
01-06-2025,Depot B,SKU-005,604,Valid,Product A,Active
01-06-2025,Depot B,SKU-006,242,Valid,Product A,Active
01-06-2025,Depot B,SKU-007,2275,Valid,Product A,Active
01-06-2025,Depot B,SKU-063,170,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-008,10875,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-009,21252,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-010,315,Valid,Product A,Active
01-06-2025,Depot B,SKU-011,246,Valid,Product A,Active
01-06-2025,Depot B,SKU-014,717,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-015,889,Valid,Product A,Active
01-06-2025,Depot B,SKU-016,56303,Valid,Product A,Active
01-06-2025,Depot B,SKU-017,1546,Valid,Product A,Active
01-06-2025,Depot B,SKU-064,222,Valid,Product A,Active
01-06-2025,Depot B,SKU-065,101,Valid,Product A,Active
01-06-2025,Depot B,SKU-018,771,Valid,Product A,Active
01-06-2025,Depot B,SKU-019,5404,Valid,Product A,Active
01-06-2025,Depot B,SKU-020,537,Valid,Product A,Active
01-06-2025,Depot B,SKU-066,145,Valid,Product A,Active
01-06-2025,Depot B,SKU-021,4877,Valid,Product A,Active
01-06-2025,Depot B,SKU-067,311,Valid,Product A,Active
01-06-2025,Depot B,SKU-022,223,Valid,Product A,Active
01-06-2025,Depot B,SKU-068,81,Valid,Product A,Active
01-06-2025,Depot B,SKU-069,2137,Valid,Product A,Active
01-06-2025,Depot B,SKU-024,5581,Valid,Product A,Active
01-06-2025,Depot B,SKU-025,2427,Valid,Product A,Active
01-06-2025,Depot B,SKU-070,13,Valid,Product A,Active
01-06-2025,Depot B,SKU-071,22,Valid,Product A,Active
01-06-2025,Depot B,SKU-072,41,Valid,Product A,Active
01-06-2025,Depot B,SKU-073,24,Valid,Product A,Active
01-06-2025,Depot B,SKU-074,162,Valid,Product A,Active
01-06-2025,Depot B,SKU-075,37,Valid,Product A,Active
01-06-2025,Depot B,SKU-076,52,Valid,Product A,Active
01-06-2025,Depot B,SKU-077,69,Valid,Product A,Active
01-06-2025,Depot B,SKU-078,33,Valid,Product A,Active
01-06-2025,Depot B,SKU-079,168,Valid,Product A,Active
01-06-2025,Depot B,SKU-080,21,Valid,Product A,Active
01-06-2025,Depot B,SKU-081,367,Valid,Product A,Active
01-06-2025,Depot B,SKU-082,268,Valid,Product A,Active
01-06-2025,Depot B,SKU-083,315,Valid,Product A,Active
01-06-2025,Depot B,SKU-084,410,Valid,Product A,Active
01-06-2025,Depot B,SKU-085,261,Valid,Product A,Active
01-06-2025,Depot B,SKU-086,131,Valid,Product A,Active
01-06-2025,Depot B,SKU-087,97,Valid,Product A,Active
01-06-2025,Depot B,SKU-088,719,Valid,Product A,Active
01-06-2025,Depot B,SKU-026,1729,Valid,Product A,Active
01-06-2025,Depot B,SKU-027,755,Valid,Product A,Active
01-06-2025,Depot B,SKU-028,1063,Valid,Product A,Active
01-06-2025,Depot B,SKU-029,1673,Valid,Product A,Active
01-06-2025,Depot B,SKU-030,351,Valid,Product A,Active
01-06-2025,Depot B,SKU-031,615,Valid,Product A,Active
01-06-2025,Depot B,SKU-032,1913,Valid,Product A,Active
01-06-2025,Depot B,SKU-033,519,Valid,Product A,Active
01-06-2025,Depot B,SKU-034,2566,Valid,Product A,Active
01-06-2025,Depot B,SKU-089,1501,Valid,Product A,Active
01-06-2025,Depot B,SKU-037,1205,Valid,Product A,Active
01-06-2025,Depot B,SKU-038,377,Valid,Product A,Active
01-06-2025,Depot B,SKU-039,119,Valid,Product A,Active
01-06-2025,Depot B,SKU-090,36,Valid,Product A,Active
01-06-2025,Depot B,SKU-040,91,Valid,Product A,Active
01-06-2025,Depot B,SKU-091,278,Valid,Product A,Active
01-06-2025,Depot B,SKU-041,177,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-042,82,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-043,119,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-044,83,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-045,74,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-047,294,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-048,59,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-049,60,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-050,8067,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-051,8912,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-052,6120,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-053,17514,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-054,570,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-056,7928,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-057,867,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-058,439,Valid,Product A,Not Active
01-06-2025,Depot B,SKU-092,568,Valid,Product A,Active
01-06-2025,Depot B,SKU-093,295,Valid,Product A,Active
01-06-2025,Depot B,SKU-094,251,Valid,Product A,Active
01-06-2025,Depot B,SKU-095,137,Valid,Product A,Active
01-06-2025,Depot B,SKU-096,842,Valid,Product A,Active
01-06-2025,Depot B,SKU-097,40524,Valid,Product A,Active
01-06-2025,Depot B,SKU-098,1365,Valid,Product A,Active
01-06-2025,Depot B,SKU-099,463,Valid,Product A,Active
01-06-2025,Depot B,SKU-100,2541,Valid,Product A,Active
01-06-2025,Depot B,SKU-101,4350,Valid,Product A,Active
01-06-2025,Depot B,SKU-102,481,Valid,Product A,Active
01-06-2025,Depot B,SKU-103,7625,Valid,Product A,Active
01-06-2025,Depot B,SKU-104,264,Valid,Product A,Active
01-06-2025,Depot B,SKU-105,1072,Valid,Product A,Active
01-06-2025,Depot B,SKU-106,10731,Valid,Product A,Active
01-06-2025,Depot B,SKU-107,226,Valid,Product A,Active
01-06-2025,Depot B,SKU-108,1849,Valid,Product A,Active
01-06-2025,Depot B,SKU-109,1814,Valid,Product A,Active
01-06-2025,Depot B,SKU-110,6758,Valid,Product A,Active
01-06-2025,Depot B,SKU-111,2168,Valid,Product A,Active
01-06-2025,Depot B,SKU-112,3810,Valid,Product A,Active
01-06-2025,Depot B,SKU-113,3814,Valid,Product A,Active
01-06-2025,Depot B,SKU-059,596,Valid,Product A,Active
01-06-2025,Depot B,SKU-114,118767,Valid,Product A,Active
01-06-2025,Depot B,SKU-115,1277,Valid,Product A,Active
01-06-2025,Depot B,SKU-116,5289,Valid,Product A,Active
01-06-2025,Depot B,SKU-117,1133,Valid,Product A,Active
01-06-2025,Depot B,SKU-118,1375,Valid,Product A,Active
01-06-2025,Depot B,SKU-119,7471,Valid,Product A,Active
01-06-2025,Depot B,SKU-120,182,Valid,Product A,Active
01-06-2025,Depot B,SKU-121,390,Valid,Product A,Active
01-06-2025,Depot B,SKU-122,1996,Valid,Product A,Active
01-06-2025,Depot B,SKU-123,17520,Valid,Product A,Active
01-06-2025,Depot B,SKU-124,384,Valid,Product A,Active
01-06-2025,Depot B,SKU-125,18,Valid,Product A,Active
01-06-2025,Depot B,SKU-126,304,Valid,Product A,Active
01-06-2025,Depot B,SKU-127,920,Valid,Product A,Active
01-06-2025,Depot B,SKU-128,167,Valid,Product A,Active
01-06-2025,Depot B,SKU-129,335,Valid,Product A,Active
01-06-2025,Depot B,SKU-130,2834,Valid,Product A,Active
01-06-2025,Depot B,SKU-060,2576,Valid,Product A,Active
01-06-2025,Depot B,SKU-131,7708,Valid,Product A,Active
01-06-2025,Depot B,SKU-132,248,Valid,Product A,Active
01-06-2025,Depot B,SKU-133,11996,Valid,Product A,Active
01-06-2025,Depot B,SKU-134,101,Valid,Product A,Active
01-06-2025,Depot B,SKU-135,5,Valid,Product A,Active
01-06-2025,Depot B,SKU-136,44,Valid,Product A,Active
01-06-2025,Depot B,SKU-137,26,Valid,Product A,Active
01-06-2025,Depot B,SKU-138,1278,Valid,Product A,Active
01-06-2025,Depot B,SKU-139,353,Valid,Product A,Active
01-06-2025,Depot B,SKU-140,11176,Valid,Product A,Active
01-06-2025,Depot B,SKU-141,203,Valid,Product A,Active
01-06-2025,Depot B,SKU-142,9335,Valid,Product A,Active
01-06-2025,Depot B,SKU-143,259,Valid,Product A,Active
01-06-2025,Depot B,SKU-144,4596,Valid,Product A,Active
01-06-2025,Depot B,SKU-145,518,Valid,Product A,Active
01-06-2025,Depot B,SKU-146,5963,Valid,Product A,Active
01-06-2025,Depot B,SKU-147,9,Valid,Product A,Active
01-06-2025,Depot B,SKU-148,128,Valid,Product A,Active
01-06-2025,Depot B,SKU-149,1886,Valid,Product A,Active
01-06-2025,Depot B,SKU-150,54,Valid,Product A,Active
01-06-2025,Depot B,SKU-151,357,Valid,Product A,Active
01-06-2025,Depot B,SKU-152,181,Valid,Product A,Active
01-06-2025,Depot B,SKU-153,61,Valid,Product A,Active
01-06-2025,Depot B,SKU-154,401,Valid,Product A,Active
01-06-2025,Depot B,SKU-155,10697,Valid,Product A,Active
01-06-2025,Depot B,SKU-156,112,Valid,Product A,Active
01-06-2025,Depot C,SKU-001,21143,Valid,Product A,Active
01-06-2025,Depot C,SKU-004,416,Valid,Product A,Active
01-06-2025,Depot C,SKU-061,1625,Valid,Product A,Active
01-06-2025,Depot C,SKU-005,916,Valid,Product A,Active
01-06-2025,Depot C,SKU-006,1435,Valid,Product A,Active
01-06-2025,Depot C,SKU-007,4035,Valid,Product A,Active
01-06-2025,Depot C,SKU-157,1676,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-063,10532,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-010,7994,Valid,Product A,Active
01-06-2025,Depot C,SKU-158,596,Valid,Product A,Active
01-06-2025,Depot C,SKU-159,1,Valid,Product A,Active
01-06-2025,Depot C,SKU-015,1755,Valid,Product A,Active
01-06-2025,Depot C,SKU-016,135155,Valid,Product A,Active
01-06-2025,Depot C,SKU-017,1807,Valid,Product A,Active
01-06-2025,Depot C,SKU-064,190,Valid,Product A,Active
01-06-2025,Depot C,SKU-018,9946,Valid,Product A,Active
01-06-2025,Depot C,SKU-019,6026,Valid,Product A,Active
01-06-2025,Depot C,SKU-020,3869,Valid,Product A,Active
01-06-2025,Depot C,SKU-066,995,Valid,Product A,Active
01-06-2025,Depot C,SKU-021,5567,Valid,Product A,Active
01-06-2025,Depot C,SKU-160,688,Valid,Product A,Active
01-06-2025,Depot C,SKU-067,153,Valid,Product A,Active
01-06-2025,Depot C,SKU-022,522,Valid,Product A,Active
01-06-2025,Depot C,SKU-068,765,Valid,Product A,Active
01-06-2025,Depot C,SKU-069,842,Valid,Product A,Active
01-06-2025,Depot C,SKU-024,6358,Valid,Product A,Active
01-06-2025,Depot C,SKU-025,2503,Valid,Product A,Active
01-06-2025,Depot C,SKU-073,346,Valid,Product A,Active
01-06-2025,Depot C,SKU-161,222,Valid,Product A,Active
01-06-2025,Depot C,SKU-162,537,Valid,Product A,Active
01-06-2025,Depot C,SKU-163,327,Valid,Product A,Active
01-06-2025,Depot C,SKU-077,227,Valid,Product A,Active
01-06-2025,Depot C,SKU-164,473,Valid,Product A,Active
01-06-2025,Depot C,SKU-165,78,Valid,Product A,Active
01-06-2025,Depot C,SKU-166,93,Valid,Product A,Active
01-06-2025,Depot C,SKU-167,512,Valid,Product A,Active
01-06-2025,Depot C,SKU-168,231,Valid,Product A,Active
01-06-2025,Depot C,SKU-169,101,Valid,Product A,Active
01-06-2025,Depot C,SKU-170,44,Valid,Product A,Active
01-06-2025,Depot C,SKU-088,1604,Valid,Product A,Active
01-06-2025,Depot C,SKU-026,4631,Valid,Product A,Active
01-06-2025,Depot C,SKU-027,951,Valid,Product A,Active
01-06-2025,Depot C,SKU-028,3032,Valid,Product A,Active
01-06-2025,Depot C,SKU-029,46,Valid,Product A,Active
01-06-2025,Depot C,SKU-030,1729,Valid,Product A,Active
01-06-2025,Depot C,SKU-031,256,Valid,Product A,Active
01-06-2025,Depot C,SKU-032,1992,Valid,Product A,Active
01-06-2025,Depot C,SKU-033,478,Valid,Product A,Active
01-06-2025,Depot C,SKU-034,1722,Valid,Product A,Active
01-06-2025,Depot C,SKU-089,646,Valid,Product A,Active
01-06-2025,Depot C,SKU-035,133,Valid,Product A,Active
01-06-2025,Depot C,SKU-036,282,Valid,Product A,Active
01-06-2025,Depot C,SKU-037,998,Valid,Product A,Active
01-06-2025,Depot C,SKU-038,362,Valid,Product A,Active
01-06-2025,Depot C,SKU-040,991,Valid,Product A,Active
01-06-2025,Depot C,SKU-091,269,Valid,Product A,Active
01-06-2025,Depot C,SKU-041,309,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-042,167,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-043,255,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-044,230,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-045,80,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-046,25,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-047,85,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-049,43,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-050,2687,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-051,1488,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-052,1118,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-053,1465,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-054,1572,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-055,140,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-056,1320,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-058,292,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-171,367,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-172,180,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-173,160,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-174,335,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-175,335,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-176,290,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-177,681,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-178,79,Valid,Product A,Not Active
01-06-2025,Depot C,SKU-092,976,Valid,Product A,Active
01-06-2025,Depot C,SKU-179,1573,Valid,Product A,Active
01-06-2025,Depot C,SKU-180,657,Valid,Product A,Active
01-06-2025,Depot C,SKU-097,3646,Valid,Product A,Active
01-06-2025,Depot C,SKU-098,53,Valid,Product A,Active
01-06-2025,Depot C,SKU-100,2004,Valid,Product A,Active
01-06-2025,Depot C,SKU-101,267,Valid,Product A,Active
01-06-2025,Depot C,SKU-181,226,Valid,Product A,Active
01-06-2025,Depot C,SKU-102,108,Valid,Product A,Active
01-06-2025,Depot C,SKU-182,1601,Valid,Product A,Active
01-06-2025,Depot C,SKU-103,2154,Valid,Product A,Active
01-06-2025,Depot C,SKU-104,143,Valid,Product A,Active
01-06-2025,Depot C,SKU-183,435,Valid,Product A,Active
01-06-2025,Depot C,SKU-106,1879,Valid,Product A,Active
01-06-2025,Depot C,SKU-184,38,Valid,Product A,Active
01-06-2025,Depot C,SKU-107,477,Valid,Product A,Active
01-06-2025,Depot C,SKU-185,432,Valid,Product A,Active
01-06-2025,Depot C,SKU-186,37,Valid,Product A,Active
01-06-2025,Depot C,SKU-187,15,Valid,Product A,Active
01-06-2025,Depot C,SKU-188,11,Valid,Product A,Active
01-06-2025,Depot C,SKU-189,44,Valid,Product A,Active
01-06-2025,Depot C,SKU-190,9,Valid,Product A,Active
01-06-2025,Depot C,SKU-191,62,Valid,Product A,Active
01-06-2025,Depot C,SKU-108,76,Valid,Product A,Active
01-06-2025,Depot C,SKU-109,109,Valid,Product A,Active
01-06-2025,Depot C,SKU-110,2080,Valid,Product A,Active
01-06-2025,Depot C,SKU-111,227,Valid,Product A,Active
01-06-2025,Depot C,SKU-112,985,Valid,Product A,Active
01-06-2025,Depot C,SKU-192,217,Valid,Product A,Active
01-06-2025,Depot C,SKU-193,174,Valid,Product A,Active
01-06-2025,Depot C,SKU-113,2221,Valid,Product A,Active
01-06-2025,Depot C,SKU-059,2571,Valid,Product A,Active
01-06-2025,Depot C,SKU-114,14040,Valid,Product A,Active
01-06-2025,Depot C,SKU-115,343,Valid,Product A,Active
01-06-2025,Depot C,SKU-116,1587,Valid,Product A,Active
01-06-2025,Depot C,SKU-117,30,Valid,Product A,Active
01-06-2025,Depot C,SKU-194,147,Valid,Product A,Active
01-06-2025,Depot C,SKU-195,1512,Valid,Product A,Active
01-06-2025,Depot C,SKU-118,835,Valid,Product A,Active
01-06-2025,Depot C,SKU-119,458,Valid,Product A,Active
01-06-2025,Depot C,SKU-196,104,Valid,Product A,Active
01-06-2025,Depot C,SKU-120,248,Valid,Product A,Active
01-06-2025,Depot C,SKU-121,69,Valid,Product A,Active
01-06-2025,Depot C,SKU-122,1252,Valid,Product A,Active
01-06-2025,Depot C,SKU-123,3434,Valid,Product A,Active
01-06-2025,Depot C,SKU-124,317,Valid,Product A,Active
01-06-2025,Depot C,SKU-125,25,Valid,Product A,Active
01-06-2025,Depot C,SKU-126,149,Valid,Product A,Active
01-06-2025,Depot C,SKU-128,86,Valid,Product A,Active
01-06-2025,Depot C,SKU-130,176,Valid,Product A,Active
01-06-2025,Depot C,SKU-060,639,Valid,Product A,Active
01-06-2025,Depot C,SKU-131,958,Valid,Product A,Active
01-06-2025,Depot C,SKU-132,403,Valid,Product A,Active
01-06-2025,Depot C,SKU-133,1455,Valid,Product A,Active
01-06-2025,Depot C,SKU-197,30,Valid,Product A,Active
01-06-2025,Depot C,SKU-198,37,Valid,Product A,Active
01-06-2025,Depot C,SKU-138,13,Valid,Product A,Active
01-06-2025,Depot C,SKU-139,87,Valid,Product A,Active
01-06-2025,Depot C,SKU-140,1583,Valid,Product A,Active
01-06-2025,Depot C,SKU-141,434,Valid,Product A,Active
01-06-2025,Depot C,SKU-142,578,Valid,Product A,Active
01-06-2025,Depot C,SKU-143,63,Valid,Product A,Active
01-06-2025,Depot C,SKU-144,422,Valid,Product A,Active
01-06-2025,Depot C,SKU-145,165,Valid,Product A,Active
01-06-2025,Depot C,SKU-146,1008,Valid,Product A,Active
01-06-2025,Depot C,SKU-147,53,Valid,Product A,Active
01-06-2025,Depot C,SKU-148,45,Valid,Product A,Active
01-06-2025,Depot C,SKU-149,411,Valid,Product A,Active
01-06-2025,Depot C,SKU-152,26,Valid,Product A,Active
01-06-2025,Depot C,SKU-153,48,Valid,Product A,Active
01-06-2025,Depot C,SKU-154,52,Valid,Product A,Active
01-06-2025,Depot C,SKU-155,598,Valid,Product A,Active
01-06-2025,Depot D,SKU-001,17187,Valid,Product A,Active
01-06-2025,Depot D,SKU-199,366,Valid,Product A,Active
01-06-2025,Depot D,SKU-200,10842,Valid,Product A,Active
01-06-2025,Depot D,SKU-201,357,Valid,Product A,Active
01-06-2025,Depot D,SKU-002,253,Valid,Product A,Active
01-06-2025,Depot D,SKU-003,745,Valid,Product A,Active
01-06-2025,Depot D,SKU-004,368,Valid,Product A,Active
01-06-2025,Depot D,SKU-202,737,Valid,Product A,Active
01-06-2025,Depot D,SKU-203,832,Valid,Product A,Active
01-06-2025,Depot D,SKU-204,483,Valid,Product A,Active
01-06-2025,Depot D,SKU-205,185,Valid,Product A,Active
01-06-2025,Depot D,SKU-005,1820,Valid,Product A,Active
01-06-2025,Depot D,SKU-006,379,Valid,Product A,Active
01-06-2025,Depot D,SKU-206,207,Valid,Product A,Active
01-06-2025,Depot D,SKU-207,453,Valid,Product A,Active
01-06-2025,Depot D,SKU-007,4810,Valid,Product A,Active
01-06-2025,Depot D,SKU-208,3050,Valid,Product A,Active
01-06-2025,Depot D,SKU-008,1645,Valid,Product A,Not Active
01-06-2025,Depot D,SKU-009,10043,Valid,Product A,Not Active
01-06-2025,Depot D,SKU-010,285,Valid,Product A,Active
01-06-2025,Depot D,SKU-158,614,Valid,Product A,Active
01-06-2025,Depot D,SKU-159,538,Valid,Product A,Active
01-06-2025,Depot D,SKU-011,724,Valid,Product A,Active
01-06-2025,Depot D,SKU-013,849,Valid,Product A,Not Active
01-06-2025,Depot D,SKU-014,2141,Valid,Product A,Not Active
01-06-2025,Depot D,SKU-015,66,Valid,Product A,Active
01-06-2025,Depot D,SKU-209,543,Valid,Product A,Active
01-06-2025,Depot D,SKU-016,40045,Valid,Product A,Active
01-06-2025,Depot D,SKU-017,7161,Valid,Product A,Active
01-06-2025,Depot D,SKU-064,1260,Valid,Product A,Active
01-06-2025,Depot D,SKU-018,6190,Valid,Product A,Active
01-06-2025,Depot D,SKU-210,421,Valid,Product A,Active
01-06-2025,Depot D,SKU-019,1958,Valid,Product A,Active
01-06-2025,Depot D,SKU-020,4427,Valid,Product A,Active
01-06-2025,Depot D,SKU-066,127,Valid,Product A,Active
01-06-2025,Depot D,SKU-021,5553,Valid,Product A,Active
01-06-2025,Depot D,SKU-022,2685,Valid,Product A,Active
01-06-2025,Depot D,SKU-069,211,Valid,Product A,Active
01-06-2025,Depot D,SKU-024,9838,Valid,Product A,Active
01-06-2025,Depot D,SKU-025,1069,Valid,Product A,Active
01-06-2025,Depot D,SKU-070,63,Valid,Product A,Active
01-06-2025,Depot D,SKU-072,19,Valid,Product A,Active
01-06-2025,Depot D,SKU-073,213,Valid,Product A,Active
01-06-2025,Depot D,SKU-161,655,Valid,Product A,Active
01-06-2025,Depot D,SKU-162,756,Valid,Product A,Active
01-06-2025,Depot D,SKU-078,182,Valid,Product A,Active
01-06-2025,Depot D,SKU-211,94,Valid,Product A,Not Active
01-06-2025,Depot D,SKU-212,34,Valid,Product A,Active
01-06-2025,Depot D,SKU-081,337,Valid,Product A,Active
01-06-2025,Depot D,SKU-082,372,Valid,Product A,Active
01-06-2025,Depot D,SKU-213,178,Valid,Product A,Not Active
01-06-2025,Depot D,SKU-214,416,Valid,Product A,Not Active
01-06-2025,Depot D,SKU-083,316,Valid,Product A,Active
01-06-2025,Depot D,SKU-084,434,Valid,Product A,Active
01-06-2025,Depot D,SKU-215,38,Valid,Product A,Active
01-06-2025,Depot D,SKU-085,114,Valid,Product A,Active
01-06-2025,Depot D,SKU-216,123,Valid,Product A,Not Active
01-06-2025,Depot D,SKU-086,54,Valid,Product A,Active
01-06-2025,Depot D,SKU-217,29,Valid,Product A,Active
01-06-2025,Depot D,SKU-088,1128,Valid,Product A,Active
01-06-2025,Depot D,SKU-026,3670,Valid,Product A,Active
01-06-2025,Depot D,SKU-027,360,Valid,Product A,Active
01-06-2025,Depot D,SKU-028,2233,Valid,Product A,Active
01-06-2025,Depot D,SKU-029,287,Valid,Product A,Active
01-06-2025,Depot D,SKU-030,1016,Valid,Product A,Active
01-06-2025,Depot D,SKU-031,96,Valid,Product A,Active
01-06-2025,Depot D,SKU-032,1612,Valid,Product A,Active
01-06-2025,Depot D,SKU-033,622,Valid,Product A,Active
01-06-2025,Depot D,SKU-034,1537,Valid,Product A,Active
01-06-2025,Depot D,SKU-089,295,Valid,Product A,Active
01-06-2025,Depot D,SKU-218,157,Valid,Product A,Active
01-06-2025,Depot D,SKU-037,532,Valid,Product A,Active
01-06-2025,Depot D,SKU-038,987,Valid,Product A,Active
01-06-2025,Depot D,SKU-039,263,Valid,Product A,Active
01-06-2025,Depot D,SKU-090,64,Valid,Product A,Active
01-06-2025,Depot D,SKU-040,34,Valid,Product A,Active
01-06-2025,Depot D,SKU-050,6979,Valid,Product A,Not Active
01-06-2025,Depot D,SKU-051,5081,Valid,Product A,Not Active
01-06-2025,Depot D,SKU-052,2085,Valid,Product A,Not Active
