Invoice,Category,SKU,Customer,Frequency,Quantity,Transact,RecencyED,RecencySD,Month
2024-11-05,Category B,SKU-111,Customer 001,37,20,1484,30 days,324 days,November
2024-05-13,Category B,SKU-112,Customer 028,165,20,1642,32 days,322 days,May
2024-05-13,Category B,SKU-113,Customer 037,22,20,2167,32 days,322 days,May
2024-05-13,Category B,SKU-114,Customer 010,1,20,2563,32 days,322 days,May
2024-05-13,Category B,SKU-115,Customer 003,34,20,2786,32 days,322 days,May
2024-05-13,Category B,SKU-116,Customer 015,7,20,2088,32 days,322 days,May
2024-05-14,Category B,SKU-117,Customer 005,95,20,4596,33 days,321 days,May
2024-05-14,Category B,SKU-118,Customer 037,95,20,4596,33 days,321 days,May
2024-05-14,Category B,SKU-119,Customer 005,135,20,2275,33 days,321 days,May
2024-05-15,Category B,SKU-120,Customer 038,156,20,2830,34 days,320 days,May
2024-05-15,Category B,SKU-121,Customer 038,236,20,1145,34 days,320 days,May
2024-05-15,Category B,SKU-122,Customer 038,194,20,2160,34 days,320 days,May
2024-05-15,Category B,SKU-123,Customer 039,56,20,716,34 days,320 days,May
2024-05-15,Category B,SKU-124,Customer 039,51,20,716,34 days,320 days,May
2024-05-15,Category B,SKU-125,Customer 039,88,20,1668,34 days,320 days,May
2024-05-15,Category B,SKU-126,Customer 038,271,20,862,34 days,320 days,May
2024-05-15,Category B,SKU-127,Customer 038,216,20,1081,34 days,320 days,May
2024-05-15,Category B,SKU-128,Customer 038,297,20,1429,34 days,320 days,May
2024-05-15,Category B,SKU-129,Customer 038,73,20,3470,34 days,320 days,May
2024-05-15,Category B,SKU-130,Customer 038,42,20,4889,34 days,320 days,May
2024-05-15,Category B,SKU-131,Customer 038,103,20,1066,34 days,320 days,May
2024-05-17,Category B,SKU-132,Customer 040,181,20,1091,36 days,318 days,May
2024-05-17,Category B,SKU-133,Customer 040,20,20,3769,36 days,318 days,May
2024-05-17,Category B,SKU-134,Customer 041,261,20,2886,36 days,318 days,May
2024-05-17,Category B,SKU-135,Customer 004,139,20,2380,36 days,318 days,May
2024-05-17,Category B,SKU-136,Customer 042,139,20,2380,36 days,318 days,May
2024-05-17,Category B,SKU-137,Customer 004,104,20,2380,36 days,318 days,May
2024-05-17,Category B,SKU-138,Customer 043,210,20,2428,36 days,318 days,May
2024-05-17,Category B,SKU-139,Customer 010,5,20,1617,36 days,318 days,May
2024-05-17,Category B,SKU-140,Customer 010,1,20,1947,36 days,318 days,May
2024-05-17,Category B,SKU-141,Customer 044,174,20,4529,36 days,318 days,May
2024-05-17,Category B,SKU-142,Customer 044,93,20,4910,36 days,318 days,May
2024-05-17,Category B,SKU-143,Customer 011,12,20,906,36 days,318 days,May
2024-05-17,Category B,SKU-144,Customer 011,10,20,1113,36 days,318 days,May
2024-05-17,Category B,SKU-145,Customer 011,14,20,2399,36 days,318 days,May
2024-05-18,Category B,SKU-146,Customer 045,4,20,4266,37 days,317 days,May
2024-05-18,Category B,SKU-147,Customer 011,133,20,1166,37 days,317 days,May
2024-05-18,Category B,SKU-148,Customer 011,142,20,2380,37 days,317 days,May
2024-05-18,Category B,SKU-149,Customer 041,186,20,739,37 days,317 days,May
2024-05-18,Category B,SKU-150,Customer 041,282,20,1546,37 days,317 days,May
2024-05-18,Category B,SKU-151,Customer 046,154,20,2681,37 days,317 days,May
2024-05-18,Category B,SKU-152,Customer 016,271,20,862,37 days,317 days,May
2024-05-18,Category B,SKU-153,Customer 047,165,20,1642,37 days,317 days,May
2024-05-18,Category B,SKU-154,Customer 037,26,20,2376,37 days,317 days,May
2024-05-18,Category B,SKU-155,Customer 048,26,20,2376,37 days,317 days,May
2024-05-18,Category B,SKU-156,Customer 011,28,20,4464,37 days,317 days,May
2024-05-18,Category B,SKU-157,Customer 049,6,20,1617,37 days,317 days,May
2024-05-18,Category B,SKU-158,Customer 050,64,20,1411,37 days,317 days,May
2024-05-21,Category B,SKU-159,Customer 011,17,20,5048,40 days,314 days,May
2024-05-21,Category B,SKU-160,Customer 002,88,20,1737,40 days,314 days,May
2024-05-21,Category B,SKU-161,Customer 029,11,20,1182,40 days,314 days,May
2024-05-21,Category B,SKU-162,Customer 029,12,20,2325,40 days,314 days,May
2024-05-21,Category B,SKU-163,Customer 029,14,20,2857,40 days,314 days,May
2024-05-21,Category B,SKU-164,Customer 019,98,20,3168,40 days,314 days,May
2024-05-21,Category B,SKU-165,Customer 019,135,20,2275,40 days,314 days,May
2024-05-22,Category B,SKU-166,Customer 051,27,20,2810,41 days,313 days,May
2024-05-22,Category B,SKU-167,Customer 052,21,20,6480,41 days,313 days,May
2024-05-22,Category B,SKU-168,Customer 046,12,20,6750,41 days,313 days,May
2024-05-22,Category B,SKU-169,Customer 020,16,20,684,41 days,313 days,May
2024-05-22,Category B,SKU-170,Customer 034,10,20,2277,41 days,313 days,May
2024-05-22,Category B,SKU-171,Customer 010,1,20,3956,41 days,313 days,May
2024-05-22,Category B,SKU-172,Customer 044,38,20,4903,41 days,313 days,May
2024-05-22,Category B,SKU-173,Customer 044,55,20,2786,41 days,313 days,May
2024-05-22,Category B,SKU-174,Customer 044,97,20,5411,41 days,313 days,May
2024-05-22,Category B,SKU-175,Customer 052,7,20,5212,41 days,313 days,May
2024-05-22,Category B,SKU-176,Customer 052,7,20,4147,41 days,313 days,May
2024-05-22,Category B,SKU-177,Customer 052,7,20,6567,41 days,313 days,May
2024-05-23,Category B,SKU-178,Customer 028,43,20,1638,42 days,312 days,May
2024-05-23,Category B,SKU-179,Customer 004,28,20,1933,42 days,312 days,May
2024-05-23,Category B,SKU-180,Customer 009,123,20,4077,42 days,312 days,May
2024-05-23,Category B,SKU-181,Customer 009,123,20,4077,42 days,312 days,May
2024-05-23,Category B,SKU-182,Customer 012,58,20,1202,42 days,312 days,May
2024-05-23,Category B,SKU-183,Customer 053,210,20,2428,42 days,312 days,May
2024-05-23,Category B,SKU-184,Customer 004,14,20,2498,42 days,312 days,May
2024-05-24,Category B,SKU-185,Customer 054,43,20,1707,43 days,311 days,May
2024-05-24,Category B,SKU-186,Customer 055,10,20,4846,43 days,311 days,May
2024-05-24,Category B,SKU-187,Customer 032,210,20,2428,43 days,311 days,May
2024-05-24,Category B,SKU-188,Customer 056,82,20,3809,43 days,311 days,May
2024-05-24,Category B,SKU-189,Customer 056,46,20,5371,43 days,311 days,May
2024-05-24,Category B,SKU-190,Customer 056,44,20,2786,43 days,311 days,May
2024-05-24,Category B,SKU-191,Customer 056,80,20,2786,43 days,311 days,May
2024-05-24,Category B,SKU-192,Customer 056,53,20,2786,43 days,311 days,May
2024-05-24,Category B,SKU-193,Customer 030,86,20,1828,43 days,311 days,May
2024-05-24,Category B,SKU-194,Customer 019,4,20,2102,43 days,311 days,May
2024-05-24,Category B,SKU-195,Customer 030,83,20,2032,43 days,311 days,May
2024-05-24,Category B,SKU-196,Customer 056,179,20,2944,43 days,311 days,May
2024-05-24,Category B,SKU-197,Customer 050,93,20,4910,43 days,311 days,May
2024-05-24,Category B,SKU-198,Customer 057,93,20,4714,43 days,311 days,May
2024-05-24,Category B,SKU-199,Customer 050,97,20,5411,43 days,311 days,May
2024-05-24,Category B,SKU-200,Customer 029,133,20,3733,43 days,311 days,May
2024-05-24,Category B,SKU-201,Customer 030,133,20,3732,43 days,311 days,May
2024-05-24,Category B,SKU-202,Customer 056,42,20,1382,43 days,311 days,May
2024-05-25,Category B,SKU-203,Customer 011,56,20,746,44 days,310 days,May
2024-05-25,Category B,SKU-204,Customer 011,26,20,2376,44 days,310 days,May
2024-05-27,Category B,SKU-205,Customer 058,133,20,1166,46 days,308 days,May
2024-05-27,Category B,SKU-206,Customer 004,2,20,1184,46 days,308 days,May
2024-05-27,Category B,SKU-207,Customer 015,42,20,814,46 days,308 days,May
2024-05-27,Category B,SKU-208,Customer 015,48,20,1026,46 days,308 days,May
2024-05-27,Category B,SKU-209,Customer 015,58,20,1252,46 days,308 days,May
2024-05-27,Category B,SKU-210,Customer 011,137,20,1520,46 days,308 days,May
2024-05-28,Category B,SKU-211,Customer 044,4,20,9972,47 days,307 days,May
2024-05-28,Category B,SKU-212,Customer 019,9,20,850,47 days,307 days,May
2024-05-28,Category B,SKU-213,Customer 019,5,20,1015,47 days,307 days,May
2024-05-28,Category B,SKU-214,Customer 019,4,20,1274,47 days,307 days,May
2024-05-29,Category B,SKU-215,Customer 059,22,20,3942,48 days,306 days,May
2024-05-29,Category B,SKU-216,Customer 030,55,20,1175,48 days,306 days,May
2024-05-29,Category B,SKU-217,Customer 059,95,20,4597,48 days,306 days,May
2024-05-29,Category B,SKU-218,Customer 004,6,20,3297,48 days,306 days,May
2024-05-29,Category B,SKU-219,Customer 060,218,20,2210,48 days,306 days,May
2024-05-29,Category B,SKU-220,Customer 016,179,20,2945,48 days,306 days,May
2024-05-29,Category B,SKU-221,Customer 016,174,20,4529,48 days,306 days,May
2024-05-29,Category B,SKU-222,Customer 016,133,20,3888,48 days,306 days,May
2024-05-29,Category B,SKU-223,Customer 061,4,20,4838,48 days,306 days,May
2024-05-30,Category B,SKU-224,Customer 062,27,20,2927,49 days,305 days,May
2024-05-30,Category B,SKU-225,Customer 063,105,20,3078,49 days,305 days,May
2024-05-30,Category B,SKU-226,Customer 057,165,20,1642,49 days,305 days,May
2024-05-30,Category B,SKU-227,Customer 051,53,20,1110,49 days,305 days,May
2024-05-30,Category B,SKU-228,Customer 040,53,20,1156,49 days,305 days,May
2024-05-30,Category B,SKU-229,Customer 006,22,20,1286,49 days,305 days,May
2024-05-30,Category B,SKU-230,Customer 010,97,20,5194,49 days,305 days,May
2024-05-31,Category B,SKU-231,Customer 049,20,20,3618,50 days,304 days,May
2024-05-31,Category B,SKU-232,Customer 004,5,20,2160,50 days,304 days,May
2024-05-31,Category B,SKU-233,Customer 026,139,20,2380,50 days,304 days,May
2024-05-31,Category B,SKU-234,Customer 026,104,20,2380,50 days,304 days,May
2024-05-31,Category B,SKU-235,Customer 064,32,20,1231,50 days,304 days,May
2024-05-31,Category B,SKU-236,Customer 024,186,20,739,50 days,304 days,May
2024-05-31,Category B,SKU-237,Customer 024,177,20,937,50 days,304 days,May
2024-05-31,Category B,SKU-238,Customer 024,151,20,1135,50 days,304 days,May
2024-05-31,Category B,SKU-239,Customer 024,282,20,1546,50 days,304 days,May
2024-05-31,Category B,SKU-240,Customer 024,192,20,1949,50 days,304 days,May
2024-05-31,Category B,SKU-241,Customer 024,18,20,1949,50 days,304 days,May
2024-05-31,Category B,SKU-242,Customer 063,41,20,3386,50 days,304 days,May
2024-05-31,Category B,SKU-243,Customer 065,216,20,1081,50 days,304 days,May
2024-05-31,Category B,SKU-244,Customer 066,165,20,1710,50 days,304 days,May
2024-05-31,Category B,SKU-245,Customer 067,253,20,1575,50 days,304 days,May
2024-05-31,Category B,SKU-246,Customer 038,22,20,2167,50 days,304 days,May
2024-05-31,Category B,SKU-247,Customer 068,102,20,715,50 days,304 days,May
2024-05-31,Category B,SKU-248,Customer 069,163,20,1142,50 days,304 days,May
2024-05-31,Category B,SKU-249,Customer 015,163,20,1142,50 days,304 days,May
2024-05-31,Category B,SKU-250,Customer 070,163,20,1096,50 days,304 days,May
2024-05-31,Category B,SKU-251,Customer 035,163,20,1142,50 days,304 days,May
2024-05-31,Category B,SKU-252,Customer 069,53,20,1156,50 days,304 days,May
2024-05-31,Category B,SKU-253,Customer 015,53,20,1156,50 days,304 days,May
2024-05-31,Category B,SKU-254,Customer 070,53,20,1110,50 days,304 days,May
2024-05-31,Category B,SKU-255,Customer 035,53,20,1156,50 days,304 days,May
2024-05-31,Category B,SKU-256,Customer 043,2,20,3024,50 days,304 days,May
2024-05-31,Category B,SKU-257,Customer 070,38,20,4707,50 days,304 days,May
2024-05-31,Category B,SKU-258,Customer 011,6,20,2675,50 days,304 days,May
2024-05-31,Category B,SKU-259,Customer 071,86,20,1828,50 days,304 days,May
2024-05-31,Category B,SKU-260,Customer 063,98,20,3168,50 days,304 days,May
2024-04-06,Category B,SKU-261,Customer 018,97,20,1523,54 days,300 days,April
2024-04-06,Category B,SKU-262,Customer 018,5,20,2128,54 days,300 days,April
2024-04-06,Category B,SKU-263,Customer 052,320,20,1597,54 days,300 days,April
2024-05-06,Category B,SKU-264,Customer 016,145,20,3844,55 days,299 days,May
2024-05-06,Category B,SKU-265,Customer 072,142,20,2285,55 days,299 days,May
2024-05-06,Category B,SKU-266,Customer 072,228,20,2285,55 days,299 days,May
2024-05-06,Category B,SKU-267,Customer 016,12,20,1332,55 days,299 days,May
2024-05-06,Category B,SKU-268,Customer 015,55,20,2786,55 days,299 days,May
2024-05-06,Category B,SKU-269,Customer 015,2,20,4536,55 days,299 days,May
2024-05-06,Category B,SKU-270,Customer 016,5,20,1404,55 days,299 days,May
2024-07-06,Category B,SKU-271,Customer 029,12,20,696,57 days,297 days,July
2024-07-06,Category B,SKU-272,Customer 029,8,20,873,57 days,297 days,July
2024-07-06,Category B,SKU-273,Customer 029,179,20,2827,57 days,297 days,July
2024-07-06,Category B,SKU-274,Customer 011,12,20,719,57 days,297 days,July
2024-08-06,Category B,SKU-275,Customer 047,8,20,1168,58 days,296 days,August
2024-10-06,Category B,SKU-276,Customer 037,156,20,2830,60 days,294 days,October
2024-10-06,Category B,SKU-277,Customer 037,72,20,2948,60 days,294 days,October
2024-10-06,Category B,SKU-278,Customer 058,165,20,1710,60 days,294 days,October
2024-10-06,Category B,SKU-279,Customer 004,165,20,1710,60 days,294 days,October
2024-10-06,Category B,SKU-280,Customer 036,3,20,777,60 days,294 days,October
2024-10-06,Category B,SKU-281,Customer 003,2,20,4218,60 days,294 days,October
2024-10-06,Category B,SKU-282,Customer 003,6,20,1801,60 days,294 days,October
2024-10-06,Category B,SKU-283,Customer 046,1,20,3201,60 days,294 days,October
2024-10-06,Category B,SKU-284,Customer 003,10,20,2663,60 days,294 days,October
2024-10-06,Category B,SKU-285,Customer 046,5,20,5638,60 days,294 days,October
2024-10-06,Category B,SKU-286,Customer 003,6,20,2229,60 days,294 days,October
2024-10-06,Category B,SKU-287,Customer 016,97,20,1411,60 days,294 days,October
2024-10-06,Category B,SKU-288,Customer 016,86,20,1904,60 days,294 days,October
2024-10-06,Category B,SKU-289,Customer 016,83,20,2117,60 days,294 days,October
2024-10-06,Category B,SKU-290,Customer 016,179,20,2945,60 days,294 days,October
2024-10-06,Category B,SKU-291,Customer 016,133,20,3888,60 days,294 days,October
2024-10-06,Category B,SKU-292,Customer 003,5,20,900,60 days,294 days,October
2024-10-06,Category B,SKU-293,Customer 003,5,20,1339,60 days,294 days,October
2024-11-06,Category B,SKU-294,Customer 013,194,20,2160,61 days,293 days,November
2024-11-06,Category B,SKU-295,Customer 026,139,20,2380,61 days,293 days,November
2024-11-06,Category B,SKU-296,Customer 073,1,20,2421,61 days,293 days,November
2024-11-06,Category B,SKU-297,Customer 016,12,20,1332,61 days,293 days,November
2024-11-06,Category B,SKU-298,Customer 029,9,20,1431,61 days,293 days,November
2024-11-06,Category B,SKU-299,Customer 029,10,20,1839,61 days,293 days,November
2024-11-06,Category B,SKU-300,Customer 029,8,20,2101,61 days,293 days,November
2024-12-06,Category B,SKU-301,Customer 037,261,20,2918,62 days,292 days,December
2024-06-13,Category B,SKU-302,Customer 074,11,20,1156,63 days,291 days,June
2024-06-13,Category B,SKU-303,Customer 075,39,20,1409,63 days,291 days,June
2024-06-13,Category B,SKU-304,Customer 063,13,20,2128,63 days,291 days,June
2024-06-13,Category B,SKU-305,Customer 044,10,20,1658,63 days,291 days,June
2024-06-13,Category B,SKU-306,Customer 015,9,20,900,63 days,291 days,June
2024-06-14,Category B,SKU-307,Customer 076,355,20,1069,64 days,290 days,June
2024-06-14,Category B,SKU-308,Customer 077,12,20,6750,64 days,290 days,June
2024-06-14,Category B,SKU-309,Customer 012,12,20,1279,64 days,290 days,June
2024-06-14,Category B,SKU-310,Customer 005,36,20,5393,64 days,290 days,June
2024-06-14,Category B,SKU-311,Customer 005,80,20,2786,64 days,290 days,June
2024-06-14,Category B,SKU-312,Customer 005,53,20,2786,64 days,290 days,June
2024-06-14,Category B,SKU-313,Customer 005,97,20,1411,64 days,290 days,June
2024-06-14,Category B,SKU-314,Customer 005,86,20,1904,64 days,290 days,June
2024-06-14,Category B,SKU-315,Customer 005,83,20,2117,64 days,290 days,June
2024-06-14,Category B,SKU-316,Customer 005,78,20,1296,64 days,290 days,June
2024-06-15,Category B,SKU-317,Customer 078,210,20,2262,65 days,289 days,June
2024-06-17,Category B,SKU-318,Customer 012,165,20,1641,67 days,287 days,June
2024-06-17,Category B,SKU-319,Customer 065,163,20,1142,67 days,287 days,June
2024-06-17,Category B,SKU-320,Customer 079,53,20,2675,67 days,287 days,June
2024-06-17,Category B,SKU-321,Customer 079,34,20,2675,67 days,287 days,June
2024-06-17,Category B,SKU-322,Customer 079,55,20,2675,67 days,287 days,June
2024-06-18,Category B,SKU-323,Customer 017,133,20,1166,68 days,286 days,June
2024-06-18,Category B,SKU-324,Customer 064,139,20,2380,68 days,286 days,June
2024-06-18,Category B,SKU-325,Customer 052,163,20,1096,68 days,286 days,June
2024-06-18,Category B,SKU-326,Customer 029,44,20,1418,68 days,286 days,June
2024-06-18,Category B,SKU-327,Customer 030,44,20,1418,68 days,286 days,June
2024-06-18,Category B,SKU-328,Customer 020,44,20,1477,68 days,286 days,June
2024-06-19,Category B,SKU-329,Customer 080,151,20,1504,69 days,285 days,June
2024-06-19,Category B,SKU-330,Customer 016,8,20,1217,69 days,285 days,June
2024-06-19,Category B,SKU-331,Customer 016,83,20,2117,69 days,285 days,June
2024-06-20,Category B,SKU-332,Customer 030,195,20,1044,70 days,284 days,June
2024-06-20,Category B,SKU-333,Customer 081,95,20,4596,70 days,284 days,June
2024-06-20,Category B,SKU-334,Customer 016,228,20,2381,70 days,284 days,June
2024-06-20,Category B,SKU-335,Customer 023,22,20,1235,70 days,284 days,June
2024-06-20,Category B,SKU-336,Customer 032,46,20,5371,70 days,284 days,June
2024-06-20,Category B,SKU-337,Customer 032,53,20,2786,70 days,284 days,June
2024-06-20,Category B,SKU-338,Customer 032,83,20,2117,70 days,284 days,June
2024-06-20,Category B,SKU-339,Customer 032,97,20,5411,70 days,284 days,June
2024-06-21,Category B,SKU-340,Customer 082,133,20,1167,71 days,283 days,June
2024-06-21,Category B,SKU-341,Customer 007,97,20,5194,71 days,283 days,June
2024-06-22,Category B,SKU-342,Customer 037,39,20,2975,72 days,282 days,June
2024-06-22,Category B,SKU-343,Customer 043,43,20,2921,72 days,282 days,June
2024-06-22,Category B,SKU-344,Customer 043,165,20,1710,72 days,282 days,June
2024-06-22,Category B,SKU-345,Customer 048,3,20,2333,72 days,282 days,June
2024-06-22,Category B,SKU-346,Customer 048,6,20,3201,72 days,282 days,June
2024-06-22,Category B,SKU-347,Customer 063,12,20,1692,72 days,282 days,June
2024-06-22,Category B,SKU-348,Customer 063,9,20,1541,72 days,282 days,June
