Finacial Year,Quarter,Sum of QTY,SKU,Depot
2023-2024,Qtr 4,26160,SKU-001,Depot 07
2023-2024,Qtr 1,24680,SKU-001,Depot 08
2023-2024,Qtr 2,15400,SKU-001,Depot 08
2023-2024,Qtr 3,33000,SKU-001,Depot 08
2023-2024,Qtr 4,7760,SKU-001,Depot 08
2023-2024,Qtr 1,87276,SKU-001,Depot 09
2023-2024,Qtr 2,16120,SKU-001,Depot 09
2023-2024,Qtr 3,25280,SKU-001,Depot 09
2023-2024,Qtr 4,40580,SKU-001,Depot 09
2023-2024,Qtr 1,2960,SKU-001,Depot 10
2023-2024,Qtr 2,3800,SKU-001,Depot 10
2023-2024,Qtr 3,11400,SKU-001,Depot 10
2023-2024,Qtr 4,7680,SKU-001,Depot 10
2023-2024,Qtr 1,333580,SKU-001,Depot 11
2023-2024,Qtr 2,234320,SKU-001,Depot 11
2023-2024,Qtr 3,167270,SKU-001,Depot 11
2023-2024,Qtr 4,201320,SKU-001,Depot 11
2023-2024,Qtr 1,127780,SKU-001,Depot 12
2023-2024,Qtr 2,43920,SKU-001,Depot 12
2023-2024,Qtr 3,51080,SKU-001,Depot 12
2023-2024,Qtr 4,127160,SKU-001,Depot 12
2023-2024,Qtr 1,2552210,SKU-001,Depot 13
2023-2024,Qtr 2,341960,SKU-001,Depot 13
2023-2024,Qtr 3,1037780,SKU-001,Depot 13
2023-2024,Qtr 4,1557760,SKU-001,Depot 13
2023-2024,Qtr 1,164640,SKU-001,Depot 14
2023-2024,Qtr 2,47602,SKU-001,Depot 14
2023-2024,Qtr 3,149920,SKU-001,Depot 14
2023-2024,Qtr 4,96040,SKU-001,Depot 14
2023-2024,Qtr 1,25020,SKU-001,Depot 15
2023-2024,Qtr 2,760,SKU-001,Depot 15
2023-2024,Qtr 3,16600,SKU-001,Depot 15
2023-2024,Qtr 4,16000,SKU-001,Depot 15
2023-2024,Qtr 1,104510,SKU-001,Depot 16
2023-2024,Qtr 2,23840,SKU-001,Depot 16
2023-2024,Qtr 3,82200,SKU-001,Depot 16
2023-2024,Qtr 4,165480,SKU-001,Depot 16
2023-2024,Qtr 1,894689,SKU-001,Depot 17
2023-2024,Qtr 2,196440,SKU-001,Depot 17
2023-2024,Qtr 3,218040,SKU-001,Depot 17
2023-2024,Qtr 4,600740,SKU-001,Depot 17
2021-2022,Qtr 1,3200,SKU-001,Depot 01
2021-2022,Qtr 2,3520,SKU-001,Depot 01
2021-2022,Qtr 3,5600,SKU-001,Depot 01
2021-2022,Qtr 4,8560,SKU-001,Depot 01
2021-2022,Qtr 1,51098,SKU-001,Depot 02
2021-2022,Qtr 2,36880,SKU-001,Depot 02
2021-2022,Qtr 3,88800,SKU-001,Depot 02
2021-2022,Qtr 4,56120,SKU-001,Depot 02
2021-2022,Qtr 1,17275,SKU-001,Depot 03
2021-2022,Qtr 2,18280,SKU-001,Depot 03
2021-2022,Qtr 3,34320,SKU-001,Depot 03
2021-2022,Qtr 4,18880,SKU-001,Depot 03
2021-2022,Qtr 1,28441,SKU-001,Depot 04
2021-2022,Qtr 2,11360,SKU-001,Depot 04
2021-2022,Qtr 3,42660,SKU-001,Depot 04
2021-2022,Qtr 4,35060,SKU-001,Depot 04
2021-2022,Qtr 1,41120,SKU-001,Depot 05
2021-2022,Qtr 2,12840,SKU-001,Depot 05
2021-2022,Qtr 3,41580,SKU-001,Depot 05
2021-2022,Qtr 4,52490,SKU-001,Depot 05
2021-2022,Qtr 1,19840,SKU-001,Depot 06
2021-2022,Qtr 2,2960,SKU-001,Depot 06
2021-2022,Qtr 3,30020,SKU-001,Depot 06
2021-2022,Qtr 4,14720,SKU-001,Depot 06
2021-2022,Qtr 1,18440,SKU-001,Depot 07
2021-2022,Qtr 2,14200,SKU-001,Depot 07
2021-2022,Qtr 3,33400,SKU-001,Depot 07
2021-2022,Qtr 4,44120,SKU-001,Depot 07
2021-2022,Qtr 1,13160,SKU-001,Depot 08
2021-2022,Qtr 2,10320,SKU-001,Depot 08
2021-2022,Qtr 3,15400,SKU-001,Depot 08
2021-2022,Qtr 4,9520,SKU-001,Depot 08
2021-2022,Qtr 1,26760,SKU-001,Depot 09
2021-2022,Qtr 2,2960,SKU-001,Depot 09
2021-2022,Qtr 3,18920,SKU-001,Depot 09
2021-2022,Qtr 4,18320,SKU-001,Depot 09
2021-2022,Qtr 1,46220,SKU-001,Depot 10
2021-2022,Qtr 2,3960,SKU-001,Depot 10
2021-2022,Qtr 3,8000,SKU-001,Depot 10
2021-2022,Qtr 4,6360,SKU-001,Depot 10
2021-2022,Qtr 1,238520,SKU-001,Depot 11
2021-2022,Qtr 2,73500,SKU-001,Depot 11
2021-2022,Qtr 3,177074,SKU-001,Depot 11
2021-2022,Qtr 4,266920,SKU-001,Depot 11
2021-2022,Qtr 1,66440,SKU-001,Depot 12
2021-2022,Qtr 2,17760,SKU-001,Depot 12
2021-2022,Qtr 3,37260,SKU-001,Depot 12
2021-2022,Qtr 4,51460,SKU-001,Depot 12
2021-2022,Qtr 1,803205,SKU-001,Depot 13
2021-2022,Qtr 2,535500,SKU-001,Depot 13
2021-2022,Qtr 3,947760,SKU-001,Depot 13
2021-2022,Qtr 4,1219830,SKU-001,Depot 13
2021-2022,Qtr 1,86240,SKU-001,Depot 14
2021-2022,Qtr 2,59730,SKU-001,Depot 14
2021-2022,Qtr 3,168715,SKU-001,Depot 14
2021-2022,Qtr 4,60545,SKU-001,Depot 14
2021-2022,Qtr 1,17560,SKU-001,Depot 15
2021-2022,Qtr 3,11400,SKU-001,Depot 15
2021-2022,Qtr 4,5520,SKU-001,Depot 15
2021-2022,Qtr 1,117025,SKU-001,Depot 16
2021-2022,Qtr 2,63708,SKU-001,Depot 16
2021-2022,Qtr 3,129636,SKU-001,Depot 16
2021-2022,Qtr 4,101392,SKU-001,Depot 16
2021-2022,Qtr 1,493760,SKU-001,Depot 17
2021-2022,Qtr 2,113500,SKU-001,Depot 17
2021-2022,Qtr 3,383990,SKU-001,Depot 17
2021-2022,Qtr 4,394080,SKU-001,Depot 17
2024-2025,Qtr 2,40120,SKU-001,Depot 01
2024-2025,Qtr 3,20800,SKU-001,Depot 01
2024-2025,Qtr 4,47600,SKU-001,Depot 01
2024-2025,Qtr 2,49860,SKU-001,Depot 02
2024-2025,Qtr 3,99000,SKU-001,Depot 02
2024-2025,Qtr 4,87295,SKU-001,Depot 02
2024-2025,Qtr 2,11800,SKU-001,Depot 03
2024-2025,Qtr 3,23880,SKU-001,Depot 03
2024-2025,Qtr 4,30420,SKU-001,Depot 03
2024-2025,Qtr 2,31800,SKU-001,Depot 04
2024-2025,Qtr 3,10240,SKU-001,Depot 04
2024-2025,Qtr 4,83080,SKU-001,Depot 04
2024-2025,Qtr 2,33245,SKU-001,Depot 05
2024-2025,Qtr 3,33040,SKU-001,Depot 05
2024-2025,Qtr 4,50040,SKU-001,Depot 05
2024-2025,Qtr 2,35640,SKU-001,Depot 06
2024-2025,Qtr 3,10820,SKU-001,Depot 06
2024-2025,Qtr 4,25240,SKU-001,Depot 06
2024-2025,Qtr 2,20600,SKU-001,Depot 07
2024-2025,Qtr 3,33400,SKU-001,Depot 07
2024-2025,Qtr 4,27490,SKU-001,Depot 07
2024-2025,Qtr 2,17200,SKU-001,Depot 08
2024-2025,Qtr 3,23880,SKU-001,Depot 08
2024-2025,Qtr 4,32120,SKU-001,Depot 08
2024-2025,Qtr 2,16120,SKU-001,Depot 09
2024-2025,Qtr 3,41520,SKU-001,Depot 09
2024-2025,Qtr 4,84140,SKU-001,Depot 09
2024-2025,Qtr 2,9720,SKU-001,Depot 10
2024-2025,Qtr 3,10080,SKU-001,Depot 10
2024-2025,Qtr 4,22880,SKU-001,Depot 10
2024-2025,Qtr 2,91340,SKU-001,Depot 11
2024-2025,Qtr 3,106960,SKU-001,Depot 11
2024-2025,Qtr 4,180740,SKU-001,Depot 11
2024-2025,Qtr 2,29300,SKU-001,Depot 12
2024-2025,Qtr 3,70440,SKU-001,Depot 12
2024-2025,Qtr 4,253620,SKU-001,Depot 12
2024-2025,Qtr 2,624380,SKU-001,Depot 13
2024-2025,Qtr 3,973100,SKU-001,Depot 13
2024-2025,Qtr 4,1387930,SKU-001,Depot 13
2024-2025,Qtr 2,72980,SKU-001,Depot 14
2024-2025,Qtr 3,77560,SKU-001,Depot 14
2024-2025,Qtr 4,84620,SKU-001,Depot 14
2024-2025,Qtr 2,17600,SKU-001,Depot 15
2024-2025,Qtr 3,28200,SKU-001,Depot 15
2024-2025,Qtr 4,70320,SKU-001,Depot 15
2024-2025,Qtr 2,22236,SKU-001,Depot 16
2024-2025,Qtr 3,149788,SKU-001,Depot 16
2024-2025,Qtr 4,150820,SKU-001,Depot 16
2024-2025,Qtr 2,180000,SKU-001,Depot 17
2024-2025,Qtr 3,290300,SKU-001,Depot 17
2024-2025,Qtr 4,676660,SKU-001,Depot 17
2024-2025,Qtr 2,6860,SKU-002,Depot 01
2024-2025,Qtr 3,10900,SKU-002,Depot 01
2024-2025,Qtr 4,8620,SKU-002,Depot 01
2024-2025,Qtr 2,19520,SKU-002,Depot 02
2024-2025,Qtr 3,40320,SKU-002,Depot 02
2024-2025,Qtr 4,26023,SKU-002,Depot 02
2024-2025,Qtr 2,17520,SKU-002,Depot 03
2024-2025,Qtr 3,27300,SKU-002,Depot 03
2024-2025,Qtr 4,28490,SKU-002,Depot 03
2024-2025,Qtr 2,38400,SKU-002,Depot 04
2024-2025,Qtr 3,28700,SKU-002,Depot 04
2024-2025,Qtr 4,33020,SKU-002,Depot 04
2024-2025,Qtr 2,17560,SKU-002,Depot 05
2024-2025,Qtr 3,22140,SKU-002,Depot 05
2024-2025,Qtr 4,27060,SKU-002,Depot 05
2024-2025,Qtr 2,4720,SKU-002,Depot 06
2024-2025,Qtr 3,3700,SKU-002,Depot 06
2024-2025,Qtr 4,4160,SKU-002,Depot 06
2024-2025,Qtr 2,29000,SKU-002,Depot 07
2024-2025,Qtr 3,23000,SKU-002,Depot 07
2024-2025,Qtr 4,8800,SKU-002,Depot 07
2024-2025,Qtr 2,1740,SKU-002,Depot 08
2024-2025,Qtr 3,3940,SKU-002,Depot 08
2024-2025,Qtr 4,6100,SKU-002,Depot 08
2024-2025,Qtr 2,6040,SKU-002,Depot 09
2024-2025,Qtr 3,6680,SKU-002,Depot 09
2024-2025,Qtr 4,9180,SKU-002,Depot 09
2024-2025,Qtr 2,6720,SKU-002,Depot 10
2024-2025,Qtr 3,6720,SKU-002,Depot 10
2024-2025,Qtr 4,8280,SKU-002,Depot 10
2024-2025,Qtr 2,15880,SKU-002,Depot 11
2024-2025,Qtr 3,23560,SKU-002,Depot 11
2024-2025,Qtr 4,13960,SKU-002,Depot 11
2024-2025,Qtr 2,13220,SKU-002,Depot 12
2024-2025,Qtr 3,14920,SKU-002,Depot 12
2024-2025,Qtr 4,37296,SKU-002,Depot 12
2024-2025,Qtr 2,70740,SKU-002,Depot 13
2024-2025,Qtr 3,77990,SKU-002,Depot 13
2024-2025,Qtr 4,91100,SKU-002,Depot 13
2024-2025,Qtr 2,48050,SKU-002,Depot 14
2024-2025,Qtr 3,49440,SKU-002,Depot 14
2024-2025,Qtr 4,33490,SKU-002,Depot 14
2024-2025,Qtr 2,5820,SKU-002,Depot 15
2024-2025,Qtr 3,7040,SKU-002,Depot 15
2024-2025,Qtr 4,5100,SKU-002,Depot 15
2024-2025,Qtr 2,26833,SKU-002,Depot 16
2024-2025,Qtr 3,37494,SKU-002,Depot 16
2024-2025,Qtr 4,40300,SKU-002,Depot 16
2024-2025,Qtr 2,37320,SKU-002,Depot 17
2024-2025,Qtr 3,44220,SKU-002,Depot 17
2024-2025,Qtr 4,56210,SKU-002,Depot 17
2023-2024,Qtr 1,18080,SKU-002,Depot 01
2023-2024,Qtr 2,16520,SKU-002,Depot 01
2023-2024,Qtr 3,7620,SKU-002,Depot 01
2023-2024,Qtr 4,12080,SKU-002,Depot 01
2023-2024,Qtr 1,34680,SKU-002,Depot 02
2023-2024,Qtr 2,71660,SKU-002,Depot 02
2023-2024,Qtr 3,53820,SKU-002,Depot 02
2023-2024,Qtr 4,24460,SKU-002,Depot 02
2023-2024,Qtr 1,49190,SKU-002,Depot 03
2023-2024,Qtr 2,31341,SKU-002,Depot 03
2023-2024,Qtr 3,26540,SKU-002,Depot 03
2023-2024,Qtr 4,39155,SKU-002,Depot 03
2023-2024,Qtr 1,58380,SKU-002,Depot 04
2023-2024,Qtr 2,66455,SKU-002,Depot 04
2023-2024,Qtr 3,42080,SKU-002,Depot 04
2023-2024,Qtr 4,56180,SKU-002,Depot 04
2023-2024,Qtr 1,28380,SKU-002,Depot 05
2023-2024,Qtr 2,22760,SKU-002,Depot 05
2023-2024,Qtr 3,6220,SKU-002,Depot 05
2023-2024,Qtr 4,19870,SKU-002,Depot 05
2023-2024,Qtr 1,4530,SKU-002,Depot 06
2023-2024,Qtr 2,7720,SKU-002,Depot 06
2023-2024,Qtr 3,3240,SKU-002,Depot 06
2023-2024,Qtr 4,8680,SKU-002,Depot 06
2023-2024,Qtr 1,34390,SKU-002,Depot 07
2023-2024,Qtr 2,46140,SKU-002,Depot 07
2023-2024,Qtr 3,15720,SKU-002,Depot 07
2023-2024,Qtr 4,45160,SKU-002,Depot 07
2023-2024,Qtr 1,3980,SKU-002,Depot 08
2023-2024,Qtr 2,13300,SKU-002,Depot 08
2023-2024,Qtr 3,3300,SKU-002,Depot 08
2023-2024,Qtr 4,8800,SKU-002,Depot 08
2023-2024,Qtr 1,24100,SKU-002,Depot 09
2023-2024,Qtr 2,29180,SKU-002,Depot 09
2023-2024,Qtr 3,14080,SKU-002,Depot 09
2023-2024,Qtr 4,14580,SKU-002,Depot 09
2023-2024,Qtr 1,8940,SKU-002,Depot 10
2023-2024,Qtr 2,21140,SKU-002,Depot 10
2023-2024,Qtr 3,6760,SKU-002,Depot 10
2023-2024,Qtr 4,12220,SKU-002,Depot 10
2023-2024,Qtr 1,46300,SKU-002,Depot 11
2023-2024,Qtr 2,65880,SKU-002,Depot 11
2023-2024,Qtr 3,26715,SKU-002,Depot 11
2023-2024,Qtr 4,54932,SKU-002,Depot 11
2023-2024,Qtr 1,17940,SKU-002,Depot 12
2023-2024,Qtr 2,36210,SKU-002,Depot 12
2023-2024,Qtr 3,3780,SKU-002,Depot 12
2023-2024,Qtr 4,29920,SKU-002,Depot 12
2023-2024,Qtr 1,193790,SKU-002,Depot 13
2023-2024,Qtr 2,253700,SKU-002,Depot 13
2023-2024,Qtr 3,19088,SKU-002,Depot 13
2023-2024,Qtr 4,154680,SKU-002,Depot 13
2023-2024,Qtr 1,49340,SKU-002,Depot 14
2023-2024,Qtr 2,108120,SKU-002,Depot 14
2023-2024,Qtr 3,42260,SKU-002,Depot 14
2023-2024,Qtr 4,65960,SKU-002,Depot 14
2023-2024,Qtr 1,8000,SKU-002,Depot 15
2023-2024,Qtr 2,11700,SKU-002,Depot 15
2023-2024,Qtr 3,3680,SKU-002,Depot 15
2023-2024,Qtr 4,4660,SKU-002,Depot 15
2023-2024,Qtr 1,47460,SKU-002,Depot 16
2023-2024,Qtr 2,52000,SKU-002,Depot 16
2023-2024,Qtr 3,29900,SKU-002,Depot 16
2023-2024,Qtr 4,41610,SKU-002,Depot 16
2023-2024,Qtr 1,96940,SKU-002,Depot 17
2023-2024,Qtr 2,74400,SKU-002,Depot 17
2023-2024,Qtr 3,13880,SKU-002,Depot 17
2023-2024,Qtr 4,52650,SKU-002,Depot 17
2022-2023,Qtr 1,19540,SKU-002,Depot 01
2022-2023,Qtr 2,4680,SKU-002,Depot 01
2022-2023,Qtr 3,4480,SKU-002,Depot 01
2022-2023,Qtr 4,7530,SKU-002,Depot 01
2022-2023,Qtr 1,21860,SKU-002,Depot 02
2022-2023,Qtr 2,17500,SKU-002,Depot 02
2022-2023,Qtr 3,37600,SKU-002,Depot 02
2022-2023,Qtr 4,37175,SKU-002,Depot 02
2022-2023,Qtr 1,27730,SKU-002,Depot 03
2022-2023,Qtr 2,18660,SKU-002,Depot 03
2022-2023,Qtr 3,28850,SKU-002,Depot 03
2022-2023,Qtr 4,25631,SKU-002,Depot 03
2022-2023,Qtr 1,27820,SKU-002,Depot 04
2022-2023,Qtr 2,26880,SKU-002,Depot 04
2022-2023,Qtr 3,21440,SKU-002,Depot 04
2022-2023,Qtr 4,19880,SKU-002,Depot 04
2022-2023,Qtr 1,25100,SKU-002,Depot 05
2022-2023,Qtr 2,25800,SKU-002,Depot 05
2022-2023,Qtr 3,27320,SKU-002,Depot 05
2022-2023,Qtr 4,18420,SKU-002,Depot 05
2022-2023,Qtr 1,5440,SKU-002,Depot 06
2022-2023,Qtr 2,3720,SKU-002,Depot 06
2022-2023,Qtr 3,4340,SKU-002,Depot 06
2022-2023,Qtr 4,2000,SKU-002,Depot 06
2022-2023,Qtr 1,15940,SKU-002,Depot 07
2022-2023,Qtr 2,6340,SKU-002,Depot 07
2022-2023,Qtr 3,43520,SKU-002,Depot 07
2022-2023,Qtr 4,5840,SKU-002,Depot 07
2022-2023,Qtr 1,1200,SKU-002,Depot 08
2022-2023,Qtr 2,2020,SKU-002,Depot 08
2022-2023,Qtr 3,1520,SKU-002,Depot 08
2022-2023,Qtr 4,940,SKU-002,Depot 08
2022-2023,Qtr 1,13540,SKU-002,Depot 09
2022-2023,Qtr 2,7400,SKU-002,Depot 09
2022-2023,Qtr 3,12640,SKU-002,Depot 09
2022-2023,Qtr 4,14340,SKU-002,Depot 09
2022-2023,Qtr 1,16380,SKU-002,Depot 10
2022-2023,Qtr 2,12540,SKU-002,Depot 10
2022-2023,Qtr 3,18560,SKU-002,Depot 10
2022-2023,Qtr 4,11020,SKU-002,Depot 10
2022-2023,Qtr 1,51948,SKU-002,Depot 11
2022-2023,Qtr 2,33380,SKU-002,Depot 11
2022-2023,Qtr 3,61720,SKU-002,Depot 11
2022-2023,Qtr 4,41500,SKU-002,Depot 11
2022-2023,Qtr 1,12780,SKU-002,Depot 12
2022-2023,Qtr 2,8380,SKU-002,Depot 12
2022-2023,Qtr 3,10720,SKU-002,Depot 12
2022-2023,Qtr 4,13220,SKU-002,Depot 12
2022-2023,Qtr 1,129900,SKU-002,Depot 13
2022-2023,Qtr 2,59180,SKU-002,Depot 13
2022-2023,Qtr 3,101320,SKU-002,Depot 13
2022-2023,Qtr 4,110240,SKU-002,Depot 13
2022-2023,Qtr 1,50000,SKU-002,Depot 14
2022-2023,Qtr 2,24560,SKU-002,Depot 14
2022-2023,Qtr 3,57600,SKU-002,Depot 14
2022-2023,Qtr 4,64450,SKU-002,Depot 14
2022-2023,Qtr 1,2160,SKU-002,Depot 15
2022-2023,Qtr 2,6220,SKU-002,Depot 15
2022-2023,Qtr 3,12480,SKU-002,Depot 15
2022-2023,Qtr 4,3060,SKU-002,Depot 15
2022-2023,Qtr 1,29010,SKU-002,Depot 16
2022-2023,Qtr 2,19580,SKU-002,Depot 16
2022-2023,Qtr 3,49039,SKU-002,Depot 16
2022-2023,Qtr 4,33130,SKU-002,Depot 16
2022-2023,Qtr 1,44760,SKU-002,Depot 17
2022-2023,Qtr 2,25390,SKU-002,Depot 17
2022-2023,Qtr 3,24820,SKU-002,Depot 17
2022-2023,Qtr 4,50350,SKU-002,Depot 17
2021-2022,Qtr 1,2840,SKU-002,Depot 01
2021-2022,Qtr 2,2460,SKU-002,Depot 01
2021-2022,Qtr 3,2620,SKU-002,Depot 01
2021-2022,Qtr 4,3480,SKU-002,Depot 01
2021-2022,Qtr 1,26920,SKU-002,Depot 02
2021-2022,Qtr 2,17200,SKU-002,Depot 02
2021-2022,Qtr 3,27760,SKU-002,Depot 02
2021-2022,Qtr 4,31280,SKU-002,Depot 02
2021-2022,Qtr 1,35890,SKU-002,Depot 03
2021-2022,Qtr 2,19644,SKU-002,Depot 03
2021-2022,Qtr 3,36781,SKU-002,Depot 03
2021-2022,Qtr 4,36480,SKU-002,Depot 03
2021-2022,Qtr 1,24080,SKU-002,Depot 04
2021-2022,Qtr 2,8370,SKU-002,Depot 04
2021-2022,Qtr 3,21060,SKU-002,Depot 04
2021-2022,Qtr 4,20360,SKU-002,Depot 04
2021-2022,Qtr 1,18750,SKU-002,Depot 05
2021-2022,Qtr 2,4040,SKU-002,Depot 05
2021-2022,Qtr 3,13910,SKU-002,Depot 05
2021-2022,Qtr 4,21120,SKU-002,Depot 05
2021-2022,Qtr 1,2080,SKU-002,Depot 06
2021-2022,Qtr 2,1500,SKU-002,Depot 06
2021-2022,Qtr 3,3840,SKU-002,Depot 06
2021-2022,Qtr 4,7720,SKU-002,Depot 06
2021-2022,Qtr 1,37520,SKU-002,Depot 07
2021-2022,Qtr 2,5320,SKU-002,Depot 07
2021-2022,Qtr 3,35420,SKU-002,Depot 07
2021-2022,Qtr 4,24340,SKU-002,Depot 07
2021-2022,Qtr 1,2760,SKU-002,Depot 08
2021-2022,Qtr 2,1100,SKU-002,Depot 08
2021-2022,Qtr 3,2100,SKU-002,Depot 08
2021-2022,Qtr 4,700,SKU-002,Depot 08
2021-2022,Qtr 1,10140,SKU-002,Depot 09
2021-2022,Qtr 2,2040,SKU-002,Depot 09
2021-2022,Qtr 3,5740,SKU-002,Depot 09
2021-2022,Qtr 4,11580,SKU-002,Depot 09
2021-2022,Qtr 1,9780,SKU-002,Depot 10
2021-2022,Qtr 2,1260,SKU-002,Depot 10
2021-2022,Qtr 3,4570,SKU-002,Depot 10
2021-2022,Qtr 4,6860,SKU-002,Depot 10
2021-2022,Qtr 1,36760,SKU-002,Depot 11
2021-2022,Qtr 2,15400,SKU-002,Depot 11
2021-2022,Qtr 3,39860,SKU-002,Depot 11
2021-2022,Qtr 4,61460,SKU-002,Depot 11
2021-2022,Qtr 1,15180,SKU-002,Depot 12
2021-2022,Qtr 2,8880,SKU-002,Depot 12
2021-2022,Qtr 3,7300,SKU-002,Depot 12
2021-2022,Qtr 4,16220,SKU-002,Depot 12
2021-2022,Qtr 1,58380,SKU-002,Depot 13
2021-2022,Qtr 2,33560,SKU-002,Depot 13
2021-2022,Qtr 3,84000,SKU-002,Depot 13
2021-2022,Qtr 4,99476,SKU-002,Depot 13
2021-2022,Qtr 1,65080,SKU-002,Depot 14
2021-2022,Qtr 2,16460,SKU-002,Depot 14
2021-2022,Qtr 3,48060,SKU-002,Depot 14
2021-2022,Qtr 4,53240,SKU-002,Depot 14
