Month,Depot,SKU,Product,Forecast,Accuracy
01-06-2025,Depot B,20242-WH-I,EWD,1039,80.86
01-06-2025,Depot B,20251-WH,EWD,452,75.64
01-06-2025,Depot B,20305-WH,EWD,2,84.65
01-06-2025,Depot B,20309-WH,EWD,4,84.55
01-06-2025,Depot B,20432-WH,EWD,8,78.26
01-06-2025,Depot B,20433-WH,EWD,4,76.86
01-06-2025,Depot B,20443-WH,EWD,30,83.52
01-06-2025,Depot B,20444-WH,EWD,7,82.3
01-06-2025,Depot B,20445-WH,EWD,10,83.58
01-06-2025,Depot B,20446-WH,EWD,13,79.43
01-06-2025,Depot B,20502-FWH,EWD,6,77.41
01-06-2025,Depot B,20502-FWH-S,EWD,31,81.48
01-06-2025,Depot B,20503-FWH-S,EWD,4,79.37
01-06-2025,Depot B,20504-FWH,EWD,68,84.5
01-06-2025,Depot B,20506-FWH,EWD,50,82.64
01-06-2025,Depot B,20508-FWH-H,EWD,59,75.93
01-06-2025,Depot B,20510-FWH,EWD,76,78.27
01-06-2025,Depot B,20512-FWH-VS,EWD,49,76.87
01-06-2025,Depot B,20516-FWH-VS,EWD,24,77.17
01-06-2025,Depot B,20518-FWH-V,EWD,18,76.41
01-06-2025,Depot B,20601-WH,EWD,134,84.57
01-06-2025,Depot B,20602-WH,EWD,322,80.52
01-06-2025,Depot B,20602-WHC,EWD,141,79.18
01-06-2025,Depot B,20603-WH,EWD,198,81.88
01-06-2025,Depot B,20603-WHC,EWD,311,82.12
01-06-2025,Depot B,20604-WH,EWD,65,83.65
01-06-2025,Depot B,20604-WHC,EWD,114,81.5
01-06-2025,Depot B,20606-WH,EWD,356,75.11
01-06-2025,Depot B,20606-WHC,EWD,97,75.89
01-06-2025,Depot B,20607-WH,EWD,478,80.58
01-06-2025,Depot B,20607-WHC,EWD,279,80.95
01-06-2025,Depot B,20612-WH,EWD,224,78.12
01-06-2025,Depot B,20612-WHC,EWD,70,79.88
01-06-2025,Depot B,20616-WH,EWD,22,76.49
01-06-2025,Depot B,20616-WHC,EWD,7,81.06
01-06-2025,Depot B,20618-WH,EWD,17,75.46
01-06-2025,Depot B,20618-WHC,EWD,52,80.66
01-06-2025,Depot B,20701-WH,EWD,33,84.34
01-06-2025,Depot B,20703-WH,EWD,15,81.87
01-06-2025,Depot B,20704-WH,EWD,22,84.25
01-06-2025,Depot B,20706-WH,EWD,15,80.96
01-06-2025,Depot B,20707-WH,EWD,14,75.4
01-06-2025,Depot B,20712-WH,EWD,55,78.79
01-06-2025,Depot B,20716-WH,EWD,11,82.95
01-06-2025,Depot B,20718-WH,EWD,11,84.17
01-06-2025,Depot B,20801-WH,EWD,1501,77.89
01-06-2025,Depot B,20803-WH,EWD,1659,80.41
01-06-2025,Depot B,20804-WH,EWD,1139,79.35
01-06-2025,Depot B,20806-WH,EWD,3260,84.16
01-06-2025,Depot B,20807-WH,EWD,106,79.0
01-06-2025,Depot B,20812-WH,EWD,1476,82.19
01-06-2025,Depot B,20816-WH,EWD,161,81.14
01-06-2025,Depot B,20818-WH,EWD,82,75.36
01-06-2025,Depot B,33101-WH,EWD,106,82.29
01-06-2025,Depot B,33403-WH-I,EWD,55,80.17
01-06-2025,Depot B,34804-T02,EWD,47,81.83
01-06-2025,Depot B,34806-T02,EWD,25,84.97
01-06-2025,Depot B,34828-T02,EWD,157,82.14
01-06-2025,Depot B,40101-WH,EWD,7542,79.68
01-06-2025,Depot B,40102-WH,EWD,254,75.78
01-06-2025,Depot B,40103-WH,EWD,86,79.02
01-06-2025,Depot B,40121-WH,EWD,473,85.0
01-06-2025,Depot B,40123-WH,EWD,810,81.45
01-06-2025,Depot B,40142-WH,EWD,90,81.45
01-06-2025,Depot B,40145-WH,EWD,1419,75.98
01-06-2025,Depot B,40146-WH,EWD,49,78.21
01-06-2025,Depot B,40225-WH,EWD,200,83.99
01-06-2025,Depot B,40242-WH-I,EWD,1997,82.55
01-06-2025,Depot B,40251-WH,EWD,42,75.39
01-06-2025,Depot B,40601-WH,EWD,344,83.0
01-06-2025,Depot B,40602-WH,EWD,338,83.83
01-06-2025,Depot B,40603-WH,EWD,1258,80.05
01-06-2025,Depot B,40604-WH,EWD,403,80.35
01-06-2025,Depot B,40606-WH,EWD,709,83.72
01-06-2025,Depot B,40628-WH,EWD,710,82.92
01-06-2025,Depot B,50101-BK,EWD,111,77.47
01-06-2025,Depot B,50101-WH,EWD,22104,78.63
01-06-2025,Depot B,50102-BK,EWD,238,81.06
01-06-2025,Depot B,50102-WH,EWD,984,80.61
01-06-2025,Depot B,50103-WH,EWD,211,79.99
01-06-2025,Depot B,50123-BK,EWD,256,79.5
01-06-2025,Depot B,50123-WH,EWD,1390,80.41
01-06-2025,Depot B,50131-WH,EWD,34,76.02
01-06-2025,Depot B,50142-WH,EWD,73,78.01
01-06-2025,Depot B,50145-BK,EWD,371,84.87
01-06-2025,Depot B,50145-WH,EWD,3261,78.55
01-06-2025,Depot B,50146-WH,EWD,71,83.07
01-06-2025,Depot B,50149-WH,EWD,3,79.8
01-06-2025,Depot B,50151-R,EWD,57,79.7
01-06-2025,Depot B,50203-WH,EWD,171,79.21
01-06-2025,Depot B,50212-WH,EWD,31,81.56
01-06-2025,Depot B,50225-BK,EWD,62,78.84
01-06-2025,Depot B,50225-WH,EWD,527,82.89
01-06-2025,Depot B,50242-BK-I,EWD,479,77.73
01-06-2025,Depot B,50242-WH-I,EWD,1435,83.35
01-06-2025,Depot B,50251-BK,EWD,46,82.43
01-06-2025,Depot B,50251-WH,EWD,2233,75.69
01-06-2025,Depot B,50305-WH,EWD,19,84.84
01-06-2025,Depot B,50432-WH,EWD,1,75.77
01-06-2025,Depot B,50433-WH,EWD,8,81.42
01-06-2025,Depot B,50446-WH,EWD,5,78.74
01-06-2025,Depot B,50701-WHC,EWD,238,83.33
01-06-2025,Depot B,50702-MBG,EWD,66,82.95
01-06-2025,Depot B,50702-WHC,EWD,2080,80.57
01-06-2025,Depot B,50703-MBG,EWD,38,83.97
01-06-2025,Depot B,50703-WHC,EWD,1737,75.13
01-06-2025,Depot B,50704-MBG,EWD,48,78.41
01-06-2025,Depot B,50704-WHC,EWD,855,77.9
01-06-2025,Depot B,50706-MBG,EWD,96,81.14
01-06-2025,Depot B,50706-WHC,EWD,1110,84.71
01-06-2025,Depot B,50708-WHC,EWD,2,82.41
01-06-2025,Depot B,50712-MBG,EWD,24,78.87
01-06-2025,Depot B,50712-WHC,EWD,351,80.32
01-06-2025,Depot B,50716-MBG,EWD,10,79.77
01-06-2025,Depot B,50716-WHC,EWD,66,84.44
01-06-2025,Depot B,50718-MBG,EWD,34,82.2
01-06-2025,Depot B,50718-WHC,EWD,11,81.21
01-06-2025,Depot B,50728-MBG,EWD,75,76.8
01-06-2025,Depot B,50728-WHC,EWD,1991,76.14
01-06-2025,Depot B,50804-TWHC,EWD,21,84.26
01-06-2025,Depot C,10101-WH,EWD,3935,80.33
01-06-2025,Depot C,10312-WH,EWD,77,79.55
01-06-2025,Depot C,10603-WH-I,EWD,302,83.84
01-06-2025,Depot C,10607-WH-I,EWD,170,83.99
01-06-2025,Depot C,10608-WH-I,EWD,267,76.41
01-06-2025,Depot C,10711-WH,EWD,751,82.62
01-06-2025,Depot C,10721-WH,EWD,312,84.02
01-06-2025,Depot C,10722-WH,EWD,1960,79.92
01-06-2025,Depot C,10731-WH,EWD,1488,84.37
01-06-2025,Depot C,10733-WH,EWD,111,79.54
01-06-2025,Depot C,10738-WH,EWD,0,79.02
01-06-2025,Depot C,10801-WH,EWD,327,84.71
01-06-2025,Depot C,20101-WH,EWD,25154,77.27
01-06-2025,Depot C,20102-WH,EWD,336,80.18
01-06-2025,Depot C,20103-WH,EWD,35,80.3
01-06-2025,Depot C,20121-WH,EWD,1851,75.96
01-06-2025,Depot C,20123-WH,EWD,1122,76.32
01-06-2025,Depot C,20131-WH,EWD,720,83.09
01-06-2025,Depot C,20142-WH,EWD,185,76.65
01-06-2025,Depot C,20144-WH,EWD,1036,77.91
01-06-2025,Depot C,20146-WH,EWD,128,75.1
01-06-2025,Depot C,20149-WH,EWD,28,76.61
01-06-2025,Depot C,20151-R,EWD,97,83.55
01-06-2025,Depot C,20212-WH,EWD,142,78.57
01-06-2025,Depot C,20225-WH,EWD,157,84.85
01-06-2025,Depot C,20242-WH-I,EWD,1183,78.2
01-06-2025,Depot C,20251-WH,EWD,466,76.07
01-06-2025,Depot C,20433-WH,EWD,64,84.21
01-06-2025,Depot C,20434-WH,EWD,41,78.95
01-06-2025,Depot C,20435-WH,EWD,100,81.34
01-06-2025,Depot C,20436-WH,EWD,61,82.13
01-06-2025,Depot C,20446-WH,EWD,42,75.78
01-06-2025,Depot C,20502-WH,EWD,88,83.36
01-06-2025,Depot C,20503-WH,EWD,15,80.46
01-06-2025,Depot C,20504-WH,EWD,17,80.76
01-06-2025,Depot C,20506-WH,EWD,95,80.37
01-06-2025,Depot C,20507-WH,EWD,43,80.47
01-06-2025,Depot C,20512-WH,EWD,19,80.54
01-06-2025,Depot C,20518-WH,EWD,8,79.28
01-06-2025,Depot C,20601-WH,EWD,299,79.25
01-06-2025,Depot C,20602-WH,EWD,862,83.97
01-06-2025,Depot C,20602-WHC,EWD,177,84.43
01-06-2025,Depot C,20603-WH,EWD,564,79.77
01-06-2025,Depot C,20603-WHC,EWD,9,82.48
01-06-2025,Depot C,20604-WH,EWD,322,77.21
01-06-2025,Depot C,20604-WHC,EWD,48,78.86
01-06-2025,Depot C,20606-WH,EWD,371,80.99
01-06-2025,Depot C,20606-WHC,EWD,89,81.83
01-06-2025,Depot C,20607-WH,EWD,320,78.34
01-06-2025,Depot C,20607-WHC,EWD,120,75.55
01-06-2025,Depot C,20608-WH,EWD,25,84.21
01-06-2025,Depot C,20608-WHC,EWD,52,82.46
01-06-2025,Depot C,20612-WH,EWD,186,79.59
01-06-2025,Depot C,20612-WHC,EWD,67,81.65
01-06-2025,Depot C,20618-WH,EWD,184,79.68
01-06-2025,Depot C,20618-WHC,EWD,50,79.6
01-06-2025,Depot C,20701-WH,EWD,58,82.24
01-06-2025,Depot C,20703-WH,EWD,31,78.23
01-06-2025,Depot C,20704-WH,EWD,47,80.72
01-06-2025,Depot C,20706-WH,EWD,43,83.4
01-06-2025,Depot C,20707-WH,EWD,15,78.4
01-06-2025,Depot C,20708-WH,EWD,5,84.75
01-06-2025,Depot C,20712-WH,EWD,16,76.87
01-06-2025,Depot C,20718-WH,EWD,8,83.89
01-06-2025,Depot C,20801-WH,EWD,500,76.39
01-06-2025,Depot C,20803-WH,EWD,277,83.38
01-06-2025,Depot C,20804-WH,EWD,208,79.94
01-06-2025,Depot C,20806-WH,EWD,273,84.91
01-06-2025,Depot C,20807-WH,EWD,293,77.81
01-06-2025,Depot C,20808-WH,EWD,26,75.3
01-06-2025,Depot C,20812-WH,EWD,246,79.57
01-06-2025,Depot C,20818-WH,EWD,54,83.28
01-06-2025,Depot C,20901-WH,EWD,68,82.52
01-06-2025,Depot C,20903-WH,EWD,34,82.02
01-06-2025,Depot C,20904-WH,EWD,30,85.02
01-06-2025,Depot C,20906-WH,EWD,62,79.34
01-06-2025,Depot C,20907-WH,EWD,62,76.35
01-06-2025,Depot C,20908-WH,EWD,54,75.45
01-06-2025,Depot C,20912-WH,EWD,127,75.39
01-06-2025,Depot C,20918-WH,EWD,15,77.02
01-06-2025,Depot C,33101-WH,EWD,182,81.13
01-06-2025,Depot C,34101-BK,EWD,293,80.62
01-06-2025,Depot C,40101-BK,EWD,122,76.94
01-06-2025,Depot C,40101-WH,EWD,679,81.43
01-06-2025,Depot C,40102-WH,EWD,10,79.36
01-06-2025,Depot C,40121-WH,EWD,373,76.08
01-06-2025,Depot C,40123-WH,EWD,50,83.55
01-06-2025,Depot C,40131-WH,EWD,42,82.36
01-06-2025,Depot C,40142-WH,EWD,20,75.69
01-06-2025,Depot C,40145-BK,EWD,298,77.85
01-06-2025,Depot C,40145-WH,EWD,401,80.39
01-06-2025,Depot C,40146-WH,EWD,27,82.42
01-06-2025,Depot C,40242-BK-I,EWD,81,76.3
01-06-2025,Depot C,40242-WH-I,EWD,350,79.31
01-06-2025,Depot C,40251-BK,EWD,7,83.56
01-06-2025,Depot C,40251-WH,EWD,89,82.84
01-06-2025,Depot C,40422-WH,EWD,80,82.65
01-06-2025,Depot C,40501-X,EWD,7,75.99
01-06-2025,Depot C,40503-X,EWD,3,79.31
01-06-2025,Depot C,40504-X,EWD,2,83.99
01-06-2025,Depot C,40506-X,EWD,8,78.39
01-06-2025,Depot C,40512-X,EWD,2,82.66
01-06-2025,Depot C,40528-X,EWD,12,83.03
01-06-2025,Depot C,40601-WH,EWD,14,80.69
01-06-2025,Depot C,40602-WH,EWD,20,79.78
01-06-2025,Depot C,40603-WH,EWD,387,77.85
01-06-2025,Depot C,40604-WH,EWD,42,83.0
01-06-2025,Depot C,40606-WH,EWD,183,76.41
01-06-2025,Depot C,40612-WH-P,EWD,40,77.75
01-06-2025,Depot C,40614-WH,EWD,32,80.03
01-06-2025,Depot C,40628-WH,EWD,413,81.0
01-06-2025,Depot C,50101-BK,EWD,479,80.89
01-06-2025,Depot C,50101-WH,EWD,2613,75.87
01-06-2025,Depot C,50102-BK,EWD,64,84.78
01-06-2025,Depot C,50102-WH,EWD,295,77.94
01-06-2025,Depot C,50103-WH,EWD,6,76.21
01-06-2025,Depot C,50121-BK,EWD,27,80.81
01-06-2025,Depot C,50121-WH,EWD,281,82.81
01-06-2025,Depot C,50123-BK,EWD,155,79.75
01-06-2025,Depot C,50123-WH,EWD,85,79.89
01-06-2025,Depot C,50131-BK,EWD,19,77.02
01-06-2025,Depot C,50131-WH,EWD,46,75.49
01-06-2025,Depot C,50142-WH,EWD,13,77.93
01-06-2025,Depot C,50145-BK,EWD,233,75.13
01-06-2025,Depot C,50145-WH,EWD,639,83.56
01-06-2025,Depot C,50146-WH,EWD,59,83.69
01-06-2025,Depot C,50149-WH,EWD,5,79.08
01-06-2025,Depot C,50151-R,EWD,28,75.26
01-06-2025,Depot C,50212-WH,EWD,16,77.89
01-06-2025,Depot C,50225-WH,EWD,33,80.02
01-06-2025,Depot C,50242-BK-I,EWD,119,80.41
01-06-2025,Depot C,50242-WH-I,EWD,178,75.66
01-06-2025,Depot C,50251-BK,EWD,75,80.36
01-06-2025,Depot C,50251-WH,EWD,271,75.75
01-06-2025,Depot C,50435-WH,EWD,6,79.69
01-06-2025,Depot C,50436-WH,EWD,7,83.0
01-06-2025,Depot C,50701-WHC,EWD,2,83.54
01-06-2025,Depot C,50702-MBG,EWD,16,76.67
01-06-2025,Depot C,50702-WHC,EWD,295,84.65
01-06-2025,Depot C,50703-MBG,EWD,81,76.67
01-06-2025,Depot C,50703-WHC,EWD,108,75.72
01-06-2025,Depot C,50704-MBG,EWD,12,84.85
01-06-2025,Depot C,50704-WHC,EWD,79,84.88
01-06-2025,Depot C,50706-MBG,EWD,31,84.12
01-06-2025,Depot C,50706-WHC,EWD,188,77.27
01-06-2025,Depot C,50708-WHC,EWD,10,77.8
01-06-2025,Depot C,50712-MBG,EWD,8,77.31
01-06-2025,Depot C,50712-WHC,EWD,76,78.28
01-06-2025,Depot C,50718-MBG,EWD,5,84.15
01-06-2025,Depot C,50718-WHC,EWD,9,84.51
01-06-2025,Depot C,50728-MBG,EWD,10,77.32
01-06-2025,Depot C,50728-WHC,EWD,111,81.1
01-06-2025,Depot E,10101-WH,EWD,3199,77.73
01-06-2025,Depot E,10102-WH,EWD,68,79.73
01-06-2025,Depot E,10111-WH,EWD,2018,78.06
01-06-2025,Depot E,10112-WH,EWD,66,80.37
01-06-2025,Depot E,10302-WH,EWD,47,81.46
01-06-2025,Depot E,10311-WH,EWD,139,76.35
01-06-2025,Depot E,10312-WH,EWD,68,79.98
01-06-2025,Depot E,10401-WH,EWD,137,84.74
01-06-2025,Depot E,10502-WH-I,EWD,155,83.74
01-06-2025,Depot E,10602-WH-I,EWD,90,83.05
01-06-2025,Depot E,10604-WH-I,EWD,34,75.31
01-06-2025,Depot E,10607-WH-I,EWD,339,81.76
01-06-2025,Depot E,10608-WH-I,EWD,71,77.5
01-06-2025,Depot E,10706-WH,EWD,39,82.14
01-06-2025,Depot E,10707-WH,EWD,84,81.81
01-06-2025,Depot E,10711-WH,EWD,895,77.31
01-06-2025,Depot E,10714-WH,EWD,568,76.6
01-06-2025,Depot E,10723-WH,EWD,306,75.43
01-06-2025,Depot E,10724-WH,EWD,1869,83.74
01-06-2025,Depot E,10731-WH,EWD,53,80.73
01-06-2025,Depot E,10733-WH,EWD,114,83.15
01-06-2025,Depot E,10738-WH,EWD,100,83.98
01-06-2025,Depot E,10739-WH,EWD,135,77.07
01-06-2025,Depot E,10742-WH,EWD,158,84.99
01-06-2025,Depot E,10743-WH,EWD,398,83.09
01-06-2025,Depot E,10801-WH,EWD,12,81.79
01-06-2025,Depot E,11003-KT,EWD,101,75.23
01-06-2025,Depot E,20101-WH,EWD,7453,83.63
01-06-2025,Depot E,20102-WH,EWD,1333,81.63
01-06-2025,Depot E,20103-WH,EWD,235,79.77
01-06-2025,Depot E,20121-WH,EWD,1152,81.25
01-06-2025,Depot E,20122-WH,EWD,78,79.86
01-06-2025,Depot E,20123-WH,EWD,364,81.99
01-06-2025,Depot E,20131-WH,EWD,824,77.26
01-06-2025,Depot E,20142-WH,EWD,24,79.7
01-06-2025,Depot E,20144-WH,EWD,1034,78.37
01-06-2025,Depot E,20151-R,EWD,500,75.91
01-06-2025,Depot E,20225-WH,EWD,39,84.11
01-06-2025,Depot E,20242-WH-I,EWD,1831,76.38
01-06-2025,Depot E,20251-WH,EWD,199,82.94
01-06-2025,Depot E,20305-WH,EWD,12,82.02
01-06-2025,Depot E,20432-WH,EWD,4,80.1
01-06-2025,Depot E,20433-WH,EWD,40,83.18
01-06-2025,Depot E,20434-WH,EWD,122,84.79
01-06-2025,Depot E,20435-WH,EWD,141,84.55
01-06-2025,Depot E,20502-FWH,EWD,34,75.73
01-06-2025,Depot E,20502-WBOX,EWD,17,75.86
01-06-2025,Depot E,20503-FWH,EWD,6,77.58
01-06-2025,Depot E,20504-FWH,EWD,63,76.85
01-06-2025,Depot E,20506-FWH,EWD,69,75.62
01-06-2025,Depot E,20506-WBOX,EWD,33,84.0
01-06-2025,Depot E,20507-WBOX,EWD,77,77.35
01-06-2025,Depot E,20508-FWH-H,EWD,59,79.74
01-06-2025,Depot E,20510-FWH,EWD,81,77.94
01-06-2025,Depot E,20512-FWH-H,EWD,7,81.98
01-06-2025,Depot E,20512-FWH-VS,EWD,21,81.26
01-06-2025,Depot E,20512-WBOX,EWD,23,75.42
01-06-2025,Depot E,20516-FWH-VS,EWD,10,79.33
01-06-2025,Depot E,20520-FWH-V,EWD,5,75.44
01-06-2025,Depot E,20601-WH,EWD,210,79.11
01-06-2025,Depot E,20602-WH,EWD,683,77.39
01-06-2025,Depot E,20602-WHC,EWD,67,77.65
01-06-2025,Depot E,20603-WH,EWD,416,83.17
01-06-2025,Depot E,20603-WHC,EWD,53,80.62
01-06-2025,Depot E,20604-WH,EWD,189,75.72
01-06-2025,Depot E,20604-WHC,EWD,18,81.18
01-06-2025,Depot E,20606-WH,EWD,300,83.6
01-06-2025,Depot E,20606-WHC,EWD,116,81.01
01-06-2025,Depot E,20607-WH,EWD,286,84.57
01-06-2025,Depot E,20607-WHC,EWD,55,78.61
01-06-2025,Depot E,20609-WH,EWD,29,78.43
01-06-2025,Depot E,20612-WH,EWD,99,83.23
01-06-2025,Depot E,20612-WHC,EWD,184,76.61
01-06-2025,Depot E,20616-WH,EWD,49,82.66
01-06-2025,Depot E,20616-WHC,EWD,12,78.67
01-06-2025,Depot E,20618-WH,EWD,6,79.48
01-06-2025,Depot E,20801-WH,EWD,1299,78.56
01-06-2025,Depot E,20803-WH,EWD,946,75.91
01-06-2025,Depot E,20804-WH,EWD,388,85.02
01-06-2025,Depot E,20806-WH,EWD,893,76.36
01-06-2025,Depot E,20807-WH,EWD,422,78.72
01-06-2025,Depot E,20812-WH,EWD,27,81.24
01-06-2025,Depot E,20816-WH,EWD,10,79.45
01-06-2025,Depot E,20818-WH,EWD,29,77.16
01-06-2025,Depot E,40101-WH,EWD,790,79.97
01-06-2025,Depot E,40102-WH,EWD,214,81.64
01-06-2025,Depot E,40145-WH,EWD,140,79.68
01-06-2025,Depot E,40242-WH-I,EWD,157,82.5
01-06-2025,Depot E,40602-WH,EWD,207,81.06
01-06-2025,Depot E,40603-WH,EWD,42,80.54
01-06-2025,Depot E,40604-WH,EWD,33,77.68
01-06-2025,Depot E,40606-WH,EWD,237,75.97
01-06-2025,Depot E,40628-WH,EWD,32,79.93
01-06-2025,Depot E,50101-BK,EWD,186,78.49
01-06-2025,Depot E,50101-WH,EWD,631,84.32
01-06-2025,Depot E,50102-WH,EWD,201,83.67
01-06-2025,Depot E,50103-WH,EWD,16,79.99
01-06-2025,Depot E,50121-WH,EWD,60,76.44
01-06-2025,Depot E,50123-WH,EWD,145,82.4
01-06-2025,Depot E,50131-WH,EWD,37,82.29
01-06-2025,Depot E,50145-WH,EWD,355,75.89
01-06-2025,Depot E,50151-R,EWD,12,80.47
01-06-2025,Depot E,50225-WH,EWD,6,76.75
01-06-2025,Depot E,50242-WH-I,EWD,124,78.43
01-06-2025,Depot E,50251-WH,EWD,26,78.07
01-06-2025,Depot E,50434-WH,EWD,10,82.39
01-06-2025,Depot E,50435-WH,EWD,23,78.86
01-06-2025,Depot E,50702-WHC,EWD,15,77.84
01-06-2025,Depot E,50703-WHC,EWD,4,76.24
01-06-2025,Depot E,50704-WHC,EWD,9,79.67
01-06-2025,Depot E,50706-WHC,EWD,12,81.51
01-06-2025,Depot E,50712-WHC,EWD,11,75.46
01-06-2025,Depot E,50716-WHC,EWD,3,84.39
01-06-2025,Depot E,50728-WH,EWD,91,82.31
01-06-2025,Depot E,50728-WHC,EWD,20,76.2
01-06-2025,Depot F,10101-WH,EWD,50106,80.34
01-06-2025,Depot F,10102-WH,EWD,115,84.54
01-06-2025,Depot F,10301-WH,EWD,2096,76.49
01-06-2025,Depot F,10302-WH,EWD,4782,84.16
01-06-2025,Depot F,10311-WH,EWD,1242,85.04
01-06-2025,Depot F,10401-WH,EWD,1367,75.51
01-06-2025,Depot F,10451-WH,EWD,119,81.5
01-06-2025,Depot F,10502-WH-I,EWD,816,77.46
01-06-2025,Depot F,10503-WH-I,EWD,273,77.46
01-06-2025,Depot F,10603-WH-I,EWD,2329,84.18
01-06-2025,Depot F,10607-WH-I,EWD,13921,83.88
01-06-2025,Depot F,10711-WH,EWD,5122,79.57
01-06-2025,Depot F,10721-WH,EWD,4059,81.21
01-06-2025,Depot F,10723-WH,EWD,5706,80.48
