Month,Region,SKU,Quantity,Price,Fitted,Revenue,Percentage Change,Projected Revenue,Projected Demand,
01-Mar-26,West,C,,29,120,3480,3,3584,116,
01-Apr-25,West,C,,45,159,7155,3,7370,153,
01-May-25,West,C,,41,209,8569,3,8826,201,
01-Jun-25,West,C,,35,108,3780,3,3893,104,
01-Jul-25,West,C,,31,212,6572,3,6769,204,
01-Aug-25,West,C,,31,200,6200,3,6386,193,
01-Sep-25,West,C,,29,93,2697,3,2778,90,
01-Oct-25,West,C,,30,207,6210,3,6396,200,
01-Nov-25,West,C,,42,258,10836,3,11161,249,
01-Dec-25,West,C,,41,143,5863,3,6039,138,
01-Jan-26,West,C,,55,145,7975,3,8214,140,
01-Feb-26,West,C,,46,128,5888,3,6065,123,
01-Mar-26,West,C,,54,97,5238,3,5395,94,
01-Apr-25,West,C,,36,213,7668,4,7975,203,
01-May-25,West,C,,35,165,5775,4,6006,157,
01-Jun-25,West,C,,45,99,4455,4,4633,94,
01-Jul-25,West,C,,35,163,5705,4,5933,155,
01-Aug-25,West,C,,31,89,2759,4,2869,85,
01-Sep-25,West,C,,56,184,10304,4,10716,175,
01-Oct-25,West,C,,28,134,3752,4,3902,128,
01-Nov-25,West,C,,50,187,9350,4,9724,178,
01-Dec-25,West,C,,36,216,7776,4,8087,206,
01-Jan-26,West,C,,37,167,6179,4,6426,159,
01-Feb-26,West,C,,40,253,10120,4,10525,241,
01-Mar-26,West,C,,29,120,3480,4,3619,114,
01-Apr-25,West,C,,45,159,7155,4,7441,151,
01-May-25,West,C,,41,209,8569,4,8912,199,
01-Jun-25,West,C,,35,108,3780,4,3931,103,
01-Jul-25,West,C,,31,212,6572,4,6835,202,
01-Aug-25,West,C,,31,200,6200,4,6448,190,
01-Sep-25,West,C,,29,93,2697,4,2805,89,
01-Oct-25,West,C,,30,207,6210,4,6458,197,
01-Nov-25,West,C,,42,258,10836,4,11269,246,
01-Dec-25,West,C,,41,143,5863,4,6098,136,
01-Jan-26,West,C,,55,145,7975,4,8294,138,
01-Feb-26,West,C,,46,128,5888,4,6124,122,
01-Mar-26,West,C,,54,97,5238,4,5448,92,
01-Apr-25,West,C,,36,213,7668,5,8051,200,
01-May-25,West,C,,35,165,5775,5,6064,155,
01-Jun-25,West,C,,45,99,4455,5,4678,93,
01-Jul-25,West,C,,35,163,5705,5,5990,153,
01-Aug-25,West,C,,31,89,2759,5,2897,84,
01-Sep-25,West,C,,56,184,10304,5,10819,173,
01-Oct-25,West,C,,28,134,3752,5,3940,126,
01-Nov-25,West,C,,50,187,9350,5,9818,176,
01-Dec-25,West,C,,36,216,7776,5,8165,203,
01-Jan-26,West,C,,37,167,6179,5,6488,157,
01-Feb-26,West,C,,40,253,10120,5,10626,238,
01-Mar-26,West,C,,29,120,3480,5,3654,113,
01-Apr-25,West,C,,45,159,7155,5,7513,149,
01-May-25,West,C,,41,209,8569,5,8997,196,
01-Jun-25,West,C,,35,108,3780,5,3969,102,
01-Jul-25,West,C,,31,212,6572,5,6901,199,
01-Aug-25,West,C,,31,200,6200,5,6510,188,
01-Sep-25,West,C,,29,93,2697,5,2832,87,
01-Oct-25,West,C,,30,207,6210,5,6521,195,
01-Nov-25,West,C,,42,258,10836,5,11378,243,
01-Dec-25,West,C,,41,143,5863,5,6156,134,
01-Jan-26,West,C,,55,145,7975,5,8374,136,
01-Feb-26,West,C,,46,128,5888,5,6182,120,
01-Mar-26,West,C,,54,97,5238,5,5500,91,
01-Apr-25,West,C,,36,213,7668,-2,7515,218,
01-May-25,West,C,,35,165,5775,-2,5660,169,
01-Jun-25,West,C,,45,99,4455,-2,4366,101,
01-Jul-25,West,C,,35,163,5705,-2,5591,167,
01-Aug-25,West,C,,31,89,2759,-2,2704,91,
01-Sep-25,West,C,,56,184,10304,-2,10098,188,
01-Oct-25,West,C,,28,134,3752,-2,3677,137,
01-Nov-25,West,C,,50,187,9350,-2,9163,191,
01-Dec-25,West,C,,36,216,7776,-2,7620,221,
01-Jan-26,West,C,,37,167,6179,-2,6055,171,
01-Feb-26,West,C,,40,253,10120,-2,9918,259,
01-Mar-26,West,C,,29,120,3480,-2,3410,123,
01-Apr-25,West,C,,45,159,7155,-2,7012,163,
01-May-25,West,C,,41,209,8569,-2,8398,214,
01-Jun-25,West,C,,35,108,3780,-2,3704,111,
01-Jul-25,West,C,,31,212,6572,-2,6441,217,
01-Aug-25,West,C,,31,200,6200,-2,6076,205,
01-Sep-25,West,C,,29,93,2697,-2,2643,95,
01-Oct-25,West,C,,30,207,6210,-2,6086,212,
01-Nov-25,West,C,,42,258,10836,-2,10619,264,
01-Dec-25,West,C,,41,143,5863,-2,5746,146,
01-Jan-26,West,C,,55,145,7975,-2,7816,148,
01-Feb-26,West,C,,46,128,5888,-2,5770,131,
01-Mar-26,West,C,,54,97,5238,-2,5133,99,
01-Apr-25,West,C,,36,213,7668,-3,7438,221,
01-May-25,West,C,,35,165,5775,-3,5602,171,
01-Jun-25,West,C,,45,99,4455,-3,4321,103,
01-Jul-25,West,C,,35,163,5705,-3,5534,169,
01-Aug-25,West,C,,31,89,2759,-3,2676,92,
01-Sep-25,West,C,,56,184,10304,-3,9995,191,
01-Oct-25,West,C,,28,134,3752,-3,3639,139,
01-Nov-25,West,C,,50,187,9350,-3,9070,194,
01-Dec-25,West,C,,36,216,7776,-3,7543,224,
01-Jan-26,West,C,,37,167,6179,-3,5994,173,
01-Feb-26,West,C,,40,253,10120,-3,9816,263,
01-Mar-26,West,C,,29,120,3480,-3,3376,125,
01-Apr-25,West,C,,45,159,7155,-3,6940,165,
01-May-25,West,C,,41,209,8569,-3,8312,217,
01-Jun-25,West,C,,35,108,3780,-3,3667,112,
01-Jul-25,West,C,,31,212,6572,-3,6375,220,
01-Aug-25,West,C,,31,200,6200,-3,6014,208,
01-Sep-25,West,C,,29,93,2697,-3,2616,97,
01-Oct-25,West,C,,30,207,6210,-3,6024,215,
01-Nov-25,West,C,,42,258,10836,-3,10511,268,
01-Dec-25,West,C,,41,143,5863,-3,5687,148,
01-Jan-26,West,C,,55,145,7975,-3,7736,151,
01-Feb-26,West,C,,46,128,5888,-3,5711,133,
01-Mar-26,West,C,,54,97,5238,-3,5081,101,
01-Apr-25,West,C,,36,213,7668,-4,7361,223,
01-May-25,West,C,,35,165,5775,-4,5544,173,
01-Jun-25,West,C,,45,99,4455,-4,4277,104,
01-Jul-25,West,C,,35,163,5705,-4,5477,171,
01-Aug-25,West,C,,31,89,2759,-4,2649,93,
01-Sep-25,West,C,,56,184,10304,-4,9892,193,
01-Oct-25,West,C,,28,134,3752,-4,3602,140,
01-Nov-25,West,C,,50,187,9350,-4,8976,196,
01-Dec-25,West,C,,36,216,7776,-4,7465,226,
01-Jan-26,West,C,,37,167,6179,-4,5932,175,
01-Feb-26,West,C,,40,253,10120,-4,9715,265,
01-Mar-26,West,C,,29,120,3480,-4,3341,126,
01-Apr-25,West,C,,45,159,7155,-4,6869,167,
01-May-25,West,C,,41,209,8569,-4,8226,219,
01-Jun-25,West,C,,35,108,3780,-4,3629,113,
01-Jul-25,West,C,,31,212,6572,-4,6309,222,
01-Aug-25,West,C,,31,200,6200,-4,5952,210,
01-Sep-25,West,C,,29,93,2697,-4,2589,97,
01-Oct-25,West,C,,30,207,6210,-4,5962,217,
01-Nov-25,West,C,,42,258,10836,-4,10403,270,
01-Dec-25,West,C,,41,143,5863,-4,5628,150,
01-Jan-26,West,C,,55,145,7975,-4,7656,152,
01-Feb-26,West,C,,46,128,5888,-4,5652,134,
01-Mar-26,West,C,,54,97,5238,-4,5028,102,
01-Apr-25,West,C,,36,213,7668,-5,7285,226,
01-May-25,West,C,,35,165,5775,-5,5486,175,
01-Jun-25,West,C,,45,99,4455,-5,4232,105,
01-Jul-25,West,C,,35,163,5705,-5,5420,173,
01-Aug-25,West,C,,31,89,2759,-5,2621,94,
01-Sep-25,West,C,,56,184,10304,-5,9789,195,
01-Oct-25,West,C,,28,134,3752,-5,3564,142,
01-Nov-25,West,C,,50,187,9350,-5,8883,198,
01-Dec-25,West,C,,36,216,7776,-5,7387,229,
01-Jan-26,West,C,,37,167,6179,-5,5870,177,
01-Feb-26,West,C,,40,253,10120,-5,9614,268,
01-Mar-26,West,C,,29,120,3480,-5,3306,127,
01-Apr-25,West,C,,45,159,7155,-5,6797,169,
01-May-25,West,C,,41,209,8569,-5,8141,222,
01-Jun-25,West,C,,35,108,3780,-5,3591,114,
01-Jul-25,West,C,,31,212,6572,-5,6243,225,
01-Aug-25,West,C,,31,200,6200,-5,5890,212,
01-Sep-25,West,C,,29,93,2697,-5,2562,99,
01-Oct-25,West,C,,30,207,6210,-5,5900,219,
01-Nov-25,West,C,,42,258,10836,-5,10294,273,
01-Dec-25,West,C,,41,143,5863,-5,5570,152,
01-Jan-26,West,C,,55,145,7975,-5,7576,154,
01-Feb-26,West,C,,46,128,5888,-5,5594,136,
01-Mar-26,West,C,,54,97,5238,-5,4976,103,
01-Apr-25,South,C,,71,141,10011,2,10211,138,
01-May-25,South,C,,87,195,16965,2,17304,190,
01-Jun-25,South,C,,80,175,14000,2,14280,171,
01-Jul-25,South,C,,92,206,18952,2,19331,201,
01-Aug-25,South,C,,83,89,7387,2,7535,87,
01-Sep-25,South,C,,80,244,19520,2,19910,238,
01-Oct-25,South,C,,89,130,11570,2,11801,127,
01-Nov-25,South,C,,70,244,17080,2,17422,238,
01-Dec-25,South,C,,68,168,11424,2,11652,164,
01-Jan-26,South,C,,72,215,15480,2,15790,210,
01-Feb-26,South,C,,53,231,12243,2,12488,225,
01-Mar-26,South,C,,50,194,9700,2,9894,189,
01-Apr-25,South,C,,65,187,12155,2,12398,183,
01-May-25,South,C,,95,123,11685,2,11919,120,
01-Jun-25,South,C,,88,100,8800,2,8976,98,
01-Jul-25,South,C,,96,94,9024,2,9204,92,
01-Aug-25,South,C,,74,154,11396,2,11624,150,
01-Sep-25,South,C,,99,234,23166,2,23629,228,
01-Oct-25,South,C,,76,225,17100,2,17442,220,
01-Nov-25,South,C,,59,104,6136,2,6259,102,
01-Dec-25,South,C,,63,121,7623,2,7775,118,
01-Jan-26,South,C,,75,196,14700,2,14994,191,
01-Feb-26,South,C,,65,134,8710,2,8884,131,
01-Mar-26,South,C,,89,212,18868,2,19245,207,
01-Apr-25,South,C,,71,141,10011,3,10311,136,
01-May-25,South,C,,87,195,16965,3,17474,188,
01-Jun-25,South,C,,80,175,14000,3,14420,169,
01-Jul-25,South,C,,92,206,18952,3,19521,199,
01-Aug-25,South,C,,83,89,7387,3,7609,86,
01-Sep-25,South,C,,80,244,19520,3,20106,235,
01-Oct-25,South,C,,89,130,11570,3,11917,125,
01-Nov-25,South,C,,70,244,17080,3,17592,235,
01-Dec-25,South,C,,68,168,11424,3,11767,162,
01-Jan-26,South,C,,72,215,15480,3,15944,207,
01-Feb-26,South,C,,53,231,12243,3,12610,223,
01-Mar-26,South,C,,50,194,9700,3,9991,187,
01-Apr-25,South,C,,65,187,12155,3,12520,180,
01-May-25,South,C,,95,123,11685,3,12036,119,
01-Jun-25,South,C,,88,100,8800,3,9064,96,
01-Jul-25,South,C,,96,94,9024,3,9295,91,
01-Aug-25,South,C,,74,154,11396,3,11738,148,
01-Sep-25,South,C,,99,234,23166,3,23861,226,
01-Oct-25,South,C,,76,225,17100,3,17613,217,
01-Nov-25,South,C,,59,104,6136,3,6320,100,
01-Dec-25,South,C,,63,121,7623,3,7852,117,
01-Jan-26,South,C,,75,196,14700,3,15141,189,
01-Feb-26,South,C,,65,134,8710,3,8971,129,
01-Mar-26,South,C,,89,212,18868,3,19434,204,
01-Apr-25,South,C,,71,141,10011,4,10411,134,
01-May-25,South,C,,87,195,16965,4,17644,186,
01-Jun-25,South,C,,80,175,14000,4,14560,167,
01-Jul-25,South,C,,92,206,18952,4,19710,196,
01-Aug-25,South,C,,83,89,7387,4,7682,85,
01-Sep-25,South,C,,80,244,19520,4,20301,232,
01-Oct-25,South,C,,89,130,11570,4,12033,124,
01-Nov-25,South,C,,70,244,17080,4,17763,232,
01-Dec-25,South,C,,68,168,11424,4,11881,160,
01-Jan-26,South,C,,72,215,15480,4,16099,205,
01-Feb-26,South,C,,53,231,12243,4,12733,220,
01-Mar-26,South,C,,50,194,9700,4,10088,185,
01-Apr-25,South,C,,65,187,12155,4,12641,178,
01-May-25,South,C,,95,123,11685,4,12152,117,
01-Jun-25,South,C,,88,100,8800,4,9152,95,
01-Jul-25,South,C,,96,94,9024,4,9385,89,
01-Aug-25,South,C,,74,154,11396,4,11852,147,
01-Sep-25,South,C,,99,234,23166,4,24093,223,
01-Oct-25,South,C,,76,225,17100,4,17784,214,
01-Nov-25,South,C,,59,104,6136,4,6381,99,
01-Dec-25,South,C,,63,121,7623,4,7928,115,
01-Jan-26,South,C,,75,196,14700,4,15288,187,
01-Feb-26,South,C,,65,134,8710,4,9058,128,
01-Mar-26,South,C,,89,212,18868,4,19623,202,
01-Apr-25,South,C,,71,141,10011,5,10512,133,
01-May-25,South,C,,87,195,16965,5,17813,183,
01-Jun-25,South,C,,80,175,14000,5,14700,165,
01-Jul-25,South,C,,92,206,18952,5,19900,194,
01-Aug-25,South,C,,83,89,7387,5,7756,84,
01-Sep-25,South,C,,80,244,19520,5,20496,229,
01-Oct-25,South,C,,89,130,11570,5,12149,122,
01-Nov-25,South,C,,70,244,17080,5,17934,229,
01-Dec-25,South,C,,68,168,11424,5,11995,158,
01-Jan-26,South,C,,72,215,15480,5,16254,202,
01-Feb-26,South,C,,53,231,12243,5,12855,217,
01-Mar-26,South,C,,50,194,9700,5,10185,182,
01-Apr-25,South,C,,65,187,12155,5,12763,176,
01-May-25,South,C,,95,123,11685,5,12269,116,
01-Jun-25,South,C,,88,100,8800,5,9240,94,
01-Jul-25,South,C,,96,94,9024,5,9475,88,
01-Aug-25,South,C,,74,154,11396,5,11966,145,
01-Sep-25,South,C,,99,234,23166,5,24324,220,
01-Oct-25,South,C,,76,225,17100,5,17955,212,
01-Nov-25,South,C,,59,104,6136,5,6443,98,
01-Dec-25,South,C,,63,121,7623,5,8004,114,
01-Jan-26,South,C,,75,196,14700,5,15435,184,
01-Feb-26,South,C,,65,134,8710,5,9146,126,
01-Mar-26,South,C,,89,212,18868,5,19811,199,
01-Apr-25,South,C,,71,141,10011,-2,9811,144,
01-May-25,South,C,,87,195,16965,-2,16626,200,
01-Jun-25,South,C,,80,175,14000,-2,13720,179,
01-Jul-25,South,C,,92,206,18952,-2,18573,211,
01-Aug-25,South,C,,83,89,7387,-2,7239,91,
01-Sep-25,South,C,,80,244,19520,-2,19130,250,
01-Oct-25,South,C,,89,130,11570,-2,11339,133,
01-Nov-25,South,C,,70,244,17080,-2,16738,250,
01-Dec-25,South,C,,68,168,11424,-2,11196,172,
01-Jan-26,South,C,,72,215,15480,-2,15170,220,
01-Feb-26,South,C,,53,231,12243,-2,11998,237,
01-Mar-26,South,C,,50,194,9700,-2,9506,199,
01-Apr-25,South,C,,65,187,12155,-2,11912,191,
01-May-25,South,C,,95,123,11685,-2,11451,126,
01-Jun-25,South,C,,88,100,8800,-2,8624,102,
01-Jul-25,South,C,,96,94,9024,-2,8844,96,
01-Aug-25,South,C,,74,154,11396,-2,11168,158,
01-Sep-25,South,C,,99,234,23166,-2,22703,240,
01-Oct-25,South,C,,76,225,17100,-2,16758,230,
01-Nov-25,South,C,,59,104,6136,-2,6013,106,
01-Dec-25,South,C,,63,121,7623,-2,7471,124,
01-Jan-26,South,C,,75,196,14700,-2,14406,201,
01-Feb-26,South,C,,65,134,8710,-2,8536,137,
01-Mar-26,South,C,,89,212,18868,-2,18491,217,
01-Apr-25,South,C,,71,141,10011,-3,9711,146,
01-May-25,South,C,,87,195,16965,-3,16456,202,
01-Jun-25,South,C,,80,175,14000,-3,13580,182,
01-Jul-25,South,C,,92,206,18952,-3,18383,214,
01-Aug-25,South,C,,83,89,7387,-3,7165,92,
01-Sep-25,South,C,,80,244,19520,-3,18934,253,
01-Oct-25,South,C,,89,130,11570,-3,11223,135,
01-Nov-25,South,C,,70,244,17080,-3,16568,253,
01-Dec-25,South,C,,68,168,11424,-3,11081,174,
01-Jan-26,South,C,,72,215,15480,-3,15016,223,
01-Feb-26,South,C,,53,231,12243,-3,11876,240,
01-Mar-26,South,C,,50,194,9700,-3,9409,201,
01-Apr-25,South,C,,65,187,12155,-3,11790,194,
01-May-25,South,C,,95,123,11685,-3,11334,128,
01-Jun-25,South,C,,88,100,8800,-3,8536,104,
01-Jul-25,South,C,,96,94,9024,-3,8753,98,
01-Aug-25,South,C,,74,154,11396,-3,11054,160,
01-Sep-25,South,C,,99,234,23166,-3,22471,243,
01-Oct-25,South,C,,76,225,17100,-3,16587,234,
01-Nov-25,South,C,,59,104,6136,-3,5952,108,
01-Dec-25,South,C,,63,121,7623,-3,7394,126,
01-Jan-26,South,C,,75,196,14700,-3,14259,203,
01-Feb-26,South,C,,65,134,8710,-3,8449,139,
01-Mar-26,South,C,,89,212,18868,-3,18302,220,
01-Apr-25,South,C,,71,141,10011,-4,9611,148,
01-May-25,South,C,,87,195,16965,-4,16286,204,
01-Jun-25,South,C,,80,175,14000,-4,13440,183,
01-Jul-25,South,C,,92,206,18952,-4,18194,216,
01-Aug-25,South,C,,83,89,7387,-4,7092,93,
01-Sep-25,South,C,,80,244,19520,-4,18739,256,
01-Oct-25,South,C,,89,130,11570,-4,11107,136,
01-Nov-25,South,C,,70,244,17080,-4,16397,256,
01-Dec-25,South,C,,68,168,11424,-4,10967,176,
01-Jan-26,South,C,,72,215,15480,-4,14861,225,
01-Feb-26,South,C,,53,231,12243,-4,11753,242,
01-Mar-26,South,C,,50,194,9700,-4,9312,203,
01-Apr-25,South,C,,65,187,12155,-4,11669,196,
01-May-25,South,C,,95,123,11685,-4,11218,129,
01-Jun-25,South,C,,88,100,8800,-4,8448,105,
01-Jul-25,South,C,,96,94,9024,-4,8663,99,
01-Aug-25,South,C,,74,154,11396,-4,10940,161,
01-Sep-25,South,C,,99,234,23166,-4,22239,245,
01-Oct-25,South,C,,76,225,17100,-4,16416,236,
01-Nov-25,South,C,,59,104,6136,-4,5891,109,
01-Dec-25,South,C,,63,121,7623,-4,7318,127,
01-Jan-26,South,C,,75,196,14700,-4,14112,205,
01-Feb-26,South,C,,65,134,8710,-4,8362,140,
01-Mar-26,South,C,,89,212,18868,-4,18113,222,
01-Apr-25,South,C,,71,141,10011,-5,9510,149,
01-May-25,South,C,,87,195,16965,-5,16117,207,
01-Jun-25,South,C,,80,175,14000,-5,13300,186,
01-Jul-25,South,C,,92,206,18952,-5,18004,218,
01-Aug-25,South,C,,83,89,7387,-5,7018,94,
01-Sep-25,South,C,,80,244,19520,-5,18544,259,
01-Oct-25,South,C,,89,130,11570,-5,10992,138,
01-Nov-25,South,C,,70,244,17080,-5,16226,259,
01-Dec-25,South,C,,68,168,11424,-5,10853,178,
01-Jan-26,South,C,,72,215,15480,-5,14706,228,
01-Feb-26,South,C,,53,231,12243,-5,11631,245,
01-Mar-26,South,C,,50,194,9700,-5,9215,206,
01-Apr-25,South,C,,65,187,12155,-5,11547,198,
01-May-25,South,C,,95,123,11685,-5,11101,130,
01-Jun-25,South,C,,88,100,8800,-5,8360,106,
01-Jul-25,South,C,,96,94,9024,-5,8573,100,
01-Aug-25,South,C,,74,154,11396,-5,10826,163,
01-Sep-25,South,C,,99,234,23166,-5,22008,248,
01-Oct-25,South,C,,76,225,17100,-5,16245,239,
01-Nov-25,South,C,,59,104,6136,-5,5829,110,
01-Dec-25,South,C,,63,121,7623,-5,7242,128,
01-Jan-26,South,C,,75,196,14700,-5,13965,208,
01-Feb-26,South,C,,65,134,8710,-5,8275,142,
01-Mar-26,South,C,,89,212,18868,-5,17925,225,
01-Apr-25,North,C,,84,218,18312,2,18678,213,
01-May-25,North,C,,55,235,12925,2,13184,229,
01-Jun-25,North,C,,65,95,6175,2,6299,93,
01-Jul-25,North,C,,77,185,14245,2,14530,181,
01-Aug-25,North,C,,67,179,11993,2,12233,175,
01-Sep-25,North,C,,75,120,9000,2,9180,117,
01-Oct-25,North,C,,97,234,22698,2,23152,228,
01-Nov-25,North,C,,58,189,10962,2,11181,184,
01-Dec-25,North,C,,51,139,7089,2,7231,136,
01-Jan-26,North,C,,73,180,13140,2,13403,176,
01-Feb-26,North,C,,62,151,9362,2,9549,147,
01-Mar-26,North,C,,86,149,12814,2,13070,145,
01-Apr-25,North,C,,98,92,9016,2,9196,90,
01-May-25,North,C,,87,234,20358,2,20765,228,
01-Jun-25,North,C,,76,170,12920,2,13178,166,
01-Jul-25,North,C,,96,213,20448,2,20857,208,
01-Aug-25,North,C,,77,101,7777,2,7933,99,
01-Sep-25,North,C,,79,195,15405,2,15713,190,
01-Oct-25,North,C,,93,216,20088,2,20490,211,
01-Nov-25,North,C,,66,238,15708,2,16022,232,
01-Dec-25,North,C,,54,210,11340,2,11567,205,
01-Jan-26,North,C,,77,137,10549,2,10760,134,
01-Feb-26,North,C,,90,219,19710,2,20104,214,
01-Mar-26,North,C,,65,183,11895,2,12133,179,
01-Apr-25,North,C,,84,218,18312,3,18861,210,
01-May-25,North,C,,55,235,12925,3,13313,227,
01-Jun-25,North,C,,65,95,6175,3,6360,92,
01-Jul-25,North,C,,77,185,14245,3,14672,178,
01-Aug-25,North,C,,67,179,11993,3,12353,173,
01-Sep-25,North,C,,75,120,9000,3,9270,116,
01-Oct-25,North,C,,97,234,22698,3,23379,226,
01-Nov-25,North,C,,58,189,10962,3,11291,182,
01-Dec-25,North,C,,51,139,7089,3,7302,134,
01-Jan-26,North,C,,73,180,13140,3,13534,174,
01-Feb-26,North,C,,62,151,9362,3,9643,146,
01-Mar-26,North,C,,86,149,12814,3,13198,144,
01-Apr-25,North,C,,98,92,9016,3,9286,89,
01-May-25,North,C,,87,234,20358,3,20969,226,
01-Jun-25,North,C,,76,170,12920,3,13308,164,
01-Jul-25,North,C,,96,213,20448,3,21061,205,
01-Aug-25,North,C,,77,101,7777,3,8010,97,
01-Sep-25,North,C,,79,195,15405,3,15867,188,
01-Oct-25,North,C,,93,216,20088,3,20691,208,
01-Nov-25,North,C,,66,238,15708,3,16179,229,
01-Dec-25,North,C,,54,210,11340,3,11680,202,
01-Jan-26,North,C,,77,137,10549,3,10865,132,
01-Feb-26,North,C,,90,219,19710,3,20301,211,
01-Mar-26,North,C,,65,183,11895,3,12252,176,
01-Apr-25,North,C,,84,218,18312,4,19044,208,
01-May-25,North,C,,55,235,12925,4,13442,224,
01-Jun-25,North,C,,65,95,6175,4,6422,90,
01-Jul-25,North,C,,77,185,14245,4,14815,176,
01-Aug-25,North,C,,67,179,11993,4,12473,170,
01-Sep-25,North,C,,75,120,9000,4,9360,114,
01-Oct-25,North,C,,97,234,22698,4,23606,223,
01-Nov-25,North,C,,58,189,10962,4,11400,180,
01-Dec-25,North,C,,51,139,7089,4,7373,132,
01-Jan-26,North,C,,73,180,13140,4,13666,171,
01-Feb-26,North,C,,62,151,9362,4,9736,144,
01-Mar-26,North,C,,86,149,12814,4,13327,142,
01-Apr-25,North,C,,98,92,9016,4,9377,88,
01-May-25,North,C,,87,234,20358,4,21172,223,
01-Jun-25,North,C,,76,170,12920,4,13437,162,
01-Jul-25,North,C,,96,213,20448,4,21266,203,
01-Aug-25,North,C,,77,101,7777,4,8088,96,
01-Sep-25,North,C,,79,195,15405,4,16021,186,
01-Oct-25,North,C,,93,216,20088,4,20892,206,
01-Nov-25,North,C,,66,238,15708,4,16336,227,
01-Dec-25,North,C,,54,210,11340,4,11794,200,
01-Jan-26,North,C,,77,137,10549,4,10971,130,
01-Feb-26,North,C,,90,219,19710,4,20498,208,
01-Mar-26,North,C,,65,183,11895,4,12371,174,
01-Apr-25,North,C,,84,218,18312,5,19228,205,
01-May-25,North,C,,55,235,12925,5,13571,221,
01-Jun-25,North,C,,65,95,6175,5,6484,89,
01-Jul-25,North,C,,77,185,14245,5,14957,174,
01-Aug-25,North,C,,67,179,11993,5,12593,168,
01-Sep-25,North,C,,75,120,9000,5,9450,113,
01-Oct-25,North,C,,97,234,22698,5,23833,220,
01-Nov-25,North,C,,58,189,10962,5,11510,178,
01-Dec-25,North,C,,51,139,7089,5,7443,131,
01-Jan-26,North,C,,73,180,13140,5,13797,169,
01-Feb-26,North,C,,62,151,9362,5,9830,142,
01-Mar-26,North,C,,86,149,12814,5,13455,140,
01-Apr-25,North,C,,98,92,9016,5,9467,86,
01-May-25,North,C,,87,234,20358,5,21376,220,
01-Jun-25,North,C,,76,170,12920,5,13566,160,
01-Jul-25,North,C,,96,213,20448,5,21470,200,
01-Aug-25,North,C,,77,101,7777,5,8166,95,
01-Sep-25,North,C,,79,195,15405,5,16175,183,
01-Oct-25,North,C,,93,216,20088,5,21092,203,
01-Nov-25,North,C,,66,238,15708,5,16493,224,
01-Dec-25,North,C,,54,210,11340,5,11907,197,
01-Jan-26,North,C,,77,137,10549,5,11076,129,
01-Feb-26,North,C,,90,219,19710,5,20696,206,
01-Mar-26,North,C,,65,183,11895,5,12490,172,
01-Apr-25,North,C,,84,218,18312,-2,17946,223,
01-May-25,North,C,,55,235,12925,-2,12667,241,
01-Jun-25,North,C,,65,95,6175,-2,6052,97,
01-Jul-25,North,C,,77,185,14245,-2,13960,189,
01-Aug-25,North,C,,67,179,11993,-2,11753,183,
01-Sep-25,North,C,,75,120,9000,-2,8820,123,
01-Oct-25,North,C,,97,234,22698,-2,22244,240,
01-Nov-25,North,C,,58,189,10962,-2,10743,194,
01-Dec-25,North,C,,51,139,7089,-2,6947,142,
01-Jan-26,North,C,,73,180,13140,-2,12877,184,
01-Feb-26,North,C,,62,151,9362,-2,9175,155,
01-Mar-26,North,C,,86,149,12814,-2,12558,153,
