Container ID,Date of Arrival,Size,Gate-In Time,Gate-Out Time,Days in Yard,Yard Location,Importer Name,Cargo Type
CNT100079,6/8/2024,TEU,6/8/2024 5:00,24:37.1,2,Yard A,Importer 7,General
CNT100080,6/15/2024,TEU,6/15/2024 11:00,28:28.8,5,Yard C,Importer 6,Tank
CNT100081,6/3/2024,FEU,6/3/2024 22:00,23:25.8,5,Yard C,Importer 3,Tank
CNT100082,6/14/2024,TEU,6/14/2024 10:00,00:00.0,16,Yard C,Importer 3,Hazardous
CNT100083,6/17/2024,FEU,6/17/2024 21:00,20:54.9,5,Yard C,Importer 8,Tank
CNT100084,6/4/2024,TEU,6/4/2024 3:00,40:12.9,2,Yard A,Importer 8,Tank_Hazardous
CNT100085,6/18/2024,TEU,6/18/2024 23:00,17:10.1,11,Yard C,Importer 2,Reeler
CNT100086,6/8/2024,TEU,6/8/2024 5:00,37:47.7,5,Yard A,Importer 1,Tank
CNT100087,6/4/2024,TEU,6/4/2024 17:00,13:55.6,3,Yard B,Importer 2,Reeler_Hazardous
CNT100088,6/2/2024,TEU,6/2/2024 5:00,23:42.5,3,Yard A,Importer 10,Tank_Hazardous
CNT100089,6/30/2024,TEU,6/30/2024 0:00,15:45.3,13,Yard A,Importer 5,Reeler
CNT100090,6/6/2024,FEU,6/6/2024 9:00,55:57.4,5,Yard C,Importer 8,Reeler_Hazardous
CNT100091,6/22/2024,FEU,6/22/2024 11:00,28:32.1,13,Yard C,Importer 4,Reeler
CNT100092,6/10/2024,TEU,6/10/2024 6:00,04:11.3,7,Yard C,Importer 6,Hazardous
CNT100093,6/4/2024,TEU,6/4/2024 23:00,07:09.1,6,Yard B,Importer 4,Tank
CNT100094,6/22/2024,FEU,6/22/2024 10:00,40:24.6,11,Yard A,Importer 8,Reeler
CNT100095,6/29/2024,TEU,6/29/2024 19:00,13:24.4,2,Yard B,Importer 4,General
CNT100096,6/18/2024,TEU,6/18/2024 23:00,28:26.6,10,Yard A,Importer 3,Hazardous
CNT100097,6/26/2024,FEU,6/26/2024 0:00,06:20.2,4,Yard A,Importer 1,Reeler_Hazardous
CNT100098,6/12/2024,FEU,6/12/2024 15:00,26:49.1,1,Yard B,Importer 4,General
CNT100099,6/2/2024,TEU,6/2/2024 3:00,42:46.4,5,Yard B,Importer 8,Reeler_Hazardous
CNT100100,6/10/2024,TEU,6/10/2024 5:00,03:44.7,5,Yard A,Importer 5,Tank
CNT100101,6/30/2024,TEU,6/30/2024 9:00,13:59.2,2,Yard B,Importer 7,General
CNT100102,6/4/2024,FEU,6/4/2024 6:00,43:22.2,9,Yard C,Importer 6,Hazardous
CNT100103,6/14/2024,TEU,6/14/2024 11:00,38:36.4,2,Yard A,Importer 7,Tank_Hazardous
CNT100104,6/16/2024,TEU,6/16/2024 18:00,35:40.4,12,Yard C,Importer 7,Reeler
CNT100105,6/15/2024,TEU,6/15/2024 9:00,05:36.0,7,Yard B,Importer 8,Tank
CNT100106,6/8/2024,TEU,6/8/2024 1:00,46:14.8,12,Yard C,Importer 9,Reeler
CNT100107,6/14/2024,FEU,6/14/2024 8:00,41:13.6,8,Yard B,Importer 3,Hazardous
CNT100108,6/23/2024,FEU,6/23/2024 0:00,11:17.5,11,Yard C,Importer 9,Reeler
CNT100109,6/28/2024,FEU,6/28/2024 9:00,59:26.1,2,Yard B,Importer 1,General
CNT100110,6/25/2024,TEU,6/25/2024 0:00,10:19.7,8,Yard A,Importer 4,Reeler
CNT100111,6/30/2024,TEU,6/30/2024 1:00,29:51.5,11,Yard A,Importer 5,Reeler
CNT100112,6/8/2024,TEU,6/8/2024 4:00,47:53.1,4,Yard A,Importer 4,Tank
CNT100113,6/21/2024,TEU,6/21/2024 16:00,01:36.2,5,Yard A,Importer 6,Tank
CNT100114,6/16/2024,FEU,6/16/2024 12:00,42:33.4,7,Yard B,Importer 8,Tank
CNT100115,6/13/2024,TEU,6/13/2024 5:00,59:17.6,4,Yard C,Importer 4,Reeler_Hazardous
CNT100116,6/18/2024,TEU,6/18/2024 23:00,00:06.6,2,Yard A,Importer 7,General
CNT100117,6/15/2024,TEU,6/15/2024 9:00,22:03.4,1,Yard B,Importer 7,General
CNT100118,6/21/2024,FEU,6/21/2024 1:00,35:49.0,6,Yard B,Importer 8,Tank
CNT100119,6/24/2024,TEU,6/24/2024 4:00,19:25.4,15,Yard A,Importer 9,Hazardous
CNT100120,6/26/2024,TEU,6/26/2024 18:00,14:58.8,8,Yard A,Importer 6,Hazardous
CNT100121,6/25/2024,TEU,6/25/2024 1:00,01:23.6,1,Yard B,Importer 1,General
CNT100122,6/28/2024,FEU,6/28/2024 21:00,44:43.7,1,Yard C,Importer 2,General
CNT100123,6/28/2024,TEU,6/28/2024 0:00,48:37.6,6,Yard B,Importer 1,Tank
CNT100124,6/28/2024,FEU,6/28/2024 7:00,34:24.2,11,Yard A,Importer 1,Hazardous
CNT100125,6/13/2024,FEU,6/13/2024 14:00,51:42.0,9,Yard A,Importer 6,Reeler_Hazardous
CNT100126,6/9/2024,TEU,6/9/2024 5:00,05:34.2,8,Yard A,Importer 1,Reeler
CNT100127,6/29/2024,FEU,6/29/2024 3:00,43:23.5,2,Yard C,Importer 6,General
CNT100128,6/15/2024,TEU,6/15/2024 11:00,05:29.5,6,Yard C,Importer 6,Tank
CNT100129,6/13/2024,FEU,6/13/2024 15:00,26:10.1,12,Yard C,Importer 8,Hazardous
CNT100130,6/1/2024,TEU,6/1/2024 20:00,06:53.7,2,Yard B,Importer 3,Tank_Hazardous
CNT100131,6/25/2024,TEU,6/25/2024 1:00,35:17.9,7,Yard B,Importer 6,Tank
CNT100132,6/7/2024,TEU,6/7/2024 7:00,55:57.4,10,Yard C,Importer 10,Hazardous
CNT100133,6/9/2024,TEU,6/9/2024 21:00,15:42.5,9,Yard C,Importer 9,Hazardous
CNT100134,6/24/2024,FEU,6/24/2024 5:00,51:44.6,1,Yard A,Importer 10,Reeler_Hazardous
CNT100135,6/1/2024,TEU,6/1/2024 2:00,34:13.2,5,Yard A,Importer 8,Tank
CNT100136,6/12/2024,FEU,6/12/2024 0:00,25:33.9,15,Yard B,Importer 6,Hazardous
CNT100137,6/8/2024,TEU,6/8/2024 7:00,41:12.8,2,Yard C,Importer 4,Tank_Hazardous
CNT100138,6/24/2024,FEU,6/24/2024 11:00,53:34.3,4,Yard C,Importer 9,Reeler_Hazardous
CNT100139,6/11/2024,TEU,6/11/2024 6:00,41:28.3,14,Yard B,Importer 7,Hazardous
CNT100140,6/19/2024,TEU,6/19/2024 16:00,31:04.7,9,Yard C,Importer 2,Hazardous
CNT100141,6/17/2024,TEU,6/17/2024 12:00,40:23.1,4,Yard A,Importer 4,Reeler_Hazardous
CNT100142,6/8/2024,FEU,6/8/2024 23:00,34:10.5,11,Yard C,Importer 2,Hazardous
CNT100143,6/3/2024,TEU,6/3/2024 17:00,18:41.6,8,Yard B,Importer 8,Reeler
CNT100144,6/3/2024,TEU,6/3/2024 15:00,16:30.8,2,Yard B,Importer 8,Tank_Hazardous
CNT100145,6/1/2024,TEU,6/1/2024 7:00,53:40.1,7,Yard C,Importer 7,Reeler_Hazardous
CNT100146,6/27/2024,FEU,6/27/2024 20:00,23:03.3,6,Yard B,Importer 6,Tank
CNT100147,6/5/2024,TEU,6/5/2024 23:00,58:54.5,13,Yard A,Importer 10,Hazardous
CNT100148,6/10/2024,TEU,6/10/2024 11:00,58:55.4,7,Yard A,Importer 7,Reeler
CNT100149,6/7/2024,TEU,6/7/2024 5:00,18:58.9,6,Yard A,Importer 4,Tank
CNT100150,6/26/2024,FEU,6/26/2024 1:00,29:04.9,15,Yard C,Importer 3,Hazardous
CNT100151,6/9/2024,FEU,6/9/2024 6:00,43:34.9,11,Yard B,Importer 1,Hazardous
CNT100152,6/28/2024,TEU,6/28/2024 21:00,22:47.4,10,Yard A,Importer 8,Reeler
CNT100153,6/7/2024,TEU,6/7/2024 3:00,00:00.0,1,Yard B,Importer 2,General
CNT100154,6/9/2024,TEU,6/9/2024 19:00,47:21.0,14,Yard B,Importer 6,Reeler
CNT100155,6/8/2024,TEU,6/8/2024 15:00,51:36.1,7,Yard B,Importer 8,Tank
CNT100156,6/12/2024,TEU,6/12/2024 16:00,32:52.8,4,Yard A,Importer 4,Reeler_Hazardous
CNT100157,6/2/2024,FEU,6/2/2024 2:00,19:17.8,5,Yard B,Importer 2,Reeler_Hazardous
CNT100158,6/1/2024,TEU,6/1/2024 23:00,23:40.6,2,Yard A,Importer 3,General
CNT100159,6/16/2024,FEU,6/16/2024 2:00,59:55.9,6,Yard A,Importer 10,Reeler_Hazardous
CNT100160,6/23/2024,TEU,6/23/2024 13:00,10:38.7,2,Yard A,Importer 7,General
CNT100161,6/23/2024,FEU,6/23/2024 13:00,54:12.5,11,Yard C,Importer 4,Reeler
CNT100162,6/30/2024,TEU,6/30/2024 6:00,44:39.9,9,Yard B,Importer 2,Hazardous
CNT100163,6/24/2024,TEU,6/24/2024 0:00,16:24.1,13,Yard C,Importer 7,Hazardous
CNT100164,6/5/2024,TEU,6/5/2024 14:00,10:04.6,2,Yard C,Importer 4,General
CNT100165,6/3/2024,TEU,6/3/2024 13:00,00:34.8,11,Yard C,Importer 7,Hazardous
CNT100166,6/12/2024,TEU,6/12/2024 3:00,31:42.2,2,Yard C,Importer 8,General
CNT100167,6/8/2024,FEU,6/8/2024 3:00,17:23.7,4,Yard A,Importer 6,Reeler_Hazardous
CNT100168,6/22/2024,FEU,6/22/2024 10:00,31:16.1,3,Yard A,Importer 8,Reeler_Hazardous
CNT100169,6/27/2024,TEU,6/27/2024 0:00,12:01.2,2,Yard B,Importer 7,Tank_Hazardous
CNT100170,6/3/2024,TEU,6/3/2024 10:00,33:24.6,2,Yard B,Importer 2,Tank_Hazardous
CNT100171,6/1/2024,TEU,6/1/2024 11:00,26:44.9,5,Yard A,Importer 2,Reeler_Hazardous
CNT100172,6/3/2024,TEU,6/3/2024 14:00,38:00.9,8,Yard B,Importer 6,Tank
CNT100173,6/5/2024,TEU,6/5/2024 23:00,08:54.8,6,Yard B,Importer 9,Reeler_Hazardous
CNT100174,6/15/2024,FEU,6/15/2024 14:00,23:21.8,2,Yard C,Importer 10,Reeler_Hazardous
CNT100175,6/14/2024,FEU,6/14/2024 21:00,54:21.6,2,Yard C,Importer 6,Tank_Hazardous
CNT100176,6/3/2024,FEU,6/3/2024 3:00,30:00.2,10,Yard C,Importer 9,Reeler
CNT100177,6/1/2024,TEU,6/1/2024 5:00,41:26.8,10,Yard C,Importer 10,Hazardous
CNT100178,6/5/2024,FEU,6/5/2024 21:00,27:46.1,11,Yard C,Importer 7,Hazardous
CNT100179,6/26/2024,FEU,6/26/2024 1:00,28:10.7,7,Yard A,Importer 8,Tank
CNT100180,6/23/2024,TEU,6/23/2024 22:00,50:48.9,2,Yard C,Importer 3,Tank_Hazardous
CNT100181,6/14/2024,TEU,6/14/2024 8:00,40:03.6,7,Yard C,Importer 4,Tank
CNT100182,6/7/2024,FEU,6/7/2024 7:00,47:33.6,13,Yard A,Importer 1,Hazardous
CNT100183,6/27/2024,TEU,6/27/2024 18:00,02:20.5,2,Yard C,Importer 9,General
CNT100184,6/9/2024,TEU,6/9/2024 7:00,44:40.3,2,Yard B,Importer 3,Tank_Hazardous
CNT100185,6/15/2024,TEU,6/15/2024 19:00,11:37.7,4,Yard A,Importer 1,Reeler_Hazardous
CNT100186,6/15/2024,TEU,6/15/2024 9:00,43:14.5,9,Yard B,Importer 9,Reeler
CNT100187,6/26/2024,TEU,6/26/2024 16:00,48:20.8,3,Yard B,Importer 9,General
CNT100188,6/10/2024,FEU,6/10/2024 18:00,31:21.9,2,Yard A,Importer 2,General
CNT100189,6/28/2024,FEU,6/28/2024 0:00,20:33.1,2,Yard A,Importer 7,Tank_Hazardous
CNT100190,6/13/2024,FEU,6/13/2024 20:00,02:45.8,4,Yard C,Importer 10,Reeler_Hazardous
CNT100191,6/19/2024,TEU,6/19/2024 14:00,41:15.6,7,Yard A,Importer 2,Reeler_Hazardous
CNT100192,6/7/2024,FEU,6/7/2024 10:00,49:57.4,2,Yard A,Importer 5,General
CNT100193,6/17/2024,TEU,6/17/2024 6:00,16:02.9,4,Yard C,Importer 2,Reeler_Hazardous
CNT100194,6/20/2024,TEU,6/20/2024 15:00,34:25.6,6,Yard C,Importer 7,Tank
CNT100195,6/29/2024,TEU,6/29/2024 2:00,28:09.4,5,Yard A,Importer 2,Tank
CNT100196,6/4/2024,TEU,6/4/2024 22:00,04:23.9,3,Yard C,Importer 6,Reeler_Hazardous
CNT100197,6/30/2024,TEU,6/30/2024 11:00,00:15.3,7,Yard C,Importer 8,Reeler_Hazardous
CNT100198,6/5/2024,TEU,6/5/2024 23:00,17:40.3,11,Yard C,Importer 5,Hazardous
CNT100199,6/23/2024,TEU,6/23/2024 15:00,07:16.9,12,Yard B,Importer 3,Reeler
CNT100200,6/7/2024,TEU,6/7/2024 19:00,34:43.6,7,Yard C,Importer 9,Tank
CNT100201,6/13/2024,FEU,6/13/2024 18:00,14:48.1,2,Yard B,Importer 9,Tank_Hazardous
CNT100202,6/15/2024,TEU,6/15/2024 1:00,32:12.3,2,Yard A,Importer 7,Tank_Hazardous
CNT100203,6/11/2024,FEU,6/11/2024 7:00,00:00.0,16,Yard B,Importer 3,Hazardous
CNT100204,6/29/2024,TEU,6/29/2024 18:00,46:03.7,13,Yard B,Importer 1,Hazardous
CNT100205,6/4/2024,TEU,6/4/2024 22:00,27:11.9,2,Yard B,Importer 10,Tank_Hazardous
CNT100206,6/13/2024,FEU,6/13/2024 10:00,57:21.9,2,Yard B,Importer 3,Tank_Hazardous
CNT100207,6/7/2024,TEU,6/7/2024 10:00,11:02.2,7,Yard B,Importer 6,Reeler_Hazardous
CNT100208,6/27/2024,TEU,6/27/2024 1:00,11:36.8,12,Yard B,Importer 9,Hazardous
CNT100209,6/19/2024,FEU,6/19/2024 4:00,20:39.6,14,Yard A,Importer 1,Hazardous
CNT100210,6/22/2024,TEU,6/22/2024 4:00,59:46.5,6,Yard A,Importer 7,Tank
CNT100211,6/28/2024,FEU,6/28/2024 23:00,17:20.8,11,Yard A,Importer 10,Reeler
CNT100212,6/2/2024,TEU,6/2/2024 23:00,21:22.2,1,Yard B,Importer 10,General
CNT100213,6/10/2024,TEU,6/10/2024 9:00,21:23.2,7,Yard C,Importer 3,Reeler
CNT100214,6/13/2024,TEU,6/13/2024 1:00,14:38.5,6,Yard B,Importer 7,Tank
CNT100215,6/30/2024,TEU,6/30/2024 14:00,30:48.6,6,Yard A,Importer 2,Reeler_Hazardous
CNT100216,6/25/2024,FEU,6/25/2024 17:00,46:14.4,4,Yard B,Importer 10,Reeler_Hazardous
CNT100217,6/21/2024,FEU,6/21/2024 11:00,46:02.9,3,Yard A,Importer 10,Reeler_Hazardous
CNT100218,6/6/2024,TEU,6/6/2024 9:00,01:45.0,14,Yard C,Importer 10,Reeler
CNT100219,6/28/2024,TEU,6/28/2024 6:00,15:59.9,1,Yard C,Importer 3,General
CNT100220,6/28/2024,FEU,6/28/2024 14:00,26:38.8,1,Yard A,Importer 1,General
CNT100221,6/12/2024,TEU,6/12/2024 14:00,12:51.6,2,Yard A,Importer 9,Reeler_Hazardous
CNT100222,6/12/2024,TEU,6/12/2024 11:00,17:16.5,4,Yard B,Importer 9,Reeler_Hazardous
CNT100223,6/20/2024,TEU,6/20/2024 19:00,55:11.1,2,Yard B,Importer 9,General
CNT100224,6/30/2024,TEU,6/30/2024 14:00,52:24.9,2,Yard B,Importer 4,General
CNT100225,6/30/2024,FEU,6/30/2024 2:00,00:00.0,16,Yard C,Importer 6,Hazardous
CNT100226,6/11/2024,FEU,6/11/2024 15:00,17:37.7,2,Yard C,Importer 7,Tank_Hazardous
CNT100227,6/26/2024,TEU,6/26/2024 18:00,23:51.9,8,Yard C,Importer 7,Reeler
CNT100228,6/23/2024,TEU,6/23/2024 6:00,56:10.0,9,Yard B,Importer 5,Reeler
CNT100229,6/28/2024,TEU,6/28/2024 16:00,03:56.8,7,Yard A,Importer 4,Tank
CNT100230,6/25/2024,TEU,6/25/2024 3:00,16:53.9,2,Yard A,Importer 1,Tank_Hazardous
CNT100231,6/7/2024,TEU,6/7/2024 21:00,58:36.5,1,Yard B,Importer 9,Tank_Hazardous
CNT100232,6/30/2024,FEU,6/30/2024 14:00,23:16.8,11,Yard B,Importer 4,Hazardous
CNT100233,6/1/2024,TEU,6/1/2024 8:00,59:32.2,1,Yard A,Importer 4,General
CNT100234,6/1/2024,TEU,6/1/2024 16:00,47:00.9,1,Yard A,Importer 3,General
CNT100235,6/25/2024,TEU,6/25/2024 0:00,25:07.5,12,Yard C,Importer 9,Hazardous
CNT100236,6/27/2024,TEU,6/27/2024 1:00,58:34.9,2,Yard B,Importer 2,General
CNT100237,6/30/2024,TEU,6/30/2024 6:00,28:46.9,14,Yard C,Importer 2,Hazardous
CNT100238,6/25/2024,FEU,6/25/2024 22:00,11:36.9,2,Yard C,Importer 2,Reeler_Hazardous
CNT100239,6/20/2024,TEU,6/20/2024 13:00,45:38.2,14,Yard A,Importer 4,Hazardous
CNT100240,6/13/2024,FEU,6/13/2024 4:00,17:20.7,6,Yard B,Importer 3,Reeler_Hazardous
CNT100241,6/9/2024,TEU,6/9/2024 3:00,50:36.5,4,Yard A,Importer 10,Reeler_Hazardous
CNT100242,6/3/2024,TEU,6/3/2024 12:00,50:21.2,5,Yard C,Importer 10,Reeler_Hazardous
CNT100243,6/7/2024,TEU,6/7/2024 9:00,08:28.2,5,Yard B,Importer 1,Tank
CNT100244,6/6/2024,TEU,6/6/2024 12:00,47:42.3,1,Yard C,Importer 4,Tank_Hazardous
CNT100245,6/8/2024,TEU,6/8/2024 21:00,37:06.7,2,Yard C,Importer 2,Tank_Hazardous
CNT100246,6/27/2024,TEU,6/27/2024 23:00,47:34.5,5,Yard A,Importer 9,Tank
CNT100247,6/9/2024,FEU,6/9/2024 11:00,03:23.9,1,Yard B,Importer 9,General
CNT100248,6/30/2024,FEU,6/30/2024 22:00,15:58.8,5,Yard B,Importer 2,Reeler_Hazardous
CNT100249,6/5/2024,TEU,6/5/2024 17:00,47:57.7,3,Yard B,Importer 8,Tank_Hazardous
CNT100250,6/1/2024,TEU,6/1/2024 10:00,32:08.1,5,Yard B,Importer 6,Reeler_Hazardous
CNT100251,6/19/2024,TEU,6/19/2024 17:00,23:17.6,6,Yard C,Importer 10,Tank
CNT100252,6/10/2024,TEU,6/10/2024 21:00,13:16.3,2,Yard A,Importer 8,Tank_Hazardous
CNT100253,6/12/2024,TEU,6/12/2024 11:00,51:04.0,3,Yard B,Importer 8,Tank_Hazardous
CNT100254,6/24/2024,FEU,6/24/2024 0:00,00:49.2,8,Yard C,Importer 9,Reeler
CNT100255,6/15/2024,TEU,6/15/2024 20:00,07:29.4,8,Yard A,Importer 1,Reeler
CNT100256,6/27/2024,TEU,6/27/2024 15:00,32:51.8,4,Yard A,Importer 2,Reeler_Hazardous
CNT100257,6/22/2024,TEU,6/22/2024 13:00,08:13.2,2,Yard A,Importer 3,Tank_Hazardous
CNT100258,6/24/2024,TEU,6/24/2024 0:00,30:20.9,7,Yard B,Importer 5,Reeler
CNT100259,6/9/2024,FEU,6/9/2024 6:00,59:45.6,2,Yard C,Importer 8,General
