Order ID,Order State,Region (Order),Inventory Location,Region (Inventory),Process,Responsible Person,Subprocess,Sub TAT (Days),Sub Actual Start Date,Sub Actual End Date,Status Type,Quantity,Actual Days,Order Start Date,Process Sequence,Subprocess Sequence,Client Name
ORD0493,Nagpur,East,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,29-Jul-25,2-Aug-25,On Time,999,4,2-Jul-25,2,4,Client C
ORD0513,Bhopal,West,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,23-Jul-25,27-Jul-25,On Time,915,4,29-Jun-25,2,4,Client J
ORD0521,Bhopal,South,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,26-Sep-25,30-Sep-25,On Time,570,4,29-Aug-25,2,4,Client H
ORD0525,Jaipur,North,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,25-Sep-25,29-Sep-25,On Time,1408,4,29-Aug-25,2,4,Client A
ORD0542,Chandigarh,South,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,16-Sep-25,20-Sep-25,On Time,857,4,21-Aug-25,2,4,Client F
ORD0566,Ahmedabad,East,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,2-Jul-25,6-Jul-25,On Time,1460,4,9-Jun-25,2,4,Client B
ORD0568,Jaipur,South,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,28-Jul-25,1-Aug-25,On Time,1145,4,28-Jun-25,2,4,Client B
ORD0571,Vishakhapatnam,South,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,19-Sep-25,23-Sep-25,On Time,1358,4,22-Aug-25,2,4,Client B
ORD0573,Bhopal,East,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,6-Sep-25,10-Sep-25,On Time,612,4,8-Aug-25,2,4,Client F
ORD0592,Bangalore,West,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,16-Jul-25,20-Jul-25,On Time,383,4,18-Jun-25,2,4,Client F
ORD0598,Bhopal,South,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,7-Jul-25,11-Jul-25,On Time,780,4,7-Jun-25,2,4,Client H
ORD0600,Bangalore,West,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,15-Jul-25,19-Jul-25,On Time,1331,4,13-Jun-25,2,4,Client H
ORD0614,Kolkata,North,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,23-Sep-25,27-Sep-25,On Time,1434,4,25-Aug-25,2,4,Client J
ORD0630,Ahmedabad,South,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,16-Jul-25,20-Jul-25,On Time,1203,4,19-Jun-25,2,4,Client B
ORD0666,Surat,West,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,17-Jul-25,21-Jul-25,On Time,424,4,20-Jun-25,2,4,Client D
ORD0697,Nagpur,West,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,29-Sep-25,3-Oct-25,On Time,594,4,31-Aug-25,2,4,Client J
ORD0701,Surat,West,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,29-Aug-25,2-Sep-25,On Time,955,4,2-Aug-25,2,4,Client F
ORD0712,Nagpur,South,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,2-Jul-25,6-Jul-25,On Time,701,4,6-Jun-25,2,4,Client G
ORD0713,Chennai,East,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,19-Sep-25,23-Sep-25,On Time,1172,4,21-Aug-25,2,4,Client F
ORD0718,Surat,South,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,10-Jul-25,14-Jul-25,On Time,351,4,10-Jun-25,2,4,Client G
ORD0721,Kolkata,North,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,30-Jun-25,4-Jul-25,On Time,1111,4,5-Jun-25,2,4,Client B
ORD0735,Nagpur,North,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,13-Sep-25,17-Sep-25,On Time,436,4,16-Aug-25,2,4,Client E
ORD0747,Surat,East,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,20-Jul-25,24-Jul-25,On Time,627,4,23-Jun-25,2,4,Client C
ORD0754,Bangalore,North,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,22-Sep-25,26-Sep-25,On Time,530,4,24-Aug-25,2,4,Client C
ORD0772,Bhopal,West,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,1-Jul-25,5-Jul-25,On Time,1288,4,3-Jun-25,2,4,Client D
ORD0774,Surat,East,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,4-Jul-25,8-Jul-25,On Time,1205,4,12-Jun-25,2,4,Client C
ORD0800,Guwahati,North,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,27-Sep-25,1-Oct-25,On Time,1104,4,27-Aug-25,2,4,Client J
ORD0841,Delhi,West,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,24-Jul-25,28-Jul-25,On Time,1328,4,21-Jun-25,2,4,Client F
ORD0858,Chennai,North,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,28-Sep-25,2-Oct-25,On Time,521,4,29-Aug-25,2,4,Client D
ORD0864,Ranchi,North,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,19-Sep-25,23-Sep-25,On Time,382,4,25-Aug-25,2,4,Client F
ORD0865,Chandigarh,North,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,20-Aug-25,24-Aug-25,On Time,534,4,26-Jul-25,2,4,Client E
ORD0879,Ahmedabad,South,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,10-Jul-25,14-Jul-25,On Time,346,4,14-Jun-25,2,4,Client F
ORD0910,Mumbai,South,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,23-Jul-25,27-Jul-25,On Time,651,4,25-Jun-25,2,4,Client I
ORD0918,Guwahati,South,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,8-Aug-25,12-Aug-25,On Time,420,4,10-Jul-25,2,4,Client A
ORD0924,Surat,West,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,24-Jul-25,28-Jul-25,On Time,955,4,26-Jun-25,2,4,Client H
ORD0928,Nagpur,South,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,24-Aug-25,28-Aug-25,On Time,1188,4,29-Jul-25,2,4,Client G
ORD0937,Delhi,West,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,13-Sep-25,17-Sep-25,On Time,1223,4,14-Aug-25,2,4,Client E
ORD0949,Bhopal,North,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,29-Aug-25,2-Sep-25,On Time,1206,4,5-Aug-25,2,4,Client G
ORD0968,Chandigarh,South,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,5-Sep-25,9-Sep-25,On Time,1316,4,9-Aug-25,2,4,Client F
ORD0969,Bhopal,West,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,25-Jul-25,29-Jul-25,On Time,1134,4,26-Jun-25,2,4,Client D
ORD0972,Chandigarh,South,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,19-Sep-25,23-Sep-25,On Time,1275,4,23-Aug-25,2,4,Client H
ORD0995,Vishakhapatnam,North,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,6-Aug-25,10-Aug-25,On Time,1210,4,10-Jul-25,2,4,Client A
ORD0999,Kolkata,South,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,29-Aug-25,2-Sep-25,On Time,572,4,2-Aug-25,2,4,Client J
ORD1005,Guwahati,South,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,25-Jul-25,29-Jul-25,On Time,697,4,24-Jun-25,2,4,Client G
ORD1015,Guwahati,South,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,8-Jul-25,12-Jul-25,On Time,1323,4,9-Jun-25,2,4,Client F
ORD1024,Ahmedabad,South,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,29-Aug-25,2-Sep-25,On Time,1082,4,3-Aug-25,2,4,Client E
ORD1030,Guwahati,East,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,4-Aug-25,8-Aug-25,On Time,1145,4,5-Jul-25,2,4,Client G
ORD1034,Mumbai,North,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,21-Sep-25,25-Sep-25,On Time,363,4,22-Aug-25,2,4,Client J
ORD1037,Nagpur,West,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,29-Aug-25,2-Sep-25,On Time,1377,4,1-Aug-25,2,4,Client D
ORD1048,Guwahati,South,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,21-Aug-25,25-Aug-25,On Time,997,4,21-Jul-25,2,4,Client B
ORD1053,Surat,West,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,26-Jul-25,30-Jul-25,On Time,324,4,25-Jun-25,2,4,Client C
ORD1059,Jaipur,North,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,5-Aug-25,9-Aug-25,On Time,473,4,9-Jul-25,2,4,Client B
ORD1112,Nagpur,North,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,11-Sep-25,15-Sep-25,On Time,1272,4,13-Aug-25,2,4,Client H
ORD1121,Kolkata,South,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,25-Sep-25,29-Sep-25,On Time,605,4,29-Aug-25,2,4,Client E
ORD1128,Bangalore,East,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,10-Sep-25,14-Sep-25,On Time,807,4,15-Aug-25,2,4,Client J
ORD1129,Bangalore,South,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,3-Sep-25,7-Sep-25,On Time,1372,4,7-Aug-25,2,4,Client D
ORD1180,Vishakhapatnam,South,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,16-Jul-25,20-Jul-25,On Time,708,4,17-Jun-25,2,4,Client A
ORD1188,Ranchi,South,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,23-Aug-25,27-Aug-25,On Time,397,4,22-Jul-25,2,4,Client G
ORD1199,Ranchi,East,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,20-Aug-25,24-Aug-25,On Time,1185,4,19-Jul-25,2,4,Client A
ORD1200,Delhi,North,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,11-Sep-25,15-Sep-25,On Time,1485,4,10-Aug-25,2,4,Client E
ORD1235,Mumbai,North,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,31-Aug-25,4-Sep-25,On Time,929,4,2-Aug-25,2,4,Client H
ORD1237,Bangalore,East,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,29-Jun-25,3-Jul-25,On Time,1084,4,1-Jun-25,2,4,Client C
ORD1282,Ahmedabad,North,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,8-Sep-25,12-Sep-25,On Time,629,4,13-Aug-25,2,4,Client F
ORD1287,Bhopal,East,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,15-Jul-25,19-Jul-25,On Time,1238,4,19-Jun-25,2,4,Client H
ORD1303,Ranchi,West,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,19-Jul-25,23-Jul-25,On Time,1203,4,20-Jun-25,2,4,Client F
ORD1320,Guwahati,North,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,28-Jun-25,2-Jul-25,On Time,996,4,9-Jun-25,2,4,Client B
ORD1335,Bangalore,West,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,20-Sep-25,24-Sep-25,On Time,1118,4,24-Aug-25,2,4,Client G
ORD1448,Guwahati,South,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,28-Jul-25,1-Aug-25,On Time,1415,4,26-Jun-25,2,4,Client H
ORD1465,Ahmedabad,West,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,7-Jul-25,11-Jul-25,On Time,1144,4,14-Jun-25,2,4,Client G
ORD1472,Guwahati,East,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,13-Aug-25,17-Aug-25,On Time,682,4,13-Jul-25,2,4,Client G
ORD1504,Vishakhapatnam,South,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,6-Jul-25,10-Jul-25,On Time,725,4,10-Jun-25,2,4,Client C
ORD1515,Ahmedabad,North,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,4-Sep-25,8-Sep-25,On Time,976,4,7-Aug-25,2,4,Client I
ORD1538,Chennai,East,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,9-Aug-25,13-Aug-25,On Time,952,4,16-Jul-25,2,4,Client E
ORD1539,Vishakhapatnam,East,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,25-Sep-25,29-Sep-25,On Time,563,4,27-Aug-25,2,4,Client H
ORD1540,Delhi,West,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,8-Jul-25,12-Jul-25,On Time,698,4,11-Jun-25,2,4,Client I
ORD1554,Nagpur,North,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,29-Sep-25,3-Oct-25,On Time,560,4,29-Aug-25,2,4,Client C
ORD1564,Surat,South,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,6-Jul-25,10-Jul-25,On Time,1079,4,9-Jun-25,2,4,Client G
ORD1568,Ahmedabad,South,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,14-Aug-25,18-Aug-25,On Time,574,4,20-Jul-25,2,4,Client I
ORD1577,Ranchi,East,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,10-Sep-25,14-Sep-25,On Time,1109,4,12-Aug-25,2,4,Client J
ORD1581,Kolkata,North,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,24-Aug-25,28-Aug-25,On Time,1431,4,26-Jul-25,2,4,Client F
ORD1612,Ranchi,North,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,16-Sep-25,20-Sep-25,On Time,1090,4,16-Aug-25,2,4,Client I
ORD1614,Mumbai,West,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,6-Aug-25,10-Aug-25,On Time,1456,4,10-Jul-25,2,4,Client I
ORD1617,Delhi,East,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,28-Aug-25,1-Sep-25,On Time,1019,4,28-Jul-25,2,4,Client A
ORD1628,Vishakhapatnam,East,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,20-Sep-25,24-Sep-25,On Time,1065,4,19-Aug-25,2,4,Client A
ORD1630,Bangalore,East,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,27-Sep-25,1-Oct-25,On Time,348,4,31-Aug-25,2,4,Client J
ORD1633,Nagpur,North,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,16-Aug-25,20-Aug-25,On Time,785,4,18-Jul-25,2,4,Client G
ORD1634,Bhopal,West,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,1-Aug-25,5-Aug-25,On Time,1373,4,11-Jul-25,2,4,Client H
ORD1643,Bhopal,West,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,29-Aug-25,2-Sep-25,On Time,1230,4,30-Jul-25,2,4,Client H
ORD1649,Bhopal,North,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,20-Jul-25,24-Jul-25,On Time,613,4,23-Jun-25,2,4,Client I
ORD1658,Mumbai,West,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,3-Jul-25,7-Jul-25,On Time,647,4,2-Jun-25,2,4,Client G
ORD1682,Ranchi,East,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,16-Jul-25,20-Jul-25,On Time,1256,4,22-Jun-25,2,4,Client D
ORD1714,Jaipur,West,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,12-Sep-25,16-Sep-25,On Time,595,4,14-Aug-25,2,4,Client E
ORD1722,Delhi,North,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,11-Jul-25,15-Jul-25,On Time,933,4,13-Jun-25,2,4,Client B
ORD1741,Jaipur,South,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,15-Aug-25,19-Aug-25,On Time,1364,4,17-Jul-25,2,4,Client E
ORD1754,Chennai,South,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,2-Aug-25,6-Aug-25,On Time,681,4,4-Jul-25,2,4,Client H
ORD1776,Mumbai,East,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,5-Sep-25,9-Sep-25,On Time,690,4,10-Aug-25,2,4,Client A
ORD1797,Guwahati,South,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,19-Sep-25,23-Sep-25,On Time,719,4,25-Aug-25,2,4,Client G
ORD1813,Guwahati,East,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,11-Aug-25,15-Aug-25,On Time,1128,4,15-Jul-25,2,4,Client D
ORD1829,Guwahati,North,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,18-Aug-25,22-Aug-25,On Time,852,4,24-Jul-25,2,4,Client G
ORD1838,Jaipur,West,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,31-Jul-25,4-Aug-25,On Time,959,4,3-Jul-25,2,4,Client H
ORD1901,Mumbai,West,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,17-Jul-25,21-Jul-25,On Time,1179,4,18-Jun-25,2,4,Client E
ORD1922,Bhopal,North,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,21-Jul-25,25-Jul-25,On Time,417,4,24-Jun-25,2,4,Client F
ORD1936,Nagpur,North,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,31-Jul-25,4-Aug-25,On Time,898,4,4-Jul-25,2,4,Client H
ORD1990,Chandigarh,West,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,29-Jun-25,3-Jul-25,On Time,716,4,1-Jun-25,2,4,Client G
ORD1993,Kolkata,North,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,10-Jul-25,14-Jul-25,On Time,866,4,8-Jun-25,2,4,Client C
ORD2008,Jaipur,South,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,26-Jul-25,30-Jul-25,On Time,1286,4,28-Jun-25,2,4,Client A
ORD2017,Chandigarh,North,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,16-Jul-25,20-Jul-25,On Time,874,4,20-Jun-25,2,4,Client C
ORD2043,Bangalore,East,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,2-Aug-25,6-Aug-25,On Time,671,4,8-Jul-25,2,4,Client B
ORD2048,Bhopal,East,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,12-Sep-25,16-Sep-25,On Time,398,4,19-Aug-25,2,4,Client A
ORD2049,Mumbai,East,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,16-Aug-25,20-Aug-25,On Time,498,4,20-Jul-25,2,4,Client A
ORD2055,Ranchi,North,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,30-Jun-25,4-Jul-25,On Time,566,4,5-Jun-25,2,4,Client I
ORD2061,Ahmedabad,South,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,29-Sep-25,3-Oct-25,On Time,600,4,29-Aug-25,2,4,Client J
ORD2065,Nagpur,West,Mirzapur,West,Procurement,UCI Procurement,Send PO to Supplier,4,21-Sep-25,25-Sep-25,On Time,1186,4,21-Aug-25,2,4,Client F
ORD2070,Nagpur,South,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,9-Sep-25,13-Sep-25,On Time,806,4,15-Aug-25,2,4,Client J
ORD2072,Chandigarh,East,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,8-Sep-25,12-Sep-25,On Time,446,4,11-Aug-25,2,4,Client E
ORD2079,Guwahati,East,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,30-Jul-25,3-Aug-25,On Time,663,4,1-Jul-25,2,4,Client E
ORD2143,Surat,East,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,2-Sep-25,6-Sep-25,On Time,824,4,5-Aug-25,2,4,Client C
ORD2160,Ranchi,South,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,8-Aug-25,12-Aug-25,On Time,849,4,13-Jul-25,2,4,Client I
ORD2198,Bhopal,West,Assam,West,Procurement,UCI Procurement,Send PO to Supplier,4,4-Aug-25,8-Aug-25,On Time,580,4,9-Jul-25,2,4,Client C
ORD2237,Chennai,South,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,15-Aug-25,19-Aug-25,On Time,577,4,20-Jul-25,2,4,Client A
ORD2259,Surat,West,Indore,West,Procurement,UCI Procurement,Send PO to Supplier,4,1-Aug-25,5-Aug-25,On Time,666,4,5-Jul-25,2,4,Client G
ORD2264,Delhi,West,Valsad,West,Procurement,UCI Procurement,Send PO to Supplier,4,10-Jul-25,14-Jul-25,On Time,831,4,10-Jun-25,2,4,Client D
ORD2266,Chandigarh,West,Bhiwandi,West,Procurement,UCI Procurement,Send PO to Supplier,4,14-Sep-25,18-Sep-25,On Time,930,4,17-Aug-25,2,4,Client A
ORD2267,Nagpur,North,Pune,West,Procurement,UCI Procurement,Send PO to Supplier,4,14-Sep-25,18-Sep-25,On Time,1306,4,16-Aug-25,2,4,Client G
