Month,Region,SKU,Quantity,Percentage Revenue Change,Projected Demand,Percent Demand Change (%)
01-07-2025,South,C,206,2,187,-9.40%
01-08-2025,South,C,89,2,81,-8.50%
01-09-2025,South,C,244,2,224,-8.00%
01-10-2025,South,C,130,2,121,-6.80%
01-11-2025,South,C,244,2,229,-6.20%
01-12-2025,South,C,168,2,153,-8.80%
01-01-2026,South,C,215,2,208,-3.50%
01-02-2026,South,C,231,2,219,-5.30%
01-03-2026,South,C,194,2,180,-7.30%
01-04-2025,South,C,187,2,166,-11.30%
01-05-2025,South,C,123,2,116,-6.00%
01-06-2025,South,C,100,2,96,-3.80%
01-07-2025,South,C,94,2,89,-5.20%
01-08-2025,South,C,154,2,141,-8.10%
01-09-2025,South,C,234,2,213,-8.90%
01-10-2025,South,C,225,2,216,-3.80%
01-11-2025,South,C,104,2,95,-8.70%
01-12-2025,South,C,121,2,108,-10.80%
01-01-2026,South,C,196,2,181,-7.60%
01-02-2026,South,C,134,2,122,-8.70%
01-03-2026,South,C,212,2,191,-9.90%
01-04-2025,North,C,218,2,195,-10.60%
01-05-2025,North,C,235,2,213,-9.30%
01-06-2025,North,C,95,2,87,-8.60%
01-07-2025,North,C,185,2,164,-11.20%
01-08-2025,North,C,179,2,159,-11.30%
01-09-2025,North,C,120,2,112,-6.90%
01-10-2025,North,C,234,2,206,-11.80%
01-11-2025,North,C,189,2,174,-8.10%
01-12-2025,North,C,139,2,126,-9.10%
01-01-2026,North,C,180,2,173,-4.10%
01-02-2026,North,C,151,2,134,-11.40%
01-03-2026,North,C,149,2,142,-4.90%
01-04-2025,North,C,92,2,88,-4.40%
01-05-2025,North,C,234,2,206,-11.90%
01-06-2025,North,C,170,2,162,-4.90%
01-07-2025,North,C,213,2,205,-3.90%
01-08-2025,North,C,101,2,94,-6.60%
01-09-2025,North,C,195,2,186,-4.50%
01-10-2025,North,C,216,2,207,-4.20%
01-11-2025,North,C,238,2,212,-10.80%
01-12-2025,North,C,210,2,188,-10.40%
01-01-2026,North,C,137,2,127,-7.70%
01-02-2026,North,C,219,2,198,-9.40%
01-03-2026,North,C,183,2,176,-3.70%
01-04-2025,North,A,94,2,85,-9.20%
01-05-2025,North,A,144,2,137,-4.60%
01-06-2025,North,A,108,2,98,-9.10%
01-07-2025,North,A,162,2,157,-3.20%
01-08-2025,North,A,142,2,136,-4.40%
01-09-2025,North,A,150,2,138,-8.00%
01-10-2025,North,A,110,2,104,-5.50%
01-11-2025,North,A,119,2,114,-3.90%
01-12-2025,North,A,117,2,115,-2.10%
01-01-2026,North,A,121,2,117,-3.20%
01-02-2026,North,A,109,2,101,-7.20%
01-03-2026,North,A,119,2,106,-11.10%
01-04-2025,South,A,157,2,142,-9.40%
01-05-2025,South,A,142,2,134,-5.70%
01-06-2025,South,A,94,2,88,-6.50%
01-07-2025,South,A,164,2,151,-7.90%
01-08-2025,South,A,152,2,138,-8.90%
01-09-2025,South,A,75,2,73,-2.30%
01-10-2025,South,A,62,2,55,-10.50%
01-11-2025,South,A,116,2,113,-2.50%
01-12-2025,South,A,95,2,84,-11.20%
01-01-2026,South,A,168,2,163,-2.80%
01-02-2026,South,A,90,2,85,-5.60%
01-03-2026,South,A,153,2,150,-2.20%
01-04-2025,West,A,234,2,225,-3.80%
01-05-2025,West,A,148,2,131,-11.20%
01-06-2025,West,A,213,2,208,-2.20%
01-07-2025,West,A,252,2,225,-10.60%
01-08-2025,West,A,154,2,148,-4.10%
01-09-2025,West,A,131,2,122,-7.00%
01-10-2025,West,A,215,2,205,-4.80%
01-11-2025,West,A,206,2,198,-4.00%
01-12-2025,West,A,211,2,197,-6.80%
01-01-2026,West,A,162,2,153,-5.30%
01-02-2026,West,A,184,2,173,-5.80%
01-03-2026,West,A,133,2,124,-7.10%
01-04-2021,North,A,167,2,159,-4.70%
01-05-2021,North,A,238,2,211,-11.50%
01-06-2021,North,A,200,2,193,-3.30%
01-07-2021,North,A,245,2,226,-7.70%
01-08-2021,North,A,253,2,248,-2.00%
01-09-2021,North,A,240,2,233,-2.80%
01-10-2021,North,A,182,2,164,-9.60%
01-11-2021,North,A,191,2,177,-7.30%
01-12-2021,North,A,204,2,193,-5.30%
01-01-2022,North,A,204,2,193,-5.50%
01-02-2022,North,A,185,2,181,-2.10%
01-03-2022,North,A,196,2,181,-7.90%
01-04-2022,North,A,297,2,278,-6.40%
01-05-2022,North,A,417,2,375,-10.00%
01-06-2022,North,A,362,2,331,-8.50%
01-07-2022,North,A,436,2,404,-7.30%
01-08-2022,North,A,415,2,394,-5.10%
01-09-2022,North,A,412,2,364,-11.60%
01-10-2022,North,A,302,2,270,-10.60%
01-11-2022,North,A,300,2,292,-2.70%
01-12-2022,North,A,376,2,340,-9.60%
01-01-2023,North,A,302,2,296,-2.10%
01-02-2023,North,A,265,2,258,-2.80%
01-03-2023,North,A,339,2,315,-7.10%
01-04-2023,North,A,65,2,61,-6.80%
01-05-2023,North,A,104,2,98,-5.70%
01-06-2023,North,A,94,2,87,-7.40%
01-07-2023,North,A,94,2,91,-3.30%
01-08-2023,North,A,92,2,82,-11.10%
01-09-2023,North,A,170,2,159,-6.50%
01-10-2023,North,A,93,2,89,-4.70%
01-11-2023,North,A,143,2,139,-3.00%
01-12-2023,North,A,174,2,155,-11.10%
01-01-2024,North,A,128,2,118,-8.00%
01-02-2024,North,A,84,2,79,-5.40%
01-03-2024,North,A,126,2,122,-3.40%
01-04-2024,North,A,158,2,154,-2.30%
01-05-2024,North,A,77,2,68,-11.90%
01-06-2024,North,A,87,2,79,-9.30%
01-07-2024,North,A,126,2,123,-2.40%
01-08-2024,North,A,121,2,117,-3.20%
01-09-2024,North,A,109,2,100,-8.50%
01-10-2024,North,A,70,2,67,-4.20%
01-11-2024,North,A,124,2,120,-3.10%
01-12-2024,North,A,169,2,151,-10.70%
01-01-2025,North,A,151,2,144,-4.70%
01-02-2025,North,A,84,2,81,-3.60%
01-03-2025,North,A,99,2,91,-8.10%
01-04-2021,South,A,158,2,154,-2.30%
01-05-2021,South,A,212,2,203,-4.30%
01-06-2021,South,A,230,2,221,-3.90%
01-07-2021,South,A,155,2,144,-7.30%
01-08-2021,South,A,219,2,200,-8.90%
01-09-2021,South,A,169,2,165,-2.60%
01-10-2021,South,A,180,2,173,-3.70%
01-11-2021,South,A,234,2,209,-10.50%
01-12-2021,South,A,172,2,159,-7.60%
01-01-2022,South,A,176,2,163,-7.50%
01-02-2022,South,A,189,2,181,-4.20%
01-03-2022,South,A,239,2,223,-6.90%
01-04-2022,South,A,218,2,197,-9.70%
01-05-2022,South,A,226,2,202,-10.40%
01-06-2022,South,A,134,2,128,-4.30%
01-07-2022,South,A,183,2,177,-3.50%
01-08-2022,South,A,239,2,211,-11.80%
01-09-2022,South,A,200,2,185,-7.60%
01-10-2022,South,A,217,2,193,-11.10%
01-11-2022,South,A,244,2,224,-8.20%
01-12-2022,South,A,200,2,184,-7.80%
01-01-2023,South,A,149,2,134,-9.90%
01-02-2023,South,A,216,2,209,-3.30%
01-03-2023,South,A,137,2,134,-2.10%
01-04-2023,South,A,213,2,197,-7.70%
01-05-2023,South,A,165,2,149,-9.80%
01-06-2023,South,A,99,2,90,-9.30%
01-07-2023,South,A,163,2,151,-7.60%
01-08-2023,South,A,89,2,84,-5.90%
01-09-2023,South,A,184,2,169,-8.20%
01-10-2023,South,A,134,2,131,-2.00%
01-11-2023,South,A,187,2,181,-3.20%
01-12-2023,South,A,216,2,203,-5.90%
01-01-2024,South,A,167,2,163,-2.20%
01-02-2024,South,A,253,2,245,-3.10%
01-03-2024,South,A,120,2,107,-11.10%
01-04-2024,South,A,159,2,151,-4.80%
01-05-2024,South,A,209,2,189,-9.30%
01-06-2024,South,A,108,2,105,-2.70%
01-07-2024,South,A,212,2,207,-2.40%
01-08-2024,South,A,200,2,188,-6.10%
01-09-2024,South,A,93,2,85,-9.00%
01-10-2024,South,A,207,2,192,-7.20%
01-11-2024,South,A,258,2,250,-3.00%
01-12-2024,South,A,143,2,137,-4.40%
01-01-2025,South,A,145,2,135,-6.60%
01-02-2025,South,A,128,2,117,-8.70%
01-03-2025,South,A,97,2,92,-5.70%
01-04-2021,West,A,141,2,135,-4.30%
01-05-2021,West,A,195,2,183,-6.30%
01-06-2021,West,A,175,2,170,-2.60%
01-07-2021,West,A,206,2,196,-4.60%
01-08-2021,West,A,89,2,80,-10.20%
01-09-2021,West,A,244,2,223,-8.50%
01-10-2021,West,A,130,2,120,-7.60%
01-11-2021,West,A,244,2,224,-8.40%
01-12-2021,West,A,168,2,155,-7.50%
01-01-2022,West,A,215,2,199,-7.30%
01-02-2022,West,A,231,2,215,-6.80%
01-03-2022,West,A,194,2,175,-10.10%
01-04-2022,West,A,187,2,166,-11.30%
01-05-2022,West,A,123,2,116,-5.50%
01-06-2022,West,A,100,2,95,-4.60%
01-07-2022,West,A,94,2,89,-4.80%
01-08-2022,West,A,154,2,148,-4.00%
01-09-2022,West,A,234,2,207,-11.50%
01-10-2022,West,A,225,2,219,-2.70%
01-11-2022,West,A,104,2,94,-10.00%
01-12-2022,West,A,121,2,110,-9.10%
01-01-2023,West,A,196,2,177,-9.70%
01-02-2023,West,A,134,2,131,-2.50%
01-03-2023,West,A,212,2,207,-2.20%
01-04-2023,West,A,218,2,209,-4.00%
01-05-2023,West,A,235,2,208,-11.70%
01-06-2023,West,A,95,2,93,-2.60%
01-07-2023,West,A,185,2,166,-10.10%
01-08-2023,West,A,179,2,166,-7.30%
01-09-2023,West,A,120,2,107,-11.10%
01-10-2023,West,A,234,2,216,-7.60%
01-11-2023,West,A,189,2,179,-5.40%
01-12-2023,West,A,139,2,135,-2.50%
01-01-2024,West,A,180,2,159,-11.80%
01-02-2024,West,A,151,2,134,-11.10%
01-03-2024,West,A,149,2,135,-9.20%
01-04-2024,West,A,92,2,86,-6.70%
01-05-2024,West,A,234,2,210,-10.40%
01-06-2024,West,A,170,2,166,-2.40%
01-07-2024,West,A,213,2,200,-6.00%
01-08-2024,West,A,101,2,98,-3.20%
01-09-2024,West,A,195,2,175,-10.40%
01-10-2024,West,A,216,2,191,-11.50%
01-11-2024,West,A,238,2,220,-7.60%
01-12-2024,West,A,210,2,196,-6.50%
01-01-2025,West,A,137,2,129,-6.10%
01-02-2025,West,A,219,2,211,-3.50%
01-03-2025,West,A,183,2,175,-4.50%
01-04-2021,North,C,94,2,86,-9.00%
01-05-2021,North,C,144,2,139,-3.20%
01-06-2021,North,C,108,2,106,-2.30%
01-07-2021,North,C,162,2,149,-8.00%
01-08-2021,North,C,142,2,139,-2.00%
01-09-2021,North,C,150,2,135,-10.30%
01-10-2021,North,C,110,2,106,-3.80%
01-11-2021,North,C,119,2,110,-7.30%
01-12-2021,North,C,117,2,107,-8.30%
01-01-2022,North,C,121,2,107,-11.70%
01-02-2022,North,C,109,2,101,-7.70%
01-03-2022,North,C,119,2,114,-4.60%
01-04-2022,North,C,157,2,141,-10.40%
01-05-2022,North,C,142,2,134,-5.40%
01-06-2022,North,C,94,2,83,-11.50%
01-07-2022,North,C,164,2,155,-5.30%
01-08-2022,North,C,152,2,146,-4.10%
01-09-2022,North,C,75,2,68,-9.80%
01-10-2022,North,C,62,2,59,-5.40%
01-11-2022,North,C,116,2,113,-2.30%
01-12-2022,North,C,95,2,85,-10.20%
01-01-2023,North,C,168,2,154,-8.40%
01-02-2023,North,C,90,2,88,-2.40%
01-03-2023,North,C,153,2,136,-11.40%
01-04-2023,North,C,234,2,228,-2.40%
01-05-2023,North,C,148,2,133,-10.20%
01-06-2023,North,C,213,2,198,-7.00%
01-07-2023,North,C,252,2,237,-6.00%
01-08-2023,North,C,154,2,149,-3.30%
01-09-2023,North,C,131,2,121,-7.70%
01-10-2023,North,C,215,2,190,-11.80%
01-11-2023,North,C,206,2,197,-4.30%
01-12-2023,North,C,211,2,203,-3.70%
01-01-2024,North,C,162,2,148,-8.70%
01-02-2024,North,C,184,2,175,-5.10%
01-03-2024,North,C,133,2,128,-4.10%
01-04-2024,North,C,167,2,156,-6.50%
01-05-2024,North,C,238,2,216,-9.10%
01-06-2024,North,C,200,2,179,-10.60%
01-07-2024,North,C,245,2,237,-3.40%
01-08-2024,North,C,253,2,233,-8.00%
01-09-2024,North,C,240,2,235,-2.20%
01-10-2024,North,C,182,2,166,-9.10%
01-11-2024,North,C,191,2,177,-7.50%
01-12-2024,North,C,204,2,192,-5.80%
01-01-2025,North,C,204,2,185,-9.20%
01-02-2025,North,C,185,2,175,-5.70%
01-03-2025,North,C,196,2,178,-9.10%
01-04-2021,North,C,297,2,269,-9.50%
01-05-2021,North,C,417,2,390,-6.60%
01-06-2021,North,C,362,2,348,-3.90%
01-07-2021,North,C,436,2,390,-10.50%
01-08-2021,North,C,415,2,394,-5.10%
01-09-2021,North,C,412,2,385,-6.50%
01-10-2021,North,C,302,2,294,-2.70%
01-11-2021,North,C,300,2,284,-5.40%
01-12-2021,North,C,376,2,344,-8.60%
01-01-2022,North,C,302,2,279,-7.70%
01-02-2022,North,C,265,2,256,-3.30%
01-03-2022,North,C,339,2,323,-4.80%
01-04-2022,North,C,65,2,63,-2.50%
01-05-2022,North,C,104,2,95,-8.40%
01-06-2022,North,C,94,2,89,-5.80%
01-07-2022,North,C,94,2,86,-8.20%
01-08-2022,North,C,92,2,88,-3.80%
01-09-2022,North,C,170,2,166,-2.20%
01-10-2022,North,C,93,2,88,-5.10%
01-11-2022,North,C,143,2,133,-6.80%
01-12-2022,North,C,174,2,167,-4.10%
01-01-2023,North,C,128,2,121,-5.20%
01-02-2023,North,C,84,2,77,-8.80%
01-03-2023,North,C,126,2,121,-4.10%
01-04-2023,North,C,158,2,149,-6.00%
01-05-2023,North,C,77,2,75,-2.80%
01-06-2023,North,C,87,2,77,-11.40%
01-07-2023,North,C,126,2,115,-8.80%
01-08-2023,North,C,121,2,113,-6.90%
01-09-2023,North,C,109,2,97,-10.90%
01-10-2023,North,C,70,2,66,-6.20%
01-11-2023,North,C,124,2,121,-2.80%
01-12-2023,North,C,169,2,164,-3.20%
01-01-2024,North,C,151,2,133,-11.70%
01-02-2024,North,C,84,2,81,-4.00%
01-03-2024,North,C,99,2,91,-8.40%
01-04-2024,North,C,158,2,145,-8.40%
01-05-2024,North,C,212,2,200,-5.60%
01-06-2024,North,C,230,2,207,-9.90%
01-07-2024,North,C,155,2,148,-4.40%
01-08-2024,North,C,219,2,203,-7.40%
01-09-2024,North,C,169,2,158,-6.40%
01-10-2024,North,C,180,2,174,-3.20%
01-11-2024,North,C,234,2,217,-7.40%
01-12-2024,North,C,172,2,162,-5.90%
01-01-2025,North,C,176,2,158,-10.30%
01-02-2025,North,C,189,2,183,-3.00%
01-03-2025,North,C,239,2,232,-2.90%
01-04-2021,South,C,218,2,198,-9.10%
01-05-2021,South,C,226,2,212,-6.20%
01-06-2021,South,C,134,2,128,-4.10%
01-07-2021,South,C,183,2,179,-2.10%
01-08-2021,South,C,239,2,215,-9.90%
01-09-2021,South,C,200,2,184,-8.10%
01-10-2021,South,C,217,2,209,-3.70%
01-11-2021,South,C,244,2,215,-11.90%
01-12-2021,South,C,200,2,194,-3.10%
01-01-2022,South,C,149,2,143,-4.10%
01-02-2022,South,C,216,2,196,-9.20%
01-03-2022,South,C,137,2,122,-10.60%
01-04-2022,South,C,213,2,189,-11.10%
01-05-2022,South,C,165,2,156,-5.70%
01-06-2022,South,C,99,2,93,-5.90%
01-07-2022,South,C,163,2,153,-6.40%
01-08-2022,South,C,89,2,84,-5.50%
01-09-2022,South,C,184,2,176,-4.60%
01-10-2022,South,C,134,2,128,-4.10%
01-11-2022,South,C,187,2,166,-11.10%
01-12-2022,South,C,216,2,203,-6.20%
01-01-2023,South,C,167,2,152,-9.20%
01-02-2023,South,C,253,2,227,-10.20%
01-03-2023,South,C,120,2,107,-11.00%
01-04-2023,South,C,159,2,149,-6.60%
01-05-2023,South,C,209,2,193,-7.70%
01-06-2023,South,C,108,2,101,-6.70%
01-07-2023,South,C,212,2,201,-5.30%
01-08-2023,South,C,200,2,186,-7.10%
01-09-2023,South,C,93,2,87,-5.90%
01-10-2023,South,C,207,2,189,-8.50%
01-11-2023,South,C,258,2,237,-8.10%
01-12-2023,South,C,143,2,134,-6.10%
01-01-2024,South,C,145,2,130,-10.10%
01-02-2024,South,C,128,2,119,-6.70%
01-03-2024,South,C,97,2,93,-3.70%
01-04-2024,South,C,141,2,131,-7.10%
01-05-2024,South,C,195,2,185,-5.40%
01-06-2024,South,C,175,2,156,-10.90%
01-07-2024,South,C,206,2,189,-8.50%
01-08-2024,South,C,89,2,85,-4.20%
01-09-2024,South,C,244,2,220,-9.70%
01-10-2024,South,C,130,2,126,-3.40%
01-11-2024,South,C,244,2,232,-4.80%
01-12-2024,South,C,168,2,155,-8.00%
01-01-2025,South,C,215,2,202,-5.80%
01-02-2025,South,C,231,2,204,-11.70%
01-03-2025,South,C,194,2,177,-8.90%
01-04-2021,South,C,187,2,181,-3.20%
01-05-2021,South,C,123,2,114,-7.50%
01-06-2021,South,C,100,2,91,-8.90%
01-07-2021,South,C,94,2,84,-10.30%
01-08-2021,South,C,154,2,147,-4.30%
01-09-2021,South,C,234,2,213,-8.90%
01-10-2021,South,C,225,2,212,-6.00%
01-11-2021,South,C,104,2,92,-11.40%
01-12-2021,South,C,121,2,107,-11.30%
01-01-2022,South,C,196,2,189,-3.60%
01-02-2022,South,C,134,2,124,-7.50%
01-03-2022,South,C,212,2,204,-3.70%
01-04-2022,South,C,218,2,200,-8.30%
01-05-2022,South,C,235,2,230,-2.20%
01-06-2022,South,C,95,2,92,-3.40%
01-07-2022,South,C,185,2,168,-9.20%
01-08-2022,South,C,179,2,164,-8.20%
01-09-2022,South,C,120,2,114,-4.70%
01-10-2022,South,C,234,2,218,-7.00%
01-11-2022,South,C,189,2,175,-7.40%
01-12-2022,South,C,139,2,128,-7.80%
01-01-2023,South,C,180,2,163,-9.30%
01-02-2023,South,C,151,2,144,-4.90%
01-03-2023,South,C,149,2,134,-10.10%
01-04-2023,South,C,92,2,82,-10.80%
01-05-2023,South,C,234,2,218,-6.80%
01-06-2023,South,C,170,2,163,-3.90%
01-07-2023,South,C,213,2,207,-2.70%
01-08-2023,South,C,101,2,99,-2.30%
01-09-2023,South,C,195,2,176,-9.70%
01-10-2023,South,C,216,2,211,-2.40%
01-11-2023,South,C,238,2,213,-10.70%
01-12-2023,South,C,210,2,196,-6.80%
01-01-2024,South,C,137,2,123,-10.00%
01-02-2024,South,C,219,2,206,-6.00%
01-03-2024,South,C,183,2,163,-11.00%
01-04-2024,South,C,94,2,88,-6.50%
01-05-2024,South,C,144,2,131,-9.10%
01-06-2024,South,C,108,2,100,-7.50%
01-07-2024,South,C,162,2,159,-2.10%
01-08-2024,South,C,142,2,133,-6.60%
01-09-2024,South,C,150,2,143,-4.80%
01-10-2024,South,C,110,2,103,-6.30%
01-11-2024,South,C,119,2,110,-8.00%
01-12-2024,South,C,117,2,112,-4.10%
01-01-2025,South,C,121,2,107,-11.90%
01-02-2025,South,C,109,2,105,-3.70%
01-03-2025,South,C,119,2,107,-10.50%
01-04-2021,West,C,157,2,152,-3.20%
01-05-2021,West,C,142,2,135,-4.80%
01-06-2021,West,C,94,2,85,-10.10%
01-07-2021,West,C,164,2,160,-2.40%
01-08-2021,West,C,152,2,145,-4.30%
01-09-2021,West,C,75,2,69,-7.60%
01-10-2021,West,C,62,2,57,-8.00%
01-11-2021,West,C,116,2,107,-7.40%
01-12-2021,West,C,95,2,88,-7.30%
01-01-2022,West,C,168,2,156,-7.00%
01-02-2022,West,C,90,2,84,-6.70%
01-03-2022,West,C,153,2,137,-10.70%
01-04-2022,West,C,234,2,215,-8.10%
01-05-2022,West,C,148,2,140,-5.60%
01-06-2022,West,C,213,2,200,-6.20%
01-07-2022,West,C,252,2,223,-11.50%
01-08-2022,West,C,154,2,139,-9.70%
01-09-2022,West,C,131,2,124,-5.40%
01-10-2022,West,C,215,2,196,-8.80%
01-11-2022,West,C,206,2,188,-8.70%
01-12-2022,West,C,211,2,204,-3.20%
01-01-2023,West,C,162,2,143,-12.00%
01-02-2023,West,C,184,2,162,-11.70%
01-03-2023,West,C,133,2,126,-5.50%
01-04-2023,West,C,167,2,149,-10.80%
01-05-2023,West,C,238,2,213,-10.60%
01-06-2023,West,C,200,2,180,-10.00%
01-07-2023,West,C,245,2,226,-7.90%
01-08-2023,West,C,253,2,241,-4.60%
01-09-2023,West,C,240,2,224,-6.50%
01-10-2023,West,C,182,2,172,-5.20%
01-11-2023,West,C,191,2,172,-10.00%
01-12-2023,West,C,204,2,199,-2.40%
01-01-2024,West,C,204,2,197,-3.50%
01-02-2024,West,C,185,2,170,-7.90%
01-03-2024,West,C,196,2,188,-4.00%
01-04-2024,West,C,297,2,284,-4.40%
01-05-2024,West,C,417,2,403,-3.40%
01-06-2024,West,C,362,2,320,-11.60%
01-07-2024,West,C,436,2,394,-9.70%
01-08-2024,West,C,415,2,383,-7.70%
01-09-2024,West,C,412,2,367,-10.90%
01-10-2024,West,C,302,2,272,-9.80%
01-11-2024,West,C,300,2,293,-2.20%
01-12-2024,West,C,376,2,366,-2.70%
01-01-2025,West,C,302,2,294,-2.60%
01-02-2025,West,C,265,2,251,-5.20%
01-03-2025,West,C,339,2,315,-7.10%
01-04-2021,West,C,65,2,58,-10.40%
01-05-2021,West,C,104,2,93,-10.40%
01-06-2021,West,C,94,2,83,-11.30%
01-07-2021,West,C,94,2,84,-10.80%
01-08-2021,West,C,92,2,88,-4.70%
01-09-2021,West,C,170,2,166,-2.50%
01-10-2021,West,C,93,2,87,-6.80%
01-11-2021,West,C,143,2,132,-7.50%
01-12-2021,West,C,174,2,160,-8.20%
01-01-2022,West,C,128,2,118,-7.70%
01-02-2022,West,C,84,2,80,-5.00%
01-03-2022,West,C,126,2,123,-2.40%
01-04-2022,West,C,158,2,143,-9.40%
01-05-2022,West,C,77,2,68,-11.40%
01-06-2022,West,C,87,2,80,-7.80%
01-07-2022,West,C,126,2,123,-2.20%
01-08-2022,West,C,121,2,114,-5.70%
01-09-2022,West,C,109,2,102,-6.70%
01-10-2022,West,C,70,2,64,-8.20%
01-11-2022,West,C,124,2,114,-8.10%
01-12-2022,West,C,169,2,153,-9.50%
01-01-2023,West,C,151,2,139,-7.90%
01-02-2023,West,C,84,2,78,-7.40%
01-03-2023,West,C,99,2,92,-6.60%
01-04-2023,West,C,158,2,141,-10.60%
01-05-2023,West,C,212,2,200,-5.80%
01-06-2023,West,C,230,2,221,-4.00%
01-07-2023,West,C,155,2,145,-6.70%
01-08-2023,West,C,219,2,197,-10.30%
01-09-2023,West,C,169,2,149,-12.00%
01-10-2023,West,C,180,2,175,-2.90%
01-11-2023,West,C,234,2,219,-6.60%
01-12-2023,West,C,172,2,157,-8.90%
01-01-2024,West,C,176,2,159,-9.90%
01-02-2024,West,C,189,2,179,-5.10%
01-03-2024,West,C,239,2,211,-11.60%
01-04-2024,West,C,218,2,209,-4.20%
01-05-2024,West,C,226,2,201,-10.90%
01-06-2024,West,C,134,2,124,-7.20%
01-07-2024,West,C,183,2,169,-7.60%
