Date,UG1_Level,UG1_Volume_L,UG1_Inflow_L,UG2_Level,UG2_Volume_L,UG2_TDS,UG2_pH,UG3_Level,UG3_Volume_L,UG3_TDS,UG3_Outflow_L,Total_Water_Received_L,Water_Consumed_L
07-03-2025,68,6800,1400,66,6270,1160,9.7,61,5490,1050,480,1880,1598
08-03-2025,66,6600,1450,63,5985,1180,9.6,58,5220,1075,440,1890,1606.5
09-03-2025,64,6400,1400,60,5700,1160,9.5,55,4950,1050,480,1880,1598
10-03-2025,62,6200,1350,57,5415,1140,9.4,52,4680,1025,520,1870,1589.5
11-03-2025,60,6000,1300,54,5130,1120,9.3,49,4410,1000,560,1860,1581
12-03-2025,58,5800,1250,51,4845,1100,9.2,46,4140,975,600,1850,1572.5
13-03-2025,56,5600,1200,48,4560,1080,9.1,43,3870,950,640,1840,1564
14-03-2025,54,5400,1150,45,4275,1060,9,40,3600,925,680,1830,1555.5
15-03-2025,52,5200,1100,42,3990,1040,8.9,37,3330,900,720,1820,1547
16-03-2025,50,5000,1050,39,3705,1020,8.8,34,3060,875,760,1810,1538.5
17-03-2025,48,4800,1000,36,3420,1000,8.7,31,2790,850,800,1800,1530
18-03-2025,46,4600,950,33,3135,980,8.6,28,2520,825,840,1790,1521.5
19-03-2025,44,4400,900,36,3420,960,8.5,31,2790,800,880,1780,1513
20-03-2025,42,4200,850,39,3705,940,8.4,34,3060,775,920,1770,1504.5
21-03-2025,44,4400,800,42,3990,920,8.3,37,3330,750,960,1760,1496
22-03-2025,46,4600,750,45,4275,900,8.2,40,3600,725,1000,1750,1487.5
23-03-2025,48,4800,700,48,4560,880,8.1,43,3870,700,1040,1740,1479
24-03-2025,50,5000,650,51,4845,860,8,46,4140,675,1080,1730,1470.5
25-03-2025,52,5200,600,54,5130,840,7.9,49,4410,650,1120,1720,1462
26-03-2025,54,5400,550,57,5415,820,7.8,52,4680,625,1160,1710,1453.5
27-03-2025,56,5600,600,60,5700,840,7.7,55,4950,650,1200,1800,1530
28-03-2025,58,5800,650,63,5985,860,7.6,58,5220,675,1240,1890,1606.5
29-03-2025,60,6000,700,66,6270,880,7.5,61,5490,700,1280,1980,1683
30-03-2025,62,6200,750,69,6555,900,7.6,64,5760,725,1240,1990,1691.5
31-03-2025,64,6400,800,72,6840,920,7.7,67,6030,750,1200,2000,1700
01-04-2025,66,6600,850,75,7125,940,7.8,70,6300,775,1160,2010,1708.5
02-04-2025,68,6800,900,78,7410,960,7.9,73,6570,800,1120,2020,1717
03-04-2025,70,7000,950,81,7695,980,8,76,6840,825,1080,2030,1725.5
04-04-2025,72,7200,1000,84,7980,1000,8.1,79,7110,850,1040,2040,1734
05-04-2025,74,7400,1050,81,7695,1020,8.2,76,6840,875,1000,2050,1742.5
06-04-2025,76,7600,1100,78,7410,1040,8.3,73,6570,900,960,2060,1751
07-04-2025,78,7800,1150,75,7125,1060,8.4,70,6300,925,920,2070,1759.5
08-04-2025,80,8000,1200,72,6840,1080,8.5,67,6030,950,880,2080,1768
09-04-2025,82,8200,1250,69,6555,1100,8.6,64,5760,975,840,2090,1776.5
10-04-2025,84,8400,1300,66,6270,1120,8.7,61,5490,1000,800,2100,1785
11-04-2025,86,8600,1350,63,5985,1140,8.8,58,5220,1025,760,2110,1793.5
12-04-2025,88,8800,1400,60,5700,1160,8.9,55,4950,1050,720,2120,1802
13-04-2025,86,8600,1450,57,5415,1180,9,52,4680,1075,680,2130,1810.5
14-04-2025,84,8400,1400,54,5130,1160,9.1,49,4410,1050,640,2040,1734
15-04-2025,82,8200,1350,51,4845,1140,9.2,46,4140,1025,600,1950,1657.5
16-04-2025,80,8000,1300,48,4560,1120,9.3,43,3870,1000,560,1860,1581
17-04-2025,78,7800,1250,45,4275,1100,9.4,40,3600,975,520,1770,1504.5
18-04-2025,76,7600,1200,42,3990,1080,9.5,37,3330,950,480,1680,1428
19-04-2025,74,7400,1150,39,3705,1060,9.6,34,3060,925,440,1590,1351.5
20-04-2025,72,7200,1100,36,3420,1040,9.7,31,2790,900,480,1580,1343
21-04-2025,70,7000,1050,33,3135,1020,9.8,28,2520,875,520,1570,1334.5
22-04-2025,68,6800,1000,36,3420,1000,9.9,31,2790,850,560,1560,1326
23-04-2025,66,6600,950,39,3705,980,10,34,3060,825,600,1550,1317.5
24-04-2025,64,6400,900,42,3990,960,9.9,37,3330,800,640,1540,1309
25-04-2025,62,6200,850,45,4275,940,9.8,40,3600,775,680,1530,1300.5
26-04-2025,60,6000,800,48,4560,920,9.7,43,3870,750,720,1520,1292
27-04-2025,58,5800,750,51,4845,900,9.6,46,4140,725,760,1510,1283.5
28-04-2025,56,5600,700,54,5130,880,9.5,49,4410,700,800,1500,1275
29-04-2025,54,5400,650,57,5415,860,9.4,52,4680,675,840,1490,1266.5
30-04-2025,52,5200,600,60,5700,840,9.3,55,4950,650,880,1480,1258
