Order ID,Order State,Region (Order),Inventory Location,Region (Inventory),Process,Responsible Person,Subprocess,Target Cycle Time,Sub Actual Start Date,Sub Actual End Date,Status Type,Quantity,Actual Cycle Time,Order Start Date,Process Sequence,Subprocess Sequence,Client Name,Assigned Responsible Person
ORD0937,Delhi,West,Assam,West,Procurement,Procurement,Submit New Request,2,18-May-25,20-May-25,On Time,1223,2,1-May-25,2,1,Client E,Procurement Person 1
ORD0939,Mumbai,East,Valsad,West,Procurement,Procurement,Submit New Request,2,10-May-25,12-May-25,On Time,720,2,1-May-25,2,1,Client B,Procurement Person 1
ORD0945,Bhopal,South,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,11-May-25,13-May-25,Delay,328,2,1-May-25,2,1,Client E,Procurement Person 1
ORD0968,Chandigarh,South,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,23-May-25,25-May-25,On Time,1316,2,1-May-25,2,1,Client F,Procurement Person 1
ORD0969,Bhopal,West,Valsad,West,Procurement,Procurement,Submit New Request,2,21-May-25,23-May-25,On Time,1134,2,1-May-25,2,1,Client D,Procurement Person 1
ORD0995,Vishakhapatnam,North,Mirzapur,West,Procurement,Procurement,Submit New Request,2,11-May-25,13-May-25,On Time,1210,2,1-May-25,2,1,Client A,Procurement Person 1
ORD1021,Nagpur,North,Indore,West,Procurement,Procurement,Submit New Request,2,22-Jun-25,24-Jun-25,On Time,803,2,1-Jun-25,2,1,Client E,Procurement Person 1
ORD1024,Ahmedabad,South,Pune,West,Procurement,Procurement,Submit New Request,2,19-Jun-25,21-Jun-25,Delay,1082,2,1-Jun-25,2,1,Client E,Procurement Person 1
ORD1053,Surat,West,Valsad,West,Procurement,Procurement,Submit New Request,2,20-Jun-25,22-Jun-25,On Time,324,2,1-Jun-25,2,1,Client C,Procurement Person 1
ORD1065,Guwahati,East,Pune,West,Procurement,Procurement,Submit New Request,2,12-Jun-25,14-Jun-25,Delay,923,2,1-Jun-25,2,1,Client J,Procurement Person 1
ORD1073,Ranchi,South,Valsad,West,Procurement,Procurement,Submit New Request,2,14-Jun-25,16-Jun-25,On Time,1204,2,1-Jun-25,2,1,Client H,Procurement Person 1
ORD1077,Kolkata,South,Indore,West,Procurement,Procurement,Submit New Request,2,17-Jun-25,19-Jun-25,On Time,1118,2,1-Jun-25,2,1,Client J,Procurement Person 1
ORD1085,Nagpur,East,Mirzapur,West,Procurement,Procurement,Submit New Request,2,21-Jun-25,23-Jun-25,On Time,1044,2,1-Jun-25,2,1,Client B,Procurement Person 1
ORD1112,Nagpur,North,Mirzapur,West,Procurement,Procurement,Submit New Request,2,20-Jun-25,22-Jun-25,On Time,1272,2,1-Jun-25,2,1,Client H,Procurement Person 1
ORD1122,Vishakhapatnam,South,Indore,West,Procurement,Procurement,Submit New Request,2,15-Jun-25,17-Jun-25,On Time,709,2,1-Jun-25,2,1,Client D,Procurement Person 1
ORD1124,Chandigarh,East,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,13-Jun-25,15-Jun-25,On Time,826,2,1-Jun-25,2,1,Client D,Procurement Person 1
ORD1125,Chandigarh,East,Mirzapur,West,Procurement,Procurement,Submit New Request,2,21-Jun-25,23-Jun-25,On Time,1423,2,1-Jun-25,2,1,Client E,Procurement Person 1
ORD1143,Guwahati,East,Valsad,West,Procurement,Procurement,Submit New Request,2,10-Jun-25,12-Jun-25,On Time,832,2,1-Jun-25,2,1,Client B,Procurement Person 1
ORD1146,Nagpur,West,Indore,West,Procurement,Procurement,Submit New Request,2,21-Jun-25,23-Jun-25,On Time,790,2,1-Jun-25,2,1,Client F,Procurement Person 1
ORD1160,Bhopal,East,Valsad,West,Procurement,Procurement,Submit New Request,2,22-Jun-25,24-Jun-25,Delay,1498,2,1-Jun-25,2,1,Client H,Procurement Person 1
ORD1183,Guwahati,South,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,12-Jun-25,14-Jun-25,On Time,1326,2,1-Jun-25,2,1,Client A,Procurement Person 1
ORD1199,Ranchi,East,Indore,West,Procurement,Procurement,Submit New Request,2,9-Jun-25,11-Jun-25,Delay,1185,2,1-Jun-25,2,1,Client A,Procurement Person 1
ORD1200,Delhi,North,Mirzapur,West,Procurement,Procurement,Submit New Request,2,23-Jun-25,25-Jun-25,On Time,1485,2,1-Jun-25,2,1,Client E,Procurement Person 1
ORD1211,Kolkata,East,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,13-Jun-25,15-Jun-25,On Time,1354,2,1-Jun-25,2,1,Client J,Procurement Person 1
ORD1214,Vishakhapatnam,South,Indore,West,Procurement,Procurement,Submit New Request,2,11-Jun-25,13-Jun-25,Delay,1047,2,1-Jun-25,2,1,Client D,Procurement Person 1
ORD1222,Vishakhapatnam,East,Indore,West,Procurement,Procurement,Submit New Request,2,17-Jun-25,19-Jun-25,On Time,640,2,1-Jun-25,2,1,Client G,Procurement Person 1
ORD1273,Jaipur,East,Valsad,West,Procurement,Procurement,Submit New Request,2,9-Jun-25,11-Jun-25,Delay,1260,2,1-Jun-25,2,1,Client G,Procurement Person 1
ORD1292,Bangalore,West,Pune,West,Procurement,Procurement,Submit New Request,2,23-Jun-25,25-Jun-25,On Time,595,2,1-Jun-25,2,1,Client H,Procurement Person 1
ORD1303,Ranchi,West,Pune,West,Procurement,Procurement,Submit New Request,2,21-Jun-25,23-Jun-25,On Time,1203,2,1-Jun-25,2,1,Client F,Procurement Person 1
ORD1306,Bangalore,West,Assam,West,Procurement,Procurement,Submit New Request,2,9-Jun-25,11-Jun-25,Delay,999,2,1-Jun-25,2,1,Client C,Procurement Person 1
ORD1330,Kolkata,North,Valsad,West,Procurement,Procurement,Submit New Request,2,20-Jun-25,22-Jun-25,On Time,646,2,1-Jun-25,2,1,Client H,Procurement Person 1
ORD1363,Guwahati,North,Indore,West,Procurement,Procurement,Submit New Request,2,9-Jun-25,11-Jun-25,On Time,388,2,1-Jun-25,2,1,Client I,Procurement Person 1
ORD1372,Guwahati,West,Valsad,West,Procurement,Procurement,Submit New Request,2,12-Jun-25,14-Jun-25,Delay,493,2,1-Jun-25,2,1,Client E,Procurement Person 1
ORD1380,Ahmedabad,North,Assam,West,Procurement,Procurement,Submit New Request,2,22-Jun-25,24-Jun-25,On Time,694,2,1-Jun-25,2,1,Client H,Procurement Person 1
ORD1398,Kolkata,East,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,10-Jun-25,12-Jun-25,Delay,1435,2,1-Jun-25,2,1,Client C,Procurement Person 1
ORD1418,Mumbai,North,Indore,West,Procurement,Procurement,Submit New Request,2,16-Jun-25,18-Jun-25,Delay,1303,2,1-Jun-25,2,1,Client I,Procurement Person 1
ORD1419,Bangalore,North,Valsad,West,Procurement,Procurement,Submit New Request,2,11-Jun-25,13-Jun-25,On Time,736,2,1-Jun-25,2,1,Client B,Procurement Person 1
ORD1464,Delhi,West,Mirzapur,West,Procurement,Procurement,Submit New Request,2,10-Jun-25,12-Jun-25,On Time,635,2,1-Jun-25,2,1,Client H,Procurement Person 1
ORD1500,Chennai,North,Assam,West,Procurement,Procurement,Submit New Request,2,11-Jun-25,13-Jun-25,On Time,746,2,1-Jun-25,2,1,Client H,Procurement Person 1
ORD1525,Bhopal,West,Pune,West,Procurement,Procurement,Submit New Request,2,9-Jul-25,11-Jul-25,On Time,353,2,1-Jul-25,2,1,Client D,Procurement Person 1
ORD1526,Surat,South,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,17-Jul-25,19-Jul-25,On Time,453,2,1-Jul-25,2,1,Client I,Procurement Person 1
ORD1540,Delhi,West,Pune,West,Procurement,Procurement,Submit New Request,2,18-Jul-25,20-Jul-25,On Time,698,2,1-Jul-25,2,1,Client I,Procurement Person 1
ORD1543,Kolkata,North,Pune,West,Procurement,Procurement,Submit New Request,2,18-Jul-25,20-Jul-25,On Time,518,2,1-Jul-25,2,1,Client B,Procurement Person 1
ORD1550,Ahmedabad,West,Pune,West,Procurement,Procurement,Submit New Request,2,10-Jul-25,12-Jul-25,Delay,662,2,1-Jul-25,2,1,Client B,Procurement Person 1
ORD1553,Bangalore,East,Indore,West,Procurement,Procurement,Submit New Request,2,10-Jul-25,12-Jul-25,On Time,464,2,1-Jul-25,2,1,Client H,Procurement Person 1
ORD1568,Ahmedabad,South,Pune,West,Procurement,Procurement,Submit New Request,2,11-Jul-25,13-Jul-25,On Time,574,2,1-Jul-25,2,1,Client I,Procurement Person 1
ORD1614,Mumbai,West,Valsad,West,Procurement,Procurement,Submit New Request,2,13-Jul-25,15-Jul-25,On Time,1456,2,1-Jul-25,2,1,Client I,Procurement Person 1
ORD1617,Delhi,East,Indore,West,Procurement,Procurement,Submit New Request,2,9-Jul-25,11-Jul-25,Delay,1019,2,1-Jul-25,2,1,Client A,Procurement Person 1
ORD1630,Bangalore,East,Valsad,West,Procurement,Procurement,Submit New Request,2,22-Jul-25,24-Jul-25,Delay,348,2,1-Jul-25,2,1,Client J,Procurement Person 1
ORD1635,Ranchi,East,Mirzapur,West,Procurement,Procurement,Submit New Request,2,10-Jul-25,12-Jul-25,On Time,1367,2,1-Jul-25,2,1,Client H,Procurement Person 1
ORD1639,Nagpur,East,Valsad,West,Procurement,Procurement,Submit New Request,2,20-Jul-25,22-Jul-25,On Time,786,2,1-Jul-25,2,1,Client D,Procurement Person 1
ORD1643,Bhopal,West,Valsad,West,Procurement,Procurement,Submit New Request,2,10-Jul-25,12-Jul-25,Delay,1230,2,1-Jul-25,2,1,Client H,Procurement Person 1
ORD1653,Jaipur,South,Mirzapur,West,Procurement,Procurement,Submit New Request,2,22-Jul-25,24-Jul-25,On Time,437,2,1-Jul-25,2,1,Client A,Procurement Person 1
ORD1705,Bangalore,South,Valsad,West,Procurement,Procurement,Submit New Request,2,21-Jul-25,23-Jul-25,Delay,830,2,1-Jul-25,2,1,Client E,Procurement Person 1
ORD1722,Delhi,North,Pune,West,Procurement,Procurement,Submit New Request,2,13-Jul-25,15-Jul-25,Delay,933,2,1-Jul-25,2,1,Client B,Procurement Person 1
ORD1756,Ranchi,East,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,13-Jul-25,15-Jul-25,On Time,1457,2,1-Jul-25,2,1,Client B,Procurement Person 1
ORD1800,Jaipur,East,Mirzapur,West,Procurement,Procurement,Submit New Request,2,20-Jul-25,22-Jul-25,On Time,724,2,1-Jul-25,2,1,Client F,Procurement Person 1
ORD1803,Nagpur,West,Indore,West,Procurement,Procurement,Submit New Request,2,21-Jul-25,23-Jul-25,Delay,1295,2,1-Jul-25,2,1,Client F,Procurement Person 1
ORD1805,Bangalore,South,Assam,West,Procurement,Procurement,Submit New Request,2,18-Jul-25,20-Jul-25,On Time,1165,2,1-Jul-25,2,1,Client F,Procurement Person 1
ORD1808,Bhopal,West,Indore,West,Procurement,Procurement,Submit New Request,2,20-Jul-25,22-Jul-25,Delay,1475,2,1-Jul-25,2,1,Client I,Procurement Person 1
ORD1810,Ranchi,East,Mirzapur,West,Procurement,Procurement,Submit New Request,2,21-Jul-25,23-Jul-25,On Time,1009,2,1-Jul-25,2,1,Client A,Procurement Person 1
ORD1829,Guwahati,North,Mirzapur,West,Procurement,Procurement,Submit New Request,2,9-Jul-25,11-Jul-25,Delay,852,2,1-Jul-25,2,1,Client G,Procurement Person 1
ORD1845,Chennai,East,Valsad,West,Procurement,Procurement,Submit New Request,2,9-Jul-25,11-Jul-25,On Time,1276,2,1-Jul-25,2,1,Client C,Procurement Person 1
ORD1883,Vishakhapatnam,South,Indore,West,Procurement,Procurement,Submit New Request,2,18-Jul-25,20-Jul-25,On Time,1496,2,1-Jul-25,2,1,Client H,Procurement Person 1
ORD1890,Jaipur,South,Pune,West,Procurement,Procurement,Submit New Request,2,22-Jul-25,24-Jul-25,On Time,1381,2,1-Jul-25,2,1,Client B,Procurement Person 1
ORD1896,Guwahati,West,Mirzapur,West,Procurement,Procurement,Submit New Request,2,16-Jul-25,18-Jul-25,On Time,665,2,1-Jul-25,2,1,Client A,Procurement Person 1
ORD1901,Mumbai,West,Pune,West,Procurement,Procurement,Submit New Request,2,18-Jul-25,20-Jul-25,On Time,1179,2,1-Jul-25,2,1,Client E,Procurement Person 1
ORD1922,Bhopal,North,Valsad,West,Procurement,Procurement,Submit New Request,2,12-Jul-25,14-Jul-25,On Time,417,2,1-Jul-25,2,1,Client F,Procurement Person 1
ORD1945,Jaipur,North,Mirzapur,West,Procurement,Procurement,Submit New Request,2,10-Jul-25,12-Jul-25,Delay,1193,2,1-Jul-25,2,1,Client B,Procurement Person 1
ORD1949,Chennai,North,Indore,West,Procurement,Procurement,Submit New Request,2,11-Jul-25,13-Jul-25,On Time,831,2,1-Jul-25,2,1,Client I,Procurement Person 1
ORD1963,Mumbai,East,Indore,West,Procurement,Procurement,Submit New Request,2,17-Jul-25,19-Jul-25,On Time,609,2,1-Jul-25,2,1,Client J,Procurement Person 1
ORD1967,Bhopal,East,Mirzapur,West,Procurement,Procurement,Submit New Request,2,9-Jul-25,11-Jul-25,On Time,381,2,1-Jul-25,2,1,Client H,Procurement Person 1
ORD1993,Kolkata,North,Valsad,West,Procurement,Procurement,Submit New Request,2,18-Jul-25,20-Jul-25,On Time,866,2,1-Jul-25,2,1,Client C,Procurement Person 1
ORD2019,Kolkata,South,Mirzapur,West,Procurement,Procurement,Submit New Request,2,10-Aug-25,12-Aug-25,On Time,1275,2,1-Aug-25,2,1,Client J,Procurement Person 1
ORD2068,Nagpur,South,Assam,West,Procurement,Procurement,Submit New Request,2,10-Aug-25,12-Aug-25,Delay,313,2,1-Aug-25,2,1,Client F,Procurement Person 1
ORD2070,Nagpur,South,Indore,West,Procurement,Procurement,Submit New Request,2,11-Aug-25,13-Aug-25,Delay,806,2,1-Aug-25,2,1,Client J,Procurement Person 1
ORD2082,Nagpur,South,Pune,West,Procurement,Procurement,Submit New Request,2,11-Aug-25,13-Aug-25,On Time,1086,2,1-Aug-25,2,1,Client J,Procurement Person 1
ORD2100,Delhi,East,Bhiwandi,West,Procurement,Procurement,Submit New Request,2,20-Aug-25,22-Aug-25,On Time,444,2,1-Aug-25,2,1,Client A,Procurement Person 1
ORD2101,Surat,East,Valsad,West,Procurement,Procurement,Submit New Request,2,19-Aug-25,21-Aug-25,On Time,1462,2,1-Aug-25,2,1,Client E,Procurement Person 1
ORD2131,Nagpur,East,Mirzapur,West,Procurement,Procurement,Submit New Request,2,9-Aug-25,11-Aug-25,On Time,832,2,1-Aug-25,2,1,Client J,Procurement Person 1
ORD2136,Kolkata,South,Mirzapur,West,Procurement,Procurement,Submit New Request,2,12-Aug-25,14-Aug-25,Delay,652,2,1-Aug-25,2,1,Client H,Procurement Person 1
ORD2147,Chandigarh,East,Assam,West,Procurement,Procurement,Submit New Request,2,11-Aug-25,13-Aug-25,On Time,534,2,1-Aug-25,2,1,Client F,Procurement Person 1
