Container_ID,TEU_Size,Cargo_Type,Entry_Date,Exit_Date,Expected_Exit_Date,Dwell_Time_Days,On_Time,Occupied_TEU
CNT00079,1,Tank,2025-05-24,2025-06-19,2025-05-29,26,False,1
CNT00080,1,General,2025-09-19,2025-09-25,2025-09-24,6,False,1
CNT00081,1,Hazardous,2025-06-08,2025-06-12,2025-06-13,4,True,1
CNT00082,1,General,2025-09-27,2025-09-30,2025-10-02,3,True,1
CNT00083,1,Tank,2025-09-22,2025-10-14,2025-09-27,22,False,1
CNT00084,1,Reefer,2025-09-13,2025-09-19,2025-09-18,6,False,1
CNT00085,1,General,2025-04-19,2025-04-27,2025-04-24,8,False,1
CNT00086,1,Tank,2025-09-03,2025-09-05,2025-09-08,2,True,1
CNT00087,1,Tank,2025-09-10,2025-09-15,2025-09-15,5,True,1
CNT00088,1,General,2025-05-14,2025-06-11,2025-05-19,28,False,1
CNT00089,1,Reefer,2025-08-15,2025-08-30,2025-08-20,15,False,1
CNT00090,1,Hazardous,2025-06-02,2025-06-18,2025-06-07,16,False,1
CNT00091,1,Tank,2025-05-12,2025-06-01,2025-05-17,20,False,1
CNT00092,1,Reefer,2025-07-28,2025-07-29,2025-08-02,1,True,1
CNT00093,1,General,2025-07-07,2025-07-19,2025-07-12,12,False,1
CNT00094,1,General,2025-06-09,2025-06-16,2025-06-14,7,False,1
CNT00095,1,Hazardous,2025-09-11,2025-09-26,2025-09-16,15,False,1
CNT00096,1,General,2025-09-24,2025-09-30,2025-09-29,6,False,1
CNT00097,1,General,2025-08-21,2025-08-24,2025-08-26,3,True,1
CNT00098,1,Reefer,2025-05-27,2025-06-03,2025-06-01,7,False,1
CNT00099,1,General,2025-09-23,2025-10-02,2025-09-28,9,False,1
CNT00100,1,General,2025-06-23,2025-07-04,2025-06-28,11,False,1
CNT00101,1,General,2025-04-15,2025-04-21,2025-04-20,6,False,1
CNT00102,1,General,2025-05-29,2025-06-03,2025-06-03,5,True,1
CNT00103,1,General,2025-04-09,2025-04-13,2025-04-14,4,True,1
CNT00104,1,Reefer,2025-06-20,2025-06-24,2025-06-25,4,True,1
CNT00105,1,General,2025-07-12,2025-07-18,2025-07-17,6,False,1
CNT00106,1,General,2025-06-08,2025-06-10,2025-06-13,2,True,1
CNT00107,1,General,2025-04-17,2025-04-23,2025-04-22,6,False,1
CNT00108,1,General,2025-05-25,2025-05-28,2025-05-30,3,True,1
CNT00109,1,General,2025-08-24,2025-08-25,2025-08-29,1,True,1
CNT00110,1,Hazardous,2025-06-20,2025-06-22,2025-06-25,2,True,1
CNT00111,1,Tank,2025-05-25,2025-06-05,2025-05-30,11,False,1
CNT00112,1,Tank,2025-09-15,2025-09-21,2025-09-20,6,False,1
CNT00113,1,Reefer,2025-08-06,2025-08-15,2025-08-11,9,False,1
CNT00114,1,Hazardous,2025-07-11,2025-07-14,2025-07-16,3,True,1
CNT00115,1,General,2025-09-12,2025-09-13,2025-09-17,1,True,1
CNT00116,1,General,2025-07-27,2025-07-30,2025-08-01,3,True,1
CNT00117,1,General,2025-05-07,2025-05-22,2025-05-12,15,False,1
CNT00118,1,General,2025-06-07,2025-06-11,2025-06-12,4,True,1
CNT00119,1,Hazardous,2025-05-06,2025-05-08,2025-05-11,2,True,1
CNT00120,1,Hazardous,2025-06-03,2025-06-09,2025-06-08,6,False,1
CNT00121,1,Hazardous,2025-08-22,2025-08-24,2025-08-27,2,True,1
CNT00122,1,General,2025-08-16,2025-08-24,2025-08-21,8,False,1
CNT00123,1,General,2025-06-07,2025-06-10,2025-06-12,3,True,1
CNT00124,1,General,2025-08-28,2025-09-07,2025-09-02,10,False,1
CNT00125,1,Tank,2025-07-19,2025-07-20,2025-07-24,1,True,1
CNT00126,1,Tank,2025-08-28,2025-08-30,2025-09-02,2,True,1
CNT00127,1,Tank,2025-07-12,2025-07-14,2025-07-17,2,True,1
CNT00128,1,Tank,2025-07-02,2025-07-05,2025-07-07,3,True,1
CNT00129,1,General,2025-05-27,2025-06-10,2025-06-01,14,False,1
CNT00130,1,Tank,2025-05-06,2025-05-14,2025-05-11,8,False,1
CNT00131,1,Reefer,2025-08-09,2025-08-22,2025-08-14,13,False,1
CNT00132,1,Hazardous,2025-08-05,2025-08-13,2025-08-10,8,False,1
CNT00133,1,Tank,2025-04-24,2025-04-30,2025-04-29,6,False,1
CNT00134,1,Hazardous,2025-04-13,2025-04-18,2025-04-18,5,True,1
CNT00135,1,Reefer,2025-04-29,2025-05-11,2025-05-04,12,False,1
CNT00136,1,General,2025-05-10,2025-05-12,2025-05-15,2,True,1
CNT00137,1,General,2025-09-08,2025-09-15,2025-09-13,7,False,1
CNT00138,1,General,2025-05-11,2025-05-14,2025-05-16,3,True,1
CNT00139,1,Hazardous,2025-09-22,2025-09-27,2025-09-27,5,True,1
CNT00140,1,General,2025-07-18,2025-07-19,2025-07-23,1,True,1
CNT00141,1,General,2025-08-31,2025-09-14,2025-09-05,14,False,1
CNT00142,1,Hazardous,2025-04-17,2025-04-20,2025-04-22,3,True,1
CNT00143,1,Tank,2025-07-08,2025-07-15,2025-07-13,7,False,1
CNT00144,1,Reefer,2025-07-07,2025-07-11,2025-07-12,4,True,1
CNT00145,1,General,2025-08-31,2025-09-07,2025-09-05,7,False,1
CNT00146,1,Reefer,2025-07-29,2025-08-08,2025-08-03,10,False,1
CNT00147,1,Hazardous,2025-08-14,2025-08-23,2025-08-19,9,False,1
CNT00148,1,General,2025-06-04,2025-06-17,2025-06-09,13,False,1
CNT00149,1,Tank,2025-08-20,2025-08-23,2025-08-25,3,True,1
CNT00150,1,Reefer,2025-04-03,2025-04-06,2025-04-08,3,True,1
CNT00151,1,Reefer,2025-09-22,2025-09-25,2025-09-27,3,True,1
CNT00152,1,Reefer,2025-04-30,2025-05-08,2025-05-05,8,False,1
CNT00153,1,Tank,2025-09-22,2025-09-23,2025-09-27,1,True,1
CNT00154,1,General,2025-08-16,2025-08-20,2025-08-21,4,True,1
CNT00155,1,General,2025-06-08,2025-06-23,2025-06-13,15,False,1
CNT00156,1,General,2025-09-12,2025-09-27,2025-09-17,15,False,1
CNT00157,1,General,2025-06-27,2025-07-01,2025-07-02,4,True,1
CNT00158,1,Hazardous,2025-04-29,2025-05-05,2025-05-04,6,False,1
CNT00159,1,General,2025-06-15,2025-06-17,2025-06-20,2,True,1
CNT00160,1,Hazardous,2025-07-21,2025-08-02,2025-07-26,12,False,1
CNT00161,1,General,2025-05-11,2025-05-19,2025-05-16,8,False,1
CNT00162,1,General,2025-07-26,2025-08-08,2025-07-31,13,False,1
CNT00163,1,General,2025-04-01,2025-04-04,2025-04-06,3,True,1
CNT00164,1,Tank,2025-06-07,2025-06-18,2025-06-12,11,False,1
CNT00165,1,Hazardous,2025-08-07,2025-08-22,2025-08-12,15,False,1
CNT00166,1,Tank,2025-05-16,2025-05-21,2025-05-21,5,True,1
CNT00167,1,Tank,2025-08-08,2025-08-13,2025-08-13,5,True,1
CNT00168,1,Tank,2025-04-28,2025-05-12,2025-05-03,14,False,1
CNT00169,1,Tank,2025-09-08,2025-09-11,2025-09-13,3,True,1
CNT00170,1,Tank,2025-06-16,2025-06-17,2025-06-21,1,True,1
CNT00171,1,Hazardous,2025-09-11,2025-09-20,2025-09-16,9,False,1
CNT00172,1,Tank,2025-08-08,2025-08-27,2025-08-13,19,False,1
CNT00173,1,Tank,2025-09-03,2025-09-04,2025-09-08,1,True,1
CNT00174,1,General,2025-05-21,2025-06-07,2025-05-26,17,False,1
CNT00175,1,Reefer,2025-05-10,2025-05-11,2025-05-15,1,True,1
CNT00176,1,General,2025-07-05,2025-07-18,2025-07-10,13,False,1
CNT00177,1,General,2025-05-12,2025-05-18,2025-05-17,6,False,1
CNT00178,1,Tank,2025-08-17,2025-08-23,2025-08-22,6,False,1
CNT00179,1,General,2025-08-14,2025-09-12,2025-08-19,29,False,1
CNT00180,1,Tank,2025-04-01,2025-04-13,2025-04-06,12,False,1
CNT00181,1,Reefer,2025-09-01,2025-09-18,2025-09-06,17,False,1
CNT00182,1,Tank,2025-06-22,2025-06-28,2025-06-27,6,False,1
CNT00183,1,General,2025-08-04,2025-08-09,2025-08-09,5,True,1
CNT00184,1,General,2025-04-05,2025-04-07,2025-04-10,2,True,1
CNT00185,1,Reefer,2025-04-29,2025-05-22,2025-05-04,23,False,1
CNT00186,1,General,2025-07-02,2025-07-04,2025-07-07,2,True,1
CNT00187,1,Hazardous,2025-06-18,2025-06-24,2025-06-23,6,False,1
CNT00188,1,General,2025-06-01,2025-06-03,2025-06-06,2,True,1
CNT00189,1,Reefer,2025-04-15,2025-04-24,2025-04-20,9,False,1
CNT00190,1,Reefer,2025-06-01,2025-06-03,2025-06-06,2,True,1
CNT00191,1,Reefer,2025-08-24,2025-08-27,2025-08-29,3,True,1
CNT00192,1,Tank,2025-04-21,2025-04-30,2025-04-26,9,False,1
CNT00193,1,Reefer,2025-04-22,2025-04-23,2025-04-27,1,True,1
CNT00194,1,Hazardous,2025-08-03,2025-08-08,2025-08-08,5,True,1
CNT00195,1,Hazardous,2025-04-18,2025-04-29,2025-04-23,11,False,1
CNT00196,1,General,2025-08-15,2025-08-16,2025-08-20,1,True,1
CNT00197,1,General,2025-05-03,2025-05-14,2025-05-08,11,False,1
CNT00198,1,Tank,2025-05-03,2025-05-12,2025-05-08,9,False,1
CNT00199,1,Tank,2025-09-16,2025-09-24,2025-09-21,8,False,1
CNT00200,1,Hazardous,2025-07-31,2025-08-03,2025-08-05,3,True,1
CNT00201,1,Tank,2025-08-19,2025-08-22,2025-08-24,3,True,1
CNT00202,1,General,2025-05-13,2025-05-15,2025-05-18,2,True,1
CNT00203,1,Hazardous,2025-06-07,2025-06-14,2025-06-12,7,False,1
CNT00204,1,General,2025-08-14,2025-08-21,2025-08-19,7,False,1
CNT00205,1,Tank,2025-09-03,2025-09-13,2025-09-08,10,False,1
CNT00206,1,Reefer,2025-07-18,2025-07-23,2025-07-23,5,True,1
CNT00207,1,General,2025-05-25,2025-06-02,2025-05-30,8,False,1
CNT00208,1,General,2025-08-17,2025-08-20,2025-08-22,3,True,1
CNT00209,1,Hazardous,2025-09-24,2025-10-02,2025-09-29,8,False,1
CNT00210,1,General,2025-05-22,2025-05-24,2025-05-27,2,True,1
CNT00211,1,General,2025-06-19,2025-06-25,2025-06-24,6,False,1
CNT00212,1,Tank,2025-07-12,2025-07-14,2025-07-17,2,True,1
CNT00213,1,General,2025-09-19,2025-09-25,2025-09-24,6,False,1
CNT00214,1,General,2025-09-14,2025-09-21,2025-09-19,7,False,1
CNT00215,1,Hazardous,2025-07-05,2025-07-14,2025-07-10,9,False,1
CNT00216,1,Reefer,2025-07-22,2025-07-26,2025-07-27,4,True,1
CNT00217,1,Reefer,2025-08-11,2025-08-15,2025-08-16,4,True,1
CNT00218,1,General,2025-07-25,2025-08-01,2025-07-30,7,False,1
CNT00219,1,General,2025-05-01,2025-05-04,2025-05-06,3,True,1
CNT00220,1,Tank,2025-06-03,2025-06-06,2025-06-08,3,True,1
CNT00221,1,Reefer,2025-05-28,2025-06-01,2025-06-02,4,True,1
CNT00222,1,Reefer,2025-04-17,2025-04-24,2025-04-22,7,False,1
CNT00223,1,General,2025-06-26,2025-06-28,2025-07-01,2,True,1
CNT00224,1,General,2025-04-06,2025-04-07,2025-04-11,1,True,1
CNT00225,1,Tank,2025-08-29,2025-09-02,2025-09-03,4,True,1
CNT00226,1,General,2025-08-20,2025-08-24,2025-08-25,4,True,1
CNT00227,1,General,2025-05-29,2025-06-01,2025-06-03,3,True,1
CNT00228,1,Tank,2025-08-29,2025-08-31,2025-09-03,2,True,1
CNT00229,1,General,2025-05-27,2025-05-30,2025-06-01,3,True,1
CNT00230,1,General,2025-04-02,2025-04-11,2025-04-07,9,False,1
CNT00231,1,Tank,2025-04-19,2025-05-13,2025-04-24,24,False,1
CNT00232,1,General,2025-09-09,2025-09-14,2025-09-14,5,True,1
CNT00233,1,Hazardous,2025-04-16,2025-04-21,2025-04-21,5,True,1
CNT00234,1,Hazardous,2025-05-29,2025-06-01,2025-06-03,3,True,1
CNT00235,1,Hazardous,2025-04-18,2025-05-01,2025-04-23,13,False,1
CNT00236,1,Hazardous,2025-04-09,2025-04-11,2025-04-14,2,True,1
CNT00237,1,Tank,2025-06-24,2025-06-30,2025-06-29,6,False,1
CNT00238,1,General,2025-04-19,2025-04-27,2025-04-24,8,False,1
CNT00239,1,Tank,2025-08-10,2025-08-21,2025-08-15,11,False,1
CNT00240,1,General,2025-05-31,2025-06-01,2025-06-05,1,True,1
CNT00241,1,General,2025-06-11,2025-06-16,2025-06-16,5,True,1
CNT00242,1,Hazardous,2025-09-19,2025-09-25,2025-09-24,6,False,1
CNT00243,1,Tank,2025-08-03,2025-08-12,2025-08-08,9,False,1
CNT00244,1,Hazardous,2025-05-25,2025-05-30,2025-05-30,5,True,1
CNT00245,1,General,2025-08-17,2025-08-21,2025-08-22,4,True,1
CNT00246,1,Tank,2025-05-04,2025-05-08,2025-05-09,4,True,1
CNT00247,1,Reefer,2025-08-25,2025-08-30,2025-08-30,5,True,1
CNT00248,1,General,2025-08-26,2025-08-29,2025-08-31,3,True,1
CNT00249,1,General,2025-07-31,2025-08-03,2025-08-05,3,True,1
CNT00250,1,General,2025-06-02,2025-06-13,2025-06-07,11,False,1
CNT00251,1,Hazardous,2025-07-31,2025-08-03,2025-08-05,3,True,1
CNT00252,1,Tank,2025-07-14,2025-08-06,2025-07-19,23,False,1
CNT00253,1,Reefer,2025-05-19,2025-05-26,2025-05-24,7,False,1
CNT00254,1,Reefer,2025-04-25,2025-05-04,2025-04-30,9,False,1
CNT00255,1,Tank,2025-04-25,2025-05-03,2025-04-30,8,False,1
CNT00256,1,Reefer,2025-09-16,2025-09-22,2025-09-21,6,False,1
CNT00257,1,General,2025-07-20,2025-07-29,2025-07-25,9,False,1
CNT00258,1,Reefer,2025-06-30,2025-07-07,2025-07-05,7,False,1
CNT00259,1,Hazardous,2025-07-18,2025-07-22,2025-07-23,4,True,1
CNT00260,1,Tank,2025-07-15,2025-07-17,2025-07-20,2,True,1
CNT00261,1,Tank,2025-07-29,2025-08-12,2025-08-03,14,False,1
CNT00262,1,Tank,2025-04-14,2025-04-16,2025-04-19,2,True,1
CNT00263,1,Tank,2025-09-20,2025-09-25,2025-09-25,5,True,1
CNT00264,1,Reefer,2025-09-15,2025-09-18,2025-09-20,3,True,1
CNT00265,1,General,2025-09-13,2025-09-14,2025-09-18,1,True,1
CNT00266,1,Hazardous,2025-04-26,2025-05-02,2025-05-01,6,False,1
CNT00267,1,Tank,2025-04-16,2025-04-19,2025-04-21,3,True,1
CNT00268,1,Reefer,2025-07-13,2025-07-21,2025-07-18,8,False,1
CNT00269,1,General,2025-06-26,2025-07-03,2025-07-01,7,False,1
CNT00270,1,General,2025-04-28,2025-05-01,2025-05-03,3,True,1
CNT00271,1,Hazardous,2025-06-03,2025-06-08,2025-06-08,5,True,1
CNT00272,1,General,2025-05-20,2025-05-29,2025-05-25,9,False,1
CNT00273,1,Hazardous,2025-05-19,2025-05-28,2025-05-24,9,False,1
CNT00274,1,Hazardous,2025-08-16,2025-08-23,2025-08-21,7,False,1
CNT00275,1,Reefer,2025-07-24,2025-07-27,2025-07-29,3,True,1
CNT00276,1,General,2025-05-06,2025-05-17,2025-05-11,11,False,1
CNT00277,1,Hazardous,2025-07-18,2025-07-30,2025-07-23,12,False,1
CNT00278,1,General,2025-05-17,2025-05-26,2025-05-22,9,False,1
CNT00279,1,Tank,2025-06-11,2025-06-16,2025-06-16,5,True,1
CNT00280,1,General,2025-07-28,2025-08-03,2025-08-02,6,False,1
CNT00281,1,Tank,2025-06-03,2025-06-08,2025-06-08,5,True,1
CNT00282,1,Tank,2025-04-20,2025-04-25,2025-04-25,5,True,1
CNT00283,1,Reefer,2025-07-23,2025-07-28,2025-07-28,5,True,1
CNT00284,1,Reefer,2025-08-19,2025-08-28,2025-08-24,9,False,1
CNT00285,1,Hazardous,2025-04-26,2025-05-05,2025-05-01,9,False,1
CNT00286,1,Hazardous,2025-04-13,2025-04-15,2025-04-18,2,True,1
CNT00287,1,Hazardous,2025-09-14,2025-09-19,2025-09-19,5,True,1
CNT00288,1,General,2025-08-17,2025-08-28,2025-08-22,11,False,1
CNT00289,1,General,2025-04-04,2025-04-10,2025-04-09,6,False,1
CNT00290,1,Hazardous,2025-04-24,2025-04-27,2025-04-29,3,True,1
CNT00291,1,Tank,2025-05-31,2025-06-10,2025-06-05,10,False,1
CNT00292,1,Tank,2025-05-13,2025-05-20,2025-05-18,7,False,1
CNT00293,1,General,2025-07-14,2025-07-19,2025-07-19,5,True,1
CNT00294,1,Reefer,2025-08-03,2025-08-07,2025-08-08,4,True,1
CNT00295,1,Tank,2025-08-02,2025-08-07,2025-08-07,5,True,1
CNT00296,1,Tank,2025-05-25,2025-06-08,2025-05-30,14,False,1
CNT00297,1,General,2025-07-12,2025-07-16,2025-07-17,4,True,1
CNT00298,1,Reefer,2025-04-16,2025-04-21,2025-04-21,5,True,1
CNT00299,1,Reefer,2025-05-13,2025-05-21,2025-05-18,8,False,1
CNT00300,1,Hazardous,2025-07-07,2025-07-10,2025-07-12,3,True,1
CNT00301,1,Tank,2025-04-01,2025-04-08,2025-04-06,7,False,1
CNT00302,1,Reefer,2025-07-09,2025-07-13,2025-07-14,4,True,1
CNT00303,1,General,2025-06-07,2025-06-09,2025-06-12,2,True,1
CNT00304,1,Hazardous,2025-07-26,2025-07-30,2025-07-31,4,True,1
CNT00305,1,Tank,2025-06-13,2025-06-18,2025-06-18,5,True,1
CNT00306,1,General,2025-07-18,2025-07-26,2025-07-23,8,False,1
CNT00307,1,Hazardous,2025-09-26,2025-09-27,2025-10-01,1,True,1
CNT00308,1,General,2025-08-21,2025-08-25,2025-08-26,4,True,1
CNT00309,1,Reefer,2025-09-17,2025-09-21,2025-09-22,4,True,1
CNT00310,1,Tank,2025-08-03,2025-08-18,2025-08-08,15,False,1
CNT00311,1,General,2025-05-10,2025-05-24,2025-05-15,14,False,1
CNT00312,1,General,2025-05-19,2025-05-24,2025-05-24,5,True,1
CNT00313,1,General,2025-06-15,2025-06-17,2025-06-20,2,True,1
CNT00314,1,Tank,2025-05-26,2025-06-02,2025-05-31,7,False,1
CNT00315,1,Hazardous,2025-04-15,2025-04-16,2025-04-20,1,True,1
CNT00316,1,General,2025-08-27,2025-09-01,2025-09-01,5,True,1
CNT00317,1,Reefer,2025-08-17,2025-08-21,2025-08-22,4,True,1
CNT00318,1,General,2025-04-16,2025-04-21,2025-04-21,5,True,1
CNT00319,1,General,2025-06-20,2025-07-03,2025-06-25,13,False,1
CNT00320,1,General,2025-04-15,2025-04-17,2025-04-20,2,True,1
CNT00321,1,Hazardous,2025-04-13,2025-04-18,2025-04-18,5,True,1
CNT00322,1,Hazardous,2025-08-28,2025-09-02,2025-09-02,5,True,1
CNT00323,1,Tank,2025-08-01,2025-08-06,2025-08-06,5,True,1
CNT00324,1,Tank,2025-08-07,2025-08-08,2025-08-12,1,True,1
CNT00325,1,General,2025-08-14,2025-08-17,2025-08-19,3,True,1
CNT00326,1,General,2025-05-11,2025-05-14,2025-05-16,3,True,1
CNT00327,1,Tank,2025-04-15,2025-04-26,2025-04-20,11,False,1
CNT00328,1,General,2025-08-09,2025-08-16,2025-08-14,7,False,1
CNT00329,1,Tank,2025-04-21,2025-04-28,2025-04-26,7,False,1
CNT00330,1,General,2025-05-18,2025-05-24,2025-05-23,6,False,1
CNT00331,1,Tank,2025-04-18,2025-04-21,2025-04-23,3,True,1
CNT00332,1,General,2025-08-31,2025-09-08,2025-09-05,8,False,1
CNT00333,1,Hazardous,2025-04-18,2025-04-28,2025-04-23,10,False,1
CNT00334,1,Tank,2025-09-20,2025-09-29,2025-09-25,9,False,1
CNT00335,1,General,2025-05-31,2025-06-05,2025-06-05,5,True,1
CNT00336,1,Reefer,2025-07-13,2025-07-16,2025-07-18,3,True,1
CNT00337,1,Hazardous,2025-05-01,2025-05-11,2025-05-06,10,False,1
CNT00338,1,Reefer,2025-08-24,2025-08-31,2025-08-29,7,False,1
CNT00339,1,Reefer,2025-06-03,2025-06-14,2025-06-08,11,False,1
CNT00340,1,General,2025-08-27,2025-09-01,2025-09-01,5,True,1
CNT00341,1,General,2025-08-31,2025-09-09,2025-09-05,9,False,1
CNT00342,1,Tank,2025-04-11,2025-04-17,2025-04-16,6,False,1
CNT00343,1,Reefer,2025-09-06,2025-09-09,2025-09-11,3,True,1
CNT00344,1,Hazardous,2025-04-21,2025-04-23,2025-04-26,2,True,1
CNT00345,1,Tank,2025-07-17,2025-08-10,2025-07-22,24,False,1
CNT00346,1,Hazardous,2025-09-16,2025-09-21,2025-09-21,5,True,1
CNT00347,1,Tank,2025-08-28,2025-09-05,2025-09-02,8,False,1
CNT00348,1,Tank,2025-08-23,2025-08-26,2025-08-28,3,True,1
CNT00349,1,Tank,2025-08-12,2025-08-16,2025-08-17,4,True,1
CNT00350,1,Tank,2025-06-20,2025-06-23,2025-06-25,3,True,1
CNT00351,1,Hazardous,2025-06-06,2025-06-15,2025-06-11,9,False,1
CNT00352,1,Hazardous,2025-05-23,2025-05-28,2025-05-28,5,True,1
CNT00353,1,Tank,2025-09-19,2025-09-26,2025-09-24,7,False,1
CNT00354,1,Hazardous,2025-06-20,2025-06-22,2025-06-25,2,True,1
CNT00355,1,General,2025-06-01,2025-06-14,2025-06-06,13,False,1
CNT00356,1,Hazardous,2025-06-07,2025-06-09,2025-06-12,2,True,1
CNT00357,1,Hazardous,2025-07-11,2025-07-12,2025-07-16,1,True,1
