Market,City,Item Name,CFS,Delivery Date,Route,Container Type,Utilization (%),Planned Start Date,Planned Start Time,Actual Start Date,Actual Start Time,ETA Date,ETA Time,Actual Delivery Date,Actual Delivery Time,Delay (minutes),Deviation Status,Route Allocation,Mode of Transport,Total Delivery Time (hrs),Client Name,Vehicle ID,ETA DateTime,Route Deviation (%)
UP030033,Gonda,Samrat Advanced,"Lucknow, Chhattisgarh",2025-06-25,"Route: Lucknow, Chhattisgarh Ã‚Â¢ Gonda via Rail Line 1003",FEU,91.5,2025-06-02,00:45:00,2025-06-02,00:16:00,2025-06-03,23:45:00,2025-06-04,09:45:00,21:25:00,Delay,Rail Line 1003,Rail,57.4833333333333,Reliance Retail,VEH0209,2025-06-03 23:45:00,26.22
RJ002012,Alwar,Chetak-PPC,"Nagpur, Telangana",2025-06-03,"Route: Nagpur, Telangana Ã‚Â¢ Alwar via Rail Line 1008",TEU,90.0,2025-06-01,23:20:00,2025-06-01,23:45:00,2025-06-03,00:20:00,2025-06-03,00:42:00,00:22:00,Delay,Rail Line 1008,Rail,24.95,Flipkart,VEH0251,2025-06-03 00:20:00,2.21
BR009003,Darbhanga,Samrat,"Mangalore, Madhya Pradesh",2025-06-27,"Route: Mangalore, Madhya Pradesh Ã‚Â¢ Darbhanga via Rail Line 1018",TEU,69.0,2025-06-01,23:40:00,2025-06-01,23:54:00,2025-06-03,00:40:00,2025-06-03,00:40:00,00:00:00,On time,Rail Line 1018,Rail,24.7666666666666,Reliance Retail,VEH0257,2025-06-03 00:40:00,0.0
WB014075,North 24 Parganas,PSC-Unique Plus,"Visakhapatnam, Uttar Pradesh",2025-06-27,"Route: Visakhapatnam, Uttar Pradesh Ã‚Â¢ North 24 Parganas via Rail Line 1074",FEU,88.0,2025-06-01,23:51:00,2025-06-02,00:36:00,2025-06-03,23:51:00,2025-06-04,09:51:00,22:13:00,Delay,Rail Line 1074,Rail,57.25,ITC Ltd.,VEH0290,2025-06-03 23:51:00,26.32
HR012053,Mahendragarh,Perfect Plus,"Amritsar, Jharkhand",2025-06-21,"Route: Amritsar, Jharkhand Ã‚Â¢ Mahendragarh via NH-44",FEU,85.5,2025-06-01,23:23:00,2025-06-02,00:15:00,2025-06-02,22:23:00,2025-06-02,22:53:00,00:30:00,Delay,NH-44,road,22.6333333333333,Nestle India,VEH0298,2025-06-02 22:23:00,3.33
GJ007020,Dahod,Perfect Plus,"Jodhpur, Maharashtra",2025-06-12,"Route: Jodhpur, Maharashtra Ã‚Â¢ Dahod via NH-47",TEU,90.0,2025-06-02,00:35:00,2025-06-02,01:09:00,2025-06-02,23:35:00,2025-06-03,09:35:00,21:58:00,Delay,NH-47,road,32.4333333333333,Amazon India,VEH0208,2025-06-02 23:35:00,46.45
MP047016,Tikamgarh,Perfect Plus,"Jodhpur, Uttar Pradesh",2025-06-22,"Route: Jodhpur, Uttar Pradesh Ã‚Â¢ Tikamgarh via NH-47",TEU,81.0,2025-06-01,21:11:00,2025-06-01,22:14:00,2025-06-03,00:11:00,2025-06-03,00:11:00,00:00:00,On time,NH-47,road,25.95,BigBasket,VEH0231,2025-06-03 00:11:00,0.0
WB019047,Midnapur East,PSC-Unique Plus,"Visakhapatnam, Kerala",2025-06-13,"Route: Visakhapatnam, Kerala Ã‚Â¢ Midnapur East via NH-47",TEU,91.0,2025-06-01,23:50:00,2025-06-01,23:34:00,2025-06-03,00:50:00,2025-06-03,01:09:00,00:19:00,Delay,NH-47,road,25.5833333333333,Nestle India,VEH0262,2025-06-03 00:50:00,1.87
BR022002,MUNGHER,Perfect Plus-PCC,"Pune, Madhya Pradesh",2025-06-18,"Route: Pune, Madhya Pradesh Ã‚Â¢ MUNGHER via NH-48",FEU,73.0,2025-06-01,22:38:00,2025-06-01,23:15:00,2025-06-03,00:38:00,2025-06-03,01:12:00,00:34:00,Delay,NH-48,road,25.95,Flipkart,VEH0206,2025-06-03 00:38:00,3.28
MP007001,BHIND,Perfect Plus,"Indore, Assam",2025-06-20,"Route: Indore, Assam Ã‚Â¢ BHIND via NH-49",FEU,66.0,2025-06-02,00:57:00,2025-06-02,01:35:00,2025-06-02,23:57:00,2025-06-03,09:57:00,23:57:00,Delay,NH-49,road,32.3666666666666,ITC Ltd.,VEH0263,2025-06-02 23:57:00,46.56
RJ010216,Chittorgarh,Chetak-PPC,"Coimbatore, Telangana",2025-06-30,"Route: Coimbatore, Telangana Ã‚Â¢ Chittorgarh via NH-49",TEU,79.0,2025-06-02,00:34:00,2025-06-02,00:08:00,2025-06-03,22:34:00,2025-06-03,23:25:00,00:51:00,Delay,NH-49,road,47.2833333333333,Nestle India,VEH0287,2025-06-03 22:34:00,2.71
MP040011,Seoni,Chetak-PPC,"Surat, Andhra Pradesh",2025-06-20,"Route: Surat, Andhra Pradesh Ã‚Â¢ Seoni via NH-53",FEU,94.0,2025-06-02,01:56:00,2025-06-02,01:33:00,2025-06-03,23:56:00,2025-06-04,09:56:00,23:03:00,Delay,NH-53,road,56.3833333333333,Nestle India,VEH0231,2025-06-03 23:56:00,26.73
RJ020105,Jhunjhunu,Chetak-OPC,"Vijayawada, Chhattisgarh",2025-06-15,"Route: Vijayawada, Chhattisgarh Ã‚Â¢ Jhunjhunu via NH-53",TEU,94.5,2025-06-02,00:27:00,2025-06-02,00:04:00,2025-06-02,22:27:00,2025-06-02,22:27:00,00:00:00,On time,NH-53,road,22.3833333333333,Amazon India,VEH0288,2025-06-02 22:27:00,0.0
HR006007,Hisar,Chetak-OPC,"Bhopal, Madhya Pradesh",2025-06-05,"Route: Bhopal, Madhya Pradesh Ã‚Â¢ Hisar via NH-55",TEU,94.0,2025-06-01,23:53:00,2025-06-02,00:12:00,2025-06-03,22:53:00,2025-06-03,23:09:00,00:16:00,Delay,NH-55,road,46.95,Reliance Retail,VEH0239,2025-06-03 22:53:00,0.86
RJ010020,Chittorgarh,Chetak-PPC,"Coimbatore, Telangana",2025-06-23,"Route: Coimbatore, Telangana Ã‚Â¢ Chittorgarh via NH-55",TEU,83.0,2025-06-01,22:50:00,2025-06-01,23:44:00,2025-06-03,00:50:00,2025-06-03,00:50:00,00:00:00,On time,NH-55,road,25.1,Godrej Agrovet,VEH0282,2025-06-03 00:50:00,0.0
RJ018006,JALORE,Chetak-OPC,"Bhopal, Bihar",2025-06-24,"Route: Bhopal, Bihar Ã‚Â¢ JALORE via NH-55",TEU,90.0,2025-06-01,23:56:00,2025-06-02,00:18:00,2025-06-02,22:56:00,2025-06-03,08:56:00,21:51:00,Delay,NH-55,road,32.6333333333333,Nestle India,VEH0259,2025-06-02 22:56:00,46.17
UP023067,AYODHYA,Perfect Plus,"Lucknow, Punjab",2025-06-05,"Route: Lucknow, Punjab Ã‚Â¢ AYODHYA via NH-58",FEU,64.5,2025-06-01,22:55:00,2025-06-02,00:10:00,2025-06-02,22:55:00,2025-06-03,08:55:00,21:17:00,Delay,NH-58,road,32.75,HUL,VEH0223,2025-06-02 22:55:00,46.0
MH034002,Washim,Chetak-PPC,"Surat, Punjab",2025-06-29,"Route: Surat, Punjab Ã‚Â¢ Washim via NH-59",TEU,91.5,2025-06-02,00:51:00,2025-06-02,01:06:00,2025-06-02,23:51:00,2025-06-03,00:08:00,00:17:00,Delay,NH-59,road,23.0333333333333,ITC Ltd.,VEH0264,2025-06-02 23:51:00,1.85
UP025007,FATEHPUR,Samrat,"Hyderabad, Chhattisgarh",2025-06-15,"Route: Hyderabad, Chhattisgarh Ã‚Â¢ FATEHPUR via NH-59",TEU,70.0,2025-06-02,01:59:00,2025-06-02,01:42:00,2025-06-03,23:59:00,2025-06-04,09:59:00,22:43:00,Delay,NH-59,road,56.2833333333333,Nestle India,VEH0298,2025-06-03 23:59:00,26.77
MH003067,Amravati,Perfect Plus,"Indore, Andhra Pradesh",2025-06-03,"Route: Indore, Andhra Pradesh Ã‚Â¢ Amravati via NH-61",TEU,91.5,2025-06-01,23:21:00,2025-06-01,23:20:00,2025-06-03,00:21:00,2025-06-03,00:21:00,00:00:00,On time,NH-61,road,25.0166666666666,Amazon India,VEH0237,2025-06-03 00:21:00,0.0
RJ018084,JALORE,Perfect Plus,"Bhopal, Bihar",2025-06-28,"Route: Bhopal, Bihar Ã‚Â¢ JALORE via NH-62",FEU,71.0,2025-06-01,23:58:00,2025-06-02,01:28:00,2025-06-02,23:58:00,2025-06-03,09:58:00,22:35:00,Delay,NH-62,road,32.5,Reliance Retail,VEH0271,2025-06-02 23:58:00,46.36
RJ021179,Jodhpur,Chetak-PPC,"Surat, Maharashtra",2025-06-20,"Route: Surat, Maharashtra Ã‚Â¢ Jodhpur via NH-62",TEU,71.0,2025-06-01,23:25:00,2025-06-02,00:07:00,2025-06-02,22:25:00,2025-06-02,22:25:00,00:00:00,On time,NH-62,road,22.3,ITC Ltd.,VEH0265,2025-06-02 22:25:00,0.0
HR016019,Panipat,Perfect Plus,"Nashik, Uttar Pradesh",2025-06-19,"Route: Nashik, Uttar Pradesh Ã‚Â¢ Panipat via NH-63",TEU,69.5,2025-06-02,00:02:00,2025-06-01,23:37:00,2025-06-03,01:02:00,2025-06-03,01:33:00,00:31:00,Delay,NH-63,road,25.9333333333333,Nestle India,VEH0265,2025-06-03 01:02:00,3.0
MH010030,Gadchiroli,Chetak-OPC,"Amritsar, Maharashtra",2025-06-01,"Route: Amritsar, Maharashtra Ã‚Â¢ Gadchiroli via NH-63",FEU,72.0,2025-06-01,23:16:00,2025-06-01,23:52:00,2025-06-03,01:16:00,2025-06-03,02:08:00,00:52:00,Delay,NH-63,road,26.2666666666666,Flipkart,VEH0251,2025-06-03 01:16:00,4.97
RJ010018,Chittorgarh,Chetak-PPC,"Coimbatore, Telangana",2025-06-03,"Route: Coimbatore, Telangana Ã‚Â¢ Chittorgarh via NH-63",TEU,61.0,2025-06-02,01:44:00,2025-06-02,01:19:00,2025-06-02,23:44:00,2025-06-03,00:14:00,00:30:00,Delay,NH-63,road,22.9166666666666,Nestle India,VEH0207,2025-06-02 23:44:00,3.28
RJ024072,Nagaur,Perfect Plus,"Nagpur, Punjab",2025-06-12,"Route: Nagpur, Punjab Ã‚Â¢ Nagaur via NH-63",FEU,72.5,2025-06-02,00:11:00,2025-06-02,01:02:00,2025-06-02,23:11:00,2025-06-03,09:11:00,21:10:00,Delay,NH-63,road,32.15,HUL,VEH0256,2025-06-02 23:11:00,46.86
RJ029069,Sikar,Chetak-OPC,"Surat, Kerala",2025-06-02,"Route: Surat, Kerala Ã‚Â¢ Sikar via NH-65",FEU,67.0,2025-06-02,00:12:00,2025-06-02,00:36:00,2025-06-03,23:12:00,2025-06-04,09:12:00,22:49:00,Delay,NH-65,road,56.6,DMart,VEH0234,2025-06-03 23:12:00,26.62
UP005012,AURAIYA,Samrat Advanced,"Kanpur, Chhattisgarh",2025-06-24,"Route: Kanpur, Chhattisgarh Ã‚Â¢ AURAIYA via NH-65",TEU,85.0,2025-06-01,22:31:00,2025-06-01,22:32:00,2025-06-03,00:31:00,2025-06-03,00:46:00,00:15:00,Delay,NH-65,road,26.2333333333333,Amazon India,VEH0207,2025-06-03 00:31:00,1.43
UP031069,GORAKHPUR,Rakshak,"Udaipur, Rajasthan",2025-06-20,"Route: Udaipur, Rajasthan Ã‚Â¢ GORAKHPUR via NH-65",TEU,93.0,2025-06-01,21:16:00,2025-06-01,22:28:00,2025-06-03,00:16:00,2025-06-03,00:16:00,00:00:00,On time,NH-65,road,25.8,ITC Ltd.,VEH0298,2025-06-03 00:16:00,0.0
UP020076,Deoria,Samrat,"Kochi, Kerala",2025-06-01,"Route: Kochi, Kerala Ã‚Â¢ Deoria via Rail Line 1011",TEU,97.0,2025-06-01,23:13:00,2025-06-02,00:01:00,2025-06-02,22:13:00,2025-06-02,22:13:00,00:00:00,On time,Rail Line 1011,Rail,22.2,ITC Ltd.,VEH0287,2025-06-02 22:13:00,0.0
UP010065,Ballia,Ultimate,"Hyderabad, Bihar",2025-06-21,"Route: Hyderabad, Bihar Ã‚Â¢ Ballia via Rail Line 1022",FEU,94.0,2025-06-01,23:51:00,2025-06-01,23:43:00,2025-06-03,00:51:00,2025-06-03,00:51:00,00:00:00,On time,Rail Line 1022,Rail,25.1333333333333,Flipkart,VEH0237,2025-06-03 00:51:00,0.0
WB011051,Malda,Composite-Samrat Advanced,"Kanpur, Assam",2025-06-09,"Route: Kanpur, Assam Ã‚Â¢ Malda via Rail Line 1022",TEU,71.0,2025-06-02,00:50:00,2025-06-02,00:57:00,2025-06-02,23:50:00,2025-06-03,09:50:00,21:30:00,Delay,Rail Line 1022,Rail,32.8833333333333,Metro Cash & Carry,VEH0241,2025-06-02 23:50:00,45.82
WB015034,Uttar Dinajpur,PSC-Unique Plus,"Coimbatore, Chhattisgarh",2025-06-01,"Route: Coimbatore, Chhattisgarh Ã‚Â¢ Uttar Dinajpur via Rail Line 1025",FEU,67.5,2025-06-01,23:56:00,2025-06-02,00:25:00,2025-06-02,22:56:00,2025-06-03,08:56:00,22:24:00,Delay,Rail Line 1025,Rail,32.5166666666666,Reliance Retail,VEH0295,2025-06-02 22:56:00,46.33
UP067007,Sitapur,Perfect Plus,"Visakhapatnam, Uttar Pradesh",2025-06-19,"Route: Visakhapatnam, Uttar Pradesh Ã‚Â¢ Sitapur via Rail Line 1043",TEU,64.0,2025-06-02,00:01:00,2025-06-02,00:39:00,2025-06-02,23:01:00,2025-06-02,23:31:00,00:30:00,Delay,Rail Line 1043,Rail,22.8666666666666,Amazon India,VEH0293,2025-06-02 23:01:00,3.3
UP069031,Sultanpur,Perfect Plus,"Jodhpur, Jharkhand",2025-06-13,"Route: Jodhpur, Jharkhand Ã‚Â¢ Sultanpur via Rail Line 1050",TEU,75.0,2025-06-01,22:53:00,2025-06-02,00:07:00,2025-06-02,22:53:00,2025-06-02,23:40:00,00:47:00,Delay,Rail Line 1050,Rail,23.55,DMart,VEH0214,2025-06-02 22:53:00,5.02
UP028019,GHAZIABAD,Perfect Plus,"Guwahati, Kerala",2025-06-06,"Route: Guwahati, Kerala Ã‚Â¢ GHAZIABAD via Rail Line 1059",TEU,70.0,2025-06-01,23:05:00,2025-06-01,23:21:00,2025-06-03,01:05:00,2025-06-03,01:18:00,00:13:00,Delay,Rail Line 1059,Rail,25.95,Nestle India,VEH0273,2025-06-03 01:05:00,1.25
WB012010,Murshidabad,Composite-Samrat Advanced,"Kanpur, Assam",2025-06-10,"Route: Kanpur, Assam Ã‚Â¢ Murshidabad via Rail Line 1076",TEU,70.0,2025-06-02,00:40:00,2025-06-02,00:51:00,2025-06-02,23:40:00,2025-06-02,23:53:00,00:13:00,Delay,Rail Line 1076,Rail,23.0333333333333,Amazon India,VEH0263,2025-06-02 23:40:00,1.42
UP043050,KUSHI NAGAR,Perfect Plus,"Pune, Madhya Pradesh",2025-06-28,"Route: Pune, Madhya Pradesh Ã‚Â¢ KUSHI NAGAR via Rail Line 1082",FEU,99.0,2025-06-01,23:11:00,2025-06-02,00:38:00,2025-06-02,23:11:00,2025-06-02,23:47:00,00:36:00,Delay,Rail Line 1082,Rail,23.15,DMart,VEH0203,2025-06-02 23:11:00,3.9
UP010061,Ballia,Ultimate,"Hyderabad, Bihar",2025-06-18,"Route: Hyderabad, Bihar Ã‚Â¢ Ballia via Rail Line 1087",FEU,84.0,2025-06-01,23:47:00,2025-06-02,00:40:00,2025-06-03,22:47:00,2025-06-03,22:47:00,00:00:00,On time,Rail Line 1087,Rail,46.1166666666666,DMart,VEH0266,2025-06-03 22:47:00,0.0
UP014060,Bareilly,Perfect Plus,"Surat, Uttar Pradesh",2025-06-24,"Route: Surat, Uttar Pradesh Ã‚Â¢ Bareilly via Rail Line 1092",TEU,92.0,2025-06-01,23:11:00,2025-06-01,23:16:00,2025-06-03,01:11:00,2025-06-03,01:11:00,00:00:00,On time,Rail Line 1092,Rail,25.9166666666666,Godrej Agrovet,VEH0287,2025-06-03 01:11:00,0.0
UP050003,MAINPURI,Chetak-PPC,"Lucknow, Karnataka",2025-06-03,"Route: Lucknow, Karnataka Ã‚Â¢ MAINPURI via Rail Line 1092",TEU,82.5,2025-06-02,00:43:00,2025-06-02,00:54:00,2025-06-02,23:43:00,2025-06-03,09:43:00,23:30:00,Delay,Rail Line 1092,Rail,32.8166666666666,Metro Cash & Carry,VEH0262,2025-06-02 23:43:00,45.91
UP069031,Sultanpur,Samrat,"Jodhpur, Jharkhand",2025-06-03,"Route: Jodhpur, Jharkhand Ã‚Â¢ Sultanpur via Rail Line 1093",TEU,78.5,2025-06-01,22:49:00,2025-06-02,00:04:00,2025-06-02,22:49:00,2025-06-02,23:45:00,00:56:00,Delay,Rail Line 1093,Rail,23.6833333333333,BigBasket,VEH0235,2025-06-02 22:49:00,5.94
MH013004,Jalgaon,Chetak-PPC,"Udaipur, Bihar",2025-06-09,"Route: Udaipur, Bihar Ã‚Â¢ Jalgaon via NH-44",TEU,61.0,2025-06-01,22:11:00,2025-06-01,22:28:00,2025-06-03,01:11:00,2025-06-03,01:11:00,00:00:00,On time,NH-44,road,26.7166666666666,Amazon India,VEH0254,2025-06-03 01:11:00,0.0
RJ007007,Bhilwara,Perfect Plus,"Coimbatore, Telangana",2025-06-25,"Route: Coimbatore, Telangana Ã‚Â¢ Bhilwara via NH-44",TEU,62.0,2025-06-01,22:01:00,2025-06-01,23:08:00,2025-06-02,02:01:00,2025-06-02,02:01:00,00:00:00,On time,NH-44,road,2.88333333333333,ITC Ltd.,VEH0224,2025-06-02 02:01:00,0.0
UP035099,Jaunpur,Perfect Plus,"Udaipur, Karnataka",2025-06-19,"Route: Udaipur, Karnataka Ã‚Â¢ Jaunpur via NH-44",TEU,92.0,2025-06-02,00:24:00,2025-06-02,01:48:00,2025-06-03,23:24:00,2025-06-04,09:24:00,22:32:00,Delay,NH-44,road,55.6,Nestle India,VEH0245,2025-06-03 23:24:00,27.11
MH008025,Chandrapur,Chetak-PPC,"Raipur, Madhya Pradesh",2025-06-16,"Route: Raipur, Madhya Pradesh Ã‚Â¢ Chandrapur via NH-45",TEU,90.0,2025-06-02,00:56:00,2025-06-02,01:56:00,2025-06-02,22:56:00,2025-06-03,08:56:00,22:36:00,Delay,NH-45,road,31.0,Nestle India,VEH0275,2025-06-02 22:56:00,48.61
MP008017,Bhopal,Samrat,"Jaipur, Gujarat",2025-06-24,"Route: Jaipur, Gujarat Ã‚Â¢ Bhopal via NH-45",FEU,88.5,2025-06-02,02:53:00,2025-06-02,02:53:00,2025-06-03,23:53:00,2025-06-04,00:40:00,00:47:00,Delay,NH-45,road,45.7833333333333,DMart,VEH0238,2025-06-03 23:53:00,2.58
RJ033256,Udaipur,Perfect Plus,"Jodhpur, Rajasthan",2025-06-16,"Route: Jodhpur, Rajasthan Ã‚Â¢ Udaipur via NH-45",TEU,96.0,2025-06-01,22:43:00,2025-06-02,00:04:00,2025-06-02,21:43:00,2025-06-03,07:43:00,21:22:00,Delay,NH-45,road,31.65,Godrej Agrovet,VEH0206,2025-06-02 21:43:00,47.61
MH010016,Gadchiroli,Chetak-OPC,"Amritsar, Maharashtra",2025-06-18,"Route: Amritsar, Maharashtra Ã‚Â¢ Gadchiroli via NH-46",FEU,64.5,2025-06-01,22:31:00,2025-06-01,22:22:00,2025-06-03,00:31:00,2025-06-03,01:23:00,00:52:00,Delay,NH-46,road,27.0166666666666,Flipkart,VEH0221,2025-06-03 00:31:00,4.84
RJ004047,Baran,Perfect Plus,"Jodhpur, Punjab",2025-06-08,"Route: Jodhpur, Punjab Ã‚Â¢ Baran via NH-46",TEU,75.5,2025-06-02,01:10:00,2025-06-02,01:52:00,2025-06-02,23:10:00,2025-06-03,09:10:00,21:08:00,Delay,NH-46,road,31.3,HUL,VEH0235,2025-06-02 23:10:00,48.14
MP048010,Ujjain,Chetak-PPC,"Raipur, Rajasthan",2025-06-19,"Route: Raipur, Rajasthan Ã‚Â¢ Ujjain via NH-47",TEU,82.0,2025-06-01,21:19:00,2025-06-01,22:05:00,2025-06-03,00:19:00,2025-06-03,00:19:00,00:00:00,On time,NH-47,road,26.2333333333333,BigBasket,VEH0272,2025-06-03 00:19:00,0.0
UP032015,HAMIRPUR,Samrat,"Nagpur, Madhya Pradesh",2025-06-13,"Route: Nagpur, Madhya Pradesh Ã‚Â¢ HAMIRPUR via NH-47",TEU,71.5,2025-06-02,01:56:00,2025-06-02,01:38:00,2025-06-03,22:56:00,2025-06-04,08:56:00,21:38:00,Delay,NH-47,road,55.3,Reliance Retail,VEH0280,2025-06-03 22:56:00,27.24
HR008012,Jind,Chetak-OPC,"Kochi, Punjab",2025-06-30,"Route: Kochi, Punjab Ã‚Â¢ Jind via NH-48",TEU,60.5,2025-06-02,00:36:00,2025-06-02,00:32:00,2025-06-02,21:36:00,2025-06-02,21:36:00,00:00:00,On time,NH-48,road,21.0666666666666,Godrej Agrovet,VEH0224,2025-06-02 21:36:00,0.0
UK005053,DEHRADUN,Samrat,"Pune, Uttar Pradesh",2025-06-02,"Route: Pune, Uttar Pradesh Ã‚Â¢ DEHRADUN via NH-48",TEU,78.5,2025-06-01,20:41:00,2025-06-01,21:51:00,2025-06-03,00:41:00,2025-06-03,00:47:00,00:06:00,Delay,NH-48,road,26.9333333333333,Amazon India,VEH0207,2025-06-03 00:41:00,0.56
MH011051,Gondia,Perfect Plus,"Lucknow, Uttar Pradesh",2025-06-11,"Route: Lucknow, Uttar Pradesh Ã‚Â¢ Gondia via NH-49",TEU,60.5,2025-06-01,22:31:00,2025-06-01,22:43:00,2025-06-03,01:31:00,2025-06-03,01:31:00,00:00:00,On time,NH-49,road,26.8,Amazon India,VEH0234,2025-06-03 01:31:00,0.0
HR018021,Rohtak,Chetak-PPC,"Amritsar, Uttar Pradesh",2025-06-12,"Route: Amritsar, Uttar Pradesh Ã‚Â¢ Rohtak via NH-50",TEU,64.5,2025-06-02,01:07:00,2025-06-02,01:36:00,2025-06-02,23:07:00,2025-06-02,23:36:00,00:29:00,Delay,NH-50,road,22.0,Metro Cash & Carry,VEH0210,2025-06-02 23:07:00,3.31
MP022002,Jabalpur,Chetak-PPC,"Coimbatore, Andhra Pradesh",2025-06-08,"Route: Coimbatore, Andhra Pradesh Ã‚Â¢ Jabalpur via NH-50",TEU,93.0,2025-06-02,02:03:00,2025-06-02,01:43:00,2025-06-03,23:03:00,2025-06-03,23:42:00,00:39:00,Delay,NH-50,road,45.9833333333333,Nestle India,VEH0293,2025-06-03 23:03:00,2.12
UP012038,Banda,Samrat,"Udaipur, Assam",2025-06-26,"Route: Udaipur, Assam Ã‚Â¢ Banda via NH-50",TEU,74.0,2025-06-01,21:11:00,2025-06-01,21:36:00,2025-06-03,00:11:00,2025-06-03,00:11:00,00:00:00,On time,NH-50,road,26.5833333333333,Amazon India,VEH0226,2025-06-03 00:11:00,0.0
GJ004002,Banaskantha,Perfect Plus,"Visakhapatnam, Telangana",2025-06-23,"Route: Visakhapatnam, Telangana Ã‚Â¢ Banaskantha via NH-51",TEU,77.0,2025-06-01,23:11:00,2025-06-02,00:13:00,2025-06-03,22:11:00,2025-06-03,22:38:00,00:27:00,Delay,NH-51,road,46.4166666666666,Godrej Agrovet,VEH0253,2025-06-03 22:11:00,1.46
JH003025,Deoghar,PSC-Unique Plus,"Lucknow, Maharashtra",2025-06-13,"Route: Lucknow, Maharashtra Ã‚Â¢ Deoghar via NH-51",FEU,97.0,2025-06-02,01:08:00,2025-06-02,01:14:00,2025-06-03,23:08:00,2025-06-03,23:08:00,00:00:00,On time,NH-51,road,45.9,Amazon India,VEH0203,2025-06-03 23:08:00,0.0
